Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3996236202E+00    0.4093137431E+00   -0.9690122969E-02
    0.3687133635E+00    0.3605471478E+00    0.8166215639E-02
    0.3710709739E+00    0.3702288442E+00    0.8421296791E-03
    0.4270794082E+00    0.3985364525E+00    0.2854295568E-01
    0.3674602020E+00    0.3628716659E+00    0.4588536142E-02
    0.3299490417E+00    0.3209032169E+00    0.9045824805E-02
    0.3049439245E+00    0.2985824301E+00    0.6361494343E-02
    0.3008492847E+00    0.2988985080E+00    0.1950776684E-02
    0.3007543390E+00    0.2990560673E+00    0.1698271691E-02
    0.3039891654E+00    0.2995268267E+00    0.4462338668E-02
    0.4311080150E+00    0.4274884754E+00    0.3619539525E-02
    0.4281518174E+00    0.4251926321E+00    0.2959185235E-02
    0.3888947959E+00    0.3948297897E+00   -0.5934993809E-02
    0.4279795549E+00    0.4115356536E+00    0.1644390129E-01
    0.3766460280E+00    0.3667132241E+00    0.9932803867E-02
    0.3463282239E+00    0.3423790995E+00    0.3949124419E-02
    0.3065945036E+00    0.3196818577E+00   -0.1308735411E-01
Prediction RMSE and MaxAE:         0.0101719519        0.0285429557
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3996236202E+00    0.4134135828E+00   -0.1378996266E-01
    0.3687133635E+00    0.3612015185E+00    0.7511844948E-02
    0.3710709739E+00    0.3705269980E+00    0.5439758753E-03
    0.4270794082E+00    0.4027508410E+00    0.2432856712E-01
    0.3674602020E+00    0.3627132546E+00    0.4746947435E-02
    0.3299490417E+00    0.3220009202E+00    0.7948121547E-02
    0.3049439245E+00    0.2928831331E+00    0.1206079137E-01
    0.3008492847E+00    0.2930030460E+00    0.7846238712E-02
    0.3007543390E+00    0.2932476963E+00    0.7506642695E-02
    0.3039891654E+00    0.2950470358E+00    0.8942129654E-02
    0.4311080150E+00    0.4315667588E+00   -0.4587438263E-03
    0.4281518174E+00    0.4324410259E+00   -0.4289208562E-02
    0.3888947959E+00    0.3844895670E+00    0.4405228873E-02
    0.4279795549E+00    0.4073597677E+00    0.2061978724E-01
    0.3766460280E+00    0.3653219626E+00    0.1132406544E-01
    0.3463282239E+00    0.3388985427E+00    0.7429681191E-02
    0.3065945036E+00    0.3148455861E+00   -0.8251082536E-02
Prediction RMSE and MaxAE:         0.0107990033        0.0243285671
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3996236202E+00    0.4127719842E+00   -0.1314836405E-01
    0.3687133635E+00    0.3543554170E+00    0.1435794648E-01
    0.3710709739E+00    0.3707357698E+00    0.3352040355E-03
    0.4270794082E+00    0.4071878847E+00    0.1989152343E-01
    0.3674602020E+00    0.3699390943E+00   -0.2478892246E-02
    0.3299490417E+00    0.3178814465E+00    0.1206759526E-01
    0.3049439245E+00    0.2981010715E+00    0.6842853001E-02
    0.3008492847E+00    0.2984109044E+00    0.2438380303E-02
    0.3007543390E+00    0.2987892512E+00    0.1965087844E-02
    0.3039891654E+00    0.3012163909E+00    0.2772774500E-02
    0.4311080150E+00    0.4274977537E+00    0.3610261225E-02
    0.4281518174E+00    0.4286095349E+00   -0.4577175357E-03
    0.3888947959E+00    0.3884979847E+00    0.3968112149E-03
    0.4279795549E+00    0.4166952389E+00    0.1128431598E-01
    0.3766460280E+00    0.3636619437E+00    0.1298408432E-01
    0.3463282239E+00    0.3341417748E+00    0.1218644904E-01
    0.3065945036E+00    0.3076301955E+00   -0.1035691929E-02
Prediction RMSE and MaxAE:         0.0092348843        0.0198915234
