Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3692808565E+00    0.3725244491E+00   -0.3243592671E-02
    0.3092389430E+00    0.3143485061E+00   -0.5109563036E-02
    0.4010305618E+00    0.4078544259E+00   -0.6823864010E-02
    0.3928852735E+00    0.4080237551E+00   -0.1513848158E-01
    0.3763802550E+00    0.3709147356E+00    0.5465519343E-02
    0.3616999086E+00    0.3536311251E+00    0.8068783451E-02
    0.3914804504E+00    0.3993012370E+00   -0.7820786597E-02
    0.3701456579E+00    0.3867853097E+00   -0.1663965179E-01
    0.3728675248E+00    0.3508095421E+00    0.2205798265E-01
    0.3234392652E+00    0.3054567477E+00    0.1798251748E-01
    0.3042505979E+00    0.2989428685E+00    0.5307729378E-02
    0.4324042533E+00    0.4236531483E+00    0.8751105018E-02
    0.4159233320E+00    0.3987114691E+00    0.1721186290E-01
    0.3608270649E+00    0.3502667070E+00    0.1056035785E-01
    0.3256278511E+00    0.3170363383E+00    0.8591512788E-02
    0.3036860037E+00    0.3039608921E+00   -0.2748883723E-03
    0.3584288290E+00    0.3543562298E+00    0.4072599223E-02
Prediction RMSE and MaxAE:         0.0112676309        0.0220579827
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3692808565E+00    0.3668771399E+00    0.2403716623E-02
    0.3092389430E+00    0.3188617913E+00   -0.9622848311E-02
    0.4010305618E+00    0.4024560815E+00   -0.1425519612E-02
    0.3928852735E+00    0.4019225120E+00   -0.9037238561E-02
    0.3763802550E+00    0.3635194874E+00    0.1286076756E-01
    0.3616999086E+00    0.3515721863E+00    0.1012772226E-01
    0.3914804504E+00    0.4072114063E+00   -0.1573095583E-01
    0.3701456579E+00    0.3957164273E+00   -0.2557076943E-01
    0.3728675248E+00    0.3566793822E+00    0.1618814254E-01
    0.3234392652E+00    0.3131384385E+00    0.1030082666E-01
    0.3042505979E+00    0.3060995269E+00   -0.1848929014E-02
    0.4324042533E+00    0.4286938859E+00    0.3710367458E-02
    0.4159233320E+00    0.3942203889E+00    0.2170294305E-01
    0.3608270649E+00    0.3534830207E+00    0.7344044123E-02
    0.3256278511E+00    0.3190779923E+00    0.6549858707E-02
    0.3036860037E+00    0.3057052742E+00   -0.2019270449E-02
    0.3584288290E+00    0.3547867594E+00    0.3642069636E-02
Prediction RMSE and MaxAE:         0.0116869007        0.0255707694
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3692808565E+00    0.3642174045E+00    0.5063451978E-02
    0.3092389430E+00    0.3167330323E+00   -0.7494089296E-02
    0.4010305618E+00    0.4003212693E+00    0.7092925359E-03
    0.3928852735E+00    0.4002309757E+00   -0.7345702179E-02
    0.3763802550E+00    0.3630798612E+00    0.1330039380E-01
    0.3616999086E+00    0.3510716450E+00    0.1062826358E-01
    0.3914804504E+00    0.4073002210E+00   -0.1581977054E-01
    0.3701456579E+00    0.3962697812E+00   -0.2612412332E-01
    0.3728675248E+00    0.3671007668E+00    0.5766757939E-02
    0.3234392652E+00    0.3194086800E+00    0.4030585181E-02
    0.3042505979E+00    0.2999754239E+00    0.4275173980E-02
    0.4324042533E+00    0.4204444684E+00    0.1195978497E-01
    0.4159233320E+00    0.4041488245E+00    0.1177450745E-01
    0.3608270649E+00    0.3603934643E+00    0.4336005802E-03
    0.3256278511E+00    0.3217885982E+00    0.3839252821E-02
    0.3036860037E+00    0.3063385934E+00   -0.2652589645E-02
    0.3584288290E+00    0.3566447908E+00    0.1784038277E-02
Prediction RMSE and MaxAE:         0.0100979275        0.0261241233
