Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2151194444E+03    0.2180716826E+03   -0.2952238180E+01
    0.1764319667E+03    0.1789633739E+03   -0.2531407237E+01
    0.1952178111E+03    0.1985658492E+03   -0.3348038128E+01
    0.2547179556E+03    0.2544973726E+03    0.2205829265E+00
    0.1924218778E+03    0.1801030936E+03    0.1231878420E+02
    0.2156308111E+03    0.2080029847E+03    0.7627826456E+01
    0.2477960889E+03    0.2419021130E+03    0.5893975883E+01
    0.2990407000E+03    0.3014643703E+03   -0.2423670347E+01
    0.2877935333E+03    0.2897176234E+03   -0.1924090106E+01
    0.1870242778E+03    0.1823440792E+03    0.4680198554E+01
    0.1915395111E+03    0.1926594507E+03   -0.1119939542E+01
    0.1692373444E+03    0.1737115111E+03   -0.4474166685E+01
    0.1818018444E+03    0.1854503752E+03   -0.3648530794E+01
    0.2875471778E+03    0.2849348310E+03    0.2612346787E+01
    0.2096941111E+03    0.2040784336E+03    0.5615677486E+01
    0.2737433333E+03    0.2679441110E+03    0.5799222362E+01
    0.2989490444E+03    0.2980245748E+03    0.9244696823E+00
Prediction RMSE and MaxAE:         4.9107772432       12.3187842048
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2151194444E+03    0.2183033171E+03   -0.3183872642E+01
    0.1764319667E+03    0.1755104083E+03    0.9215583999E+00
    0.1952178111E+03    0.1959978520E+03   -0.7800409338E+00
    0.2547179556E+03    0.2554640908E+03   -0.7461352266E+00
    0.1924218778E+03    0.1914090667E+03    0.1012811056E+01
    0.2156308111E+03    0.2166720190E+03   -0.1041207869E+01
    0.2477960889E+03    0.2455426955E+03    0.2253393363E+01
    0.2990407000E+03    0.3032443202E+03   -0.4203620205E+01
    0.2877935333E+03    0.2904389703E+03   -0.2645436938E+01
    0.1870242778E+03    0.1819080882E+03    0.5116189563E+01
    0.1915395111E+03    0.1926569202E+03   -0.1117409060E+01
    0.1692373444E+03    0.1723407620E+03   -0.3103417544E+01
    0.1818018444E+03    0.1852788241E+03   -0.3476979660E+01
    0.2875471778E+03    0.2849412538E+03    0.2605923974E+01
    0.2096941111E+03    0.2110543174E+03   -0.1360206332E+01
    0.2737433333E+03    0.2708203387E+03    0.2922994625E+01
    0.2989490444E+03    0.2978993956E+03    0.1049648856E+01
Prediction RMSE and MaxAE:         2.5603215059        5.1161895629
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2151194444E+03    0.2160082868E+03   -0.8888423919E+00
    0.1764319667E+03    0.1772061471E+03   -0.7741804654E+00
    0.1952178111E+03    0.1940104668E+03    0.1207344323E+01
    0.2547179556E+03    0.2550118226E+03   -0.2938670926E+00
    0.1924218778E+03    0.1897876802E+03    0.2634197533E+01
    0.2156308111E+03    0.2139386417E+03    0.1692169418E+01
    0.2477960889E+03    0.2455880660E+03    0.2208022937E+01
    0.2990407000E+03    0.3020316632E+03   -0.2990963206E+01
    0.2877935333E+03    0.2912264367E+03   -0.3432903352E+01
    0.1870242778E+03    0.1841202135E+03    0.2904064276E+01
    0.1915395111E+03    0.1923495033E+03   -0.8099922365E+00
    0.1692373444E+03    0.1708447497E+03   -0.1607405226E+01
    0.1818018444E+03    0.1838790450E+03   -0.2077200522E+01
    0.2875471778E+03    0.2841507486E+03    0.3396429139E+01
    0.2096941111E+03    0.2125373154E+03   -0.2843204257E+01
    0.2737433333E+03    0.2722501113E+03    0.1493222064E+01
    0.2989490444E+03    0.3014424268E+03   -0.2493382383E+01
Prediction RMSE and MaxAE:         2.2015545238        3.4329033521
