Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2595301222E+03    0.2603547823E+03   -0.8246600639E+00
    0.2079026556E+03    0.2071527878E+03    0.7498677531E+00
    0.2405868667E+03    0.2431412769E+03   -0.2554410226E+01
    0.2209334444E+03    0.2240089193E+03   -0.3075474873E+01
    0.2110321000E+03    0.2161846560E+03   -0.5152556037E+01
    0.2279487222E+03    0.2301058452E+03   -0.2157122936E+01
    0.2505142889E+03    0.2538405541E+03   -0.3326265229E+01
    0.2044317667E+03    0.2060524695E+03   -0.1620702787E+01
    0.1893699333E+03    0.1915439530E+03   -0.2174019656E+01
    0.2630736333E+03    0.2649342588E+03   -0.1860625445E+01
    0.1871043000E+03    0.1907263482E+03   -0.3622048192E+01
    0.2534758778E+03    0.2459283785E+03    0.7547499324E+01
    0.2469492333E+03    0.2404637082E+03    0.6485525127E+01
    0.2402382000E+03    0.2390088954E+03    0.1229304603E+01
    0.2422979556E+03    0.2436223125E+03   -0.1324356937E+01
    0.2458938778E+03    0.2482630874E+03   -0.2369209636E+01
    0.2124671556E+03    0.2119357131E+03    0.5314424566E+00
    0.2253844556E+03    0.2270096789E+03   -0.1625223341E+01
    0.1983598444E+03    0.1893762896E+03    0.8983554844E+01
    0.2237516111E+03    0.2176507205E+03    0.6100890656E+01
    0.2445528889E+03    0.2370900751E+03    0.7462813804E+01
    0.2601386889E+03    0.2569885693E+03    0.3150119616E+01
    0.2744485778E+03    0.2715712096E+03    0.2877368156E+01
    0.1889144889E+03    0.1892191015E+03   -0.3046126374E+00
    0.1899346000E+03    0.1918942659E+03   -0.1959665943E+01
    0.1704806556E+03    0.1750736349E+03   -0.4592979375E+01
    0.1931341889E+03    0.1922634467E+03    0.8707421846E+00
    0.1796762778E+03    0.1774257853E+03    0.2250492450E+01
    0.1785659444E+03    0.1743739031E+03    0.4192041375E+01
    0.1863562667E+03    0.1898438056E+03   -0.3487538979E+01
    0.2362448000E+03    0.2428488655E+03   -0.6604065484E+01
    0.2959017111E+03    0.2990570588E+03   -0.3155347722E+01
    0.2306701222E+03    0.2323143803E+03   -0.1644258057E+01
    0.2163081222E+03    0.2110068572E+03    0.5301265070E+01
Prediction RMSE and MaxAE:         3.9520683456        8.9835548437
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2595301222E+03    0.2592917097E+03    0.2384125355E+00
    0.2079026556E+03    0.2089853737E+03   -0.1082718096E+01
    0.2405868667E+03    0.2415668958E+03   -0.9800291329E+00
    0.2209334444E+03    0.2217799618E+03   -0.8465173231E+00
    0.2110321000E+03    0.2144551894E+03   -0.3423089449E+01
    0.2279487222E+03    0.2280552234E+03   -0.1065012071E+00
    0.2505142889E+03    0.2519010075E+03   -0.1386718657E+01
    0.2044317667E+03    0.2055300495E+03   -0.1098282870E+01
    0.1893699333E+03    0.1899170636E+03   -0.5471302647E+00
    0.2630736333E+03    0.2657461834E+03   -0.2672550040E+01
    0.1871043000E+03    0.1885023266E+03   -0.1398026585E+01
    0.2534758778E+03    0.2479495721E+03    0.5526305681E+01
    0.2469492333E+03    0.2430220722E+03    0.3927161090E+01
    0.2402382000E+03    0.2410454710E+03   -0.8072710054E+00
    0.2422979556E+03    0.2461389971E+03   -0.3841041586E+01
    0.2458938778E+03    0.2513066510E+03   -0.5412773214E+01
