Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3292392192E+03    0.3167316847E+03    0.1250753448E+02
    0.3269858934E+03    0.3117996300E+03    0.1518626345E+02
    0.3207503283E+03    0.3018566835E+03    0.1889364481E+02
    0.7685966542E+02    0.8633358770E+02   -0.9473922273E+01
    0.9037831757E+02    0.9425506196E+02   -0.3876744388E+01
    0.9507898511E+02    0.9818452506E+02   -0.3105539955E+01
    0.1152563537E+03    0.1020935252E+03    0.1316282842E+02
    0.1250793226E+03    0.1098512557E+03    0.1522806686E+02
    0.1376933148E+03    0.1175304273E+03    0.2016288753E+02
    0.1448486749E+03    0.1251331162E+03    0.1971555866E+02
    0.1532934530E+03    0.1326613072E+03    0.2063214582E+02
    0.1533473073E+03    0.1363980624E+03    0.1694924490E+02
    0.1575849665E+03    0.1401168988E+03    0.1746806777E+02
    0.1621881784E+03    0.1475017088E+03    0.1468646967E+02
    0.8311168116E+02    0.7701578440E+02    0.6095896758E+01
    0.7247803067E+02    0.7559516320E+02   -0.3117132537E+01
    0.6678121200E+02    0.7484197348E+02   -0.8060761473E+01
    0.6475675694E+02    0.7405922500E+02   -0.9302468061E+01
    0.7030410540E+02    0.7240199909E+02   -0.2097893691E+01
    0.6625141588E+02    0.7061714146E+02   -0.4365725573E+01
    0.6514082646E+02    0.6869790533E+02   -0.3557078875E+01
    0.7365959505E+02    0.6663710882E+02    0.7022486229E+01
    0.6708569690E+02    0.6555125341E+02    0.1534443491E+01
    0.6606186028E+02    0.6442709928E+02    0.1634760996E+01
    0.7019308169E+02    0.6205971396E+02    0.8133367730E+01
    0.1593068290E+03    0.1474572433E+03    0.1184958570E+02
    0.1468949451E+03    0.1396959135E+03    0.7199031625E+01
    0.1388089549E+03    0.1356569414E+03    0.3152013485E+01
    0.1291537303E+03    0.1315079403E+03   -0.2354209999E+01
    0.1235282770E+03    0.1228654576E+03    0.6628193461E+00
    0.1106958100E+03    0.1137379854E+03   -0.3042175389E+01
    0.9736886424E+02    0.1040920811E+03   -0.6723216911E+01
    0.9411222420E+02    0.9389092884E+02    0.2212953626E+00
    0.7726231874E+02    0.8856958857E+02   -0.1130726983E+02
    0.6947861574E+02    0.8309384926E+02   -0.1361523352E+02
    0.7451208676E+02    0.7165571389E+02    0.2856372865E+01
    0.8219213345E+02    0.1070004555E+03   -0.2480832201E+02
    0.9923806785E+02    0.1361682941E+03   -0.3693022629E+02
    0.1193451659E+03    0.1509387303E+03   -0.3159356439E+02
    0.1356927131E+03    0.1658341847E+03   -0.3014147162E+02
    0.1672786173E+03    0.1960022203E+03   -0.2872360300E+02
    0.2253661327E+03    0.2266766309E+03   -0.1310498201E+01
    0.2698899312E+03    0.2578617835E+03    0.1202814766E+02
    0.2781444213E+03    0.2895621823E+03   -0.1141776099E+02
    0.2994904688E+03    0.3056070441E+03   -0.6116575255E+01
    0.3348078087E+03    0.3217824687E+03    0.1302533995E+02
    0.3536124748E+03    0.3545274222E+03   -0.9149473990E+00
    0.1815617150E+03    0.1771613623E+03    0.4400352674E+01
    0.1851328402E+03    0.1997096107E+03   -0.1457677043E+02
    0.1879236927E+03    0.2110612498E+03   -0.2313755713E+02
    0.1904213831E+03    0.2224650404E+03   -0.3204365731E+02
    0.2062694130E+03    0.2454305203E+03   -0.3916110738E+02
    0.2324792831E+03    0.2686089722E+03   -0.3612968911E+02
    0.2580894811E+03    0.2920033724E+03   -0.3391389137E+02
    0.2927787662E+03    0.3156167530E+03   -0.2283798678E+02
    0.3243674594E+03    0.3275065240E+03   -0.3139064546E+01
    0.3451406716E+03    0.3394522029E+03    0.5688468679E+01
    0.3548500077E+03    0.3635128697E+03   -0.8662862088E+01
    0.8919480068E+02    0.9227916545E+02   -0.3084364769E+01
    0.1207847205E+03    0.1250393224E+03   -0.4254601949E+01
    0.1243448504E+03    0.1414238042E+03   -0.1707895372E+02
    0.1408027874E+03    0.1578119615E+03   -0.1700917411E+02
    0.1693828405E+03    0.1906011095E+03   -0.2121826896E+02
    0.2053585443E+03    0.2234097906E+03   -0.1805124630E+02
    0.2357175677E+03    0.2562402072E+03   -0.2052263954E+02
    0.2786727984E+03    0.2890938857E+03   -0.1042108734E+02
    0.3075347098E+03    0.3055297700E+03    0.2004939863E+01
    0.3365297414E+03    0.3219717951E+03    0.1455794629E+02
    0.3525696231E+03    0.3548744440E+03   -0.2304820824E+01
Prediction RMSE and MaxAE:        17.7558468661       44.4554917500
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2935234994E+03    0.2797501083E+03    0.1377339108E+02
    0.1587309654E+03    0.1628874480E+03   -0.4156482530E+01
    0.1746566799E+03    0.1937028377E+03   -0.1904615778E+02
    0.2635678493E+03    0.2499353093E+03    0.1363253996E+02
    0.2592711134E+03    0.2401757344E+03    0.1909537898E+02
    0.1533371356E+03    0.1637143629E+03   -0.1037722724E+02
    0.1737380718E+03    0.1933084770E+03   -0.1957040512E+02
    0.1354613601E+03    0.1304293044E+03    0.5032055707E+01
    0.1415692716E+03    0.1504979186E+03   -0.8928646949E+01
    0.1215912466E+03    0.1296057387E+03   -0.8014492116E+01
    0.1096500264E+03    0.9826290170E+02    0.1138712472E+02
    0.1139947988E+03    0.1051903301E+03    0.8804468767E+01
    0.3022450560E+03    0.2894015814E+03    0.1284347457E+02
    0.3443617784E+03    0.3337944631E+03    0.1056731528E+02
    0.1198075480E+03    0.9126839781E+02    0.2853915015E+02
    0.1135857840E+03    0.1011608835E+03    0.1242490049E+02
    0.2788580290E+03    0.2524650084E+03    0.2639302054E+02
    0.3189353197E+03    0.3052820661E+03    0.1365325359E+02
    0.3054724589E+03    0.2947896849E+03    0.1068277403E+02
    0.1557885917E+03    0.1840731061E+03   -0.2828451436E+02
    0.1177067906E+03    0.1003783021E+03    0.1732848852E+02
    0.1777489072E+03    0.2085525230E+03   -0.3080361582E+02
    0.1784743125E+03    0.1843635154E+03   -0.5889202865E+01
    0.1956337281E+03    0.2118896792E+03   -0.1625595111E+02
    0.2605553334E+03    0.2730704181E+03   -0.1251508471E+02
    0.2590247442E+03    0.2644107810E+03   -0.5386036831E+01
    0.1618420223E+03    0.1936954803E+03   -0.3185345795E+02
    0.1079419546E+03    0.1126000941E+03   -0.4658139458E+01
    0.1750833160E+03    0.2168595557E+03   -0.4177623966E+02
    0.1299731940E+03    0.1626544622E+03   -0.3268126814E+02
    0.1169255214E+03    0.1131366984E+03    0.3788823038E+01
    0.1562825046E+03    0.1769999511E+03   -0.2071744649E+02
    0.1770777058E+03    0.1946262163E+03   -0.1754851053E+02
    0.1900791570E+03    0.2196509170E+03   -0.2957176002E+02
    0.1509485565E+03    0.1635318481E+03   -0.1258329166E+02
    0.1653278390E+03    0.1800550907E+03   -0.1472725164E+02
    0.1854096194E+03    0.1810897873E+03    0.4319832110E+01
    0.1640343275E+03    0.1580771887E+03    0.5957138800E+01
    0.1464641946E+03    0.1449232377E+03    0.1540956934E+01
    0.1858012828E+03    0.1608705314E+03    0.2493075138E+02
    0.1653253369E+03    0.1587360007E+03    0.6589336253E+01
    0.1777252035E+03    0.1619191148E+03    0.1580608865E+02
    0.3048441671E+03    0.2970795945E+03    0.7764572676E+01
    0.3431197118E+03    0.3396902357E+03    0.3429476166E+01
    0.1196200687E+03    0.1090652717E+03    0.1055479697E+02
    0.9846246946E+02    0.8999833802E+02    0.8464131441E+01
    0.1234999985E+03    0.1148114311E+03    0.8688567403E+01
    0.2754221649E+03    0.2606786093E+03    0.1474355558E+02
    0.1012461757E+03    0.8186111532E+02    0.1938506034E+02
    0.3280589644E+03    0.3093856534E+03    0.1867331093E+02
    0.1252586322E+03    0.1038031512E+03    0.2145548101E+02
    0.1336360451E+03    0.1128318211E+03    0.2080422401E+02
    0.2730061052E+03    0.2611308488E+03    0.1187525643E+02
    0.3342069804E+03    0.3114393743E+03    0.2276760610E+02
    0.2925690386E+03    0.2817880001E+03    0.1078103855E+02
    0.2499290681E+03    0.2525356053E+03   -0.2606537114E+01
    0.2494959393E+03    0.2418807139E+03    0.7615225431E+01
    0.1635212792E+03    0.1280764937E+03    0.3544478549E+02
    0.3044292394E+03    0.2901360367E+03    0.1429320271E+02
    0.3466922574E+03    0.3357908647E+03    0.1090139271E+02
    0.7539411855E+02    0.7773927375E+02   -0.2345155200E+01
    0.8308542094E+02    0.1070214784E+03   -0.2393605749E+02
    0.1161810959E+03    0.1212210094E+03   -0.5039913463E+01
    0.1374857342E+03    0.1351382410E+03    0.2347493233E+01
    0.1810345920E+03    0.1621597732E+03    0.1887481875E+02
    0.2137989748E+03    0.1881505412E+03    0.2564843357E+02
    0.2362153392E+03    0.2131698693E+03    0.2304546997E+02
    0.2531818108E+03    0.2372724651E+03    0.1590934567E+02
    0.2540849331E+03    0.2489959364E+03    0.5088996653E+01
    0.2565445535E+03    0.2605088788E+03   -0.3964325335E+01
    0.2716754675E+03    0.2829259054E+03   -0.1125043787E+02
    0.1656333067E+03    0.1431581038E+03    0.2247520294E+02
    0.1614262859E+03    0.1648611757E+03   -0.3434889784E+01
    0.1638021596E+03    0.1752674963E+03   -0.1146533671E+02
    0.1557274398E+03    0.1853913567E+03   -0.2966391689E+02
    0.1765848111E+03    0.2048308059E+03   -0.2824599475E+02
    0.2133581471E+03    0.2232519631E+03   -0.9893816016E+01
    0.2477361032E+03    0.2407189512E+03    0.7017151973E+01
    0.2563639819E+03    0.2572887155E+03   -0.9247335194E+00
    0.2589913668E+03    0.2652532039E+03   -0.6261837115E+01
    0.2636269676E+03    0.2730119541E+03   -0.9384986549E+01
    0.2787418701E+03    0.2879338856E+03   -0.9192015514E+01
    0.7419914298E+02    0.7021442018E+02    0.3984722794E+01
    0.1199555727E+03    0.1016650368E+03    0.1829053591E+02
    0.1275768211E+03    0.1168009475E+03    0.1077587352E+02
    0.1365911272E+03    0.1315625053E+03    0.5028621817E+01
    0.1664174620E+03    0.1600145218E+03    0.6402940207E+01
    0.1835905845E+03    0.1871192612E+03   -0.3528676675E+01
    0.2269835653E+03    0.2129663949E+03    0.1401717039E+02
    0.2427378609E+03    0.2376379812E+03    0.5099879637E+01
    0.2489758592E+03    0.2495566998E+03   -0.5808405264E+00
    0.2556213033E+03    0.2612092463E+03   -0.5587942993E+01
    0.2752750396E+03    0.2837492724E+03   -0.8474232786E+01
    0.3579410584E+03    0.3768718455E+03   -0.1893078707E+02
    0.3560854796E+03    0.3702686581E+03   -0.1418317849E+02
    0.3559526572E+03    0.3669002730E+03   -0.1094761578E+02
    0.3545054002E+03    0.3634860347E+03   -0.8980634541E+01
    0.3498113830E+03    0.3565158343E+03   -0.6704451322E+01
    0.3429812803E+03    0.3493493936E+03   -0.6368113297E+01
    0.3356323513E+03    0.3419774836E+03   -0.6345132326E+01
