Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3980037053E+00    0.4102338823E+00   -0.1223017696E-01
    0.3018713204E+00    0.3119020028E+00   -0.1003068249E-01
    0.3309396823E+00    0.3226261731E+00    0.8313509113E-02
    0.3628066791E+00    0.3544599819E+00    0.8346697214E-02
    0.3572480509E+00    0.3506644525E+00    0.6583598392E-02
    0.4069873114E+00    0.4225760069E+00   -0.1558869549E-01
    0.3875508766E+00    0.3995018998E+00   -0.1195102328E-01
    0.4008107104E+00    0.3923699412E+00    0.8440769218E-02
    0.3863661790E+00    0.3853621604E+00    0.1004018618E-02
    0.3300178520E+00    0.3182540564E+00    0.1176379557E-01
    0.3296708943E+00    0.3149436191E+00    0.1472727517E-01
    0.3275040021E+00    0.3116887575E+00    0.1581524461E-01
    0.4357322360E+00    0.4080739995E+00    0.2765823647E-01
    0.3897969196E+00    0.3806299815E+00    0.9166938176E-02
    0.3713716119E+00    0.3676978470E+00    0.3673764826E-02
    0.3325398245E+00    0.3260188211E+00    0.6521003370E-02
    0.3016141520E+00    0.2979886511E+00    0.3625500820E-02
    0.3013730675E+00    0.2983894858E+00    0.2983581728E-02
    0.4152703718E+00    0.4151473964E+00    0.1229754481E-03
    0.3955196646E+00    0.4122664040E+00   -0.1674673944E-01
    0.3628786252E+00    0.3834054003E+00   -0.2052677511E-01
    0.3593327157E+00    0.3776220549E+00   -0.1828933916E-01
    0.4236008781E+00    0.4296764045E+00   -0.6075526370E-02
    0.4347549284E+00    0.4283940536E+00    0.6360874821E-02
    0.3786976367E+00    0.3873332783E+00   -0.8635641557E-02
    0.3852582334E+00    0.3902096530E+00   -0.4951419684E-02
    0.3985197223E+00    0.4009708789E+00   -0.2451156597E-02
    0.3729094357E+00    0.3709577940E+00    0.1951641658E-02
    0.3050923527E+00    0.3204293115E+00   -0.1533695880E-01
    0.3578429254E+00    0.3385881685E+00    0.1925475692E-01
    0.3119917446E+00    0.3136071261E+00   -0.1615381511E-02
    0.4011696531E+00    0.3869298726E+00    0.1423978049E-01
    0.3303320639E+00    0.3305884171E+00   -0.2563532717E-03
    0.3034393990E+00    0.3082355605E+00   -0.4796161562E-02
Prediction RMSE and MaxAE:         0.0114787526        0.0276582365
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3980037053E+00    0.4123195427E+00   -0.1431583740E-01
    0.3018713204E+00    0.3080351057E+00   -0.6163785391E-02
    0.3309396823E+00    0.3286676024E+00    0.2272079870E-02
    0.3628066791E+00    0.3588902750E+00    0.3916404083E-02
    0.3572480509E+00    0.3573048533E+00   -0.5680235074E-04
    0.4069873114E+00    0.4186658835E+00   -0.1167857212E-01
    0.3875508766E+00    0.4075227745E+00   -0.1997189790E-01
    0.4008107104E+00    0.3958990578E+00    0.4911652659E-02
    0.3863661790E+00    0.3882400017E+00   -0.1873822653E-02
    0.3300178520E+00    0.3275998839E+00    0.2417968068E-02
    0.3296708943E+00    0.3241891280E+00    0.5481766228E-02
    0.3275040021E+00    0.3208018523E+00    0.6702149835E-02
    0.4357322360E+00    0.4108282053E+00    0.2490403071E-01
    0.3897969196E+00    0.3814473595E+00    0.8349560081E-02
    0.3713716119E+00    0.3673023048E+00    0.4069307080E-02
    0.3325398245E+00    0.3203689042E+00    0.1217092026E-01
    0.3016141520E+00    0.2976807814E+00    0.3933370534E-02
    0.3013730675E+00    0.2982110246E+00    0.3162042916E-02
    0.4152703718E+00    0.4034496708E+00    0.1182070105E-01
    0.3955196646E+00    0.3996996206E+00   -0.4179956007E-02
    0.3628786252E+00    0.3621326301E+00    0.7459950932E-03
    0.3593327157E+00    0.3546047255E+00    0.4727990233E-02
    0.4236008781E+00    0.4303487381E+00   -0.6747860032E-02
    0.4347549284E+00    0.4286795633E+00    0.6075365184E-02
    0.3786976367E+00    0.3902955231E+00   -0.1159788639E-01
    0.3852582334E+00    0.3940395628E+00   -0.8781329444E-02
    0.3985197223E+00    0.4080469367E+00   -0.9527214377E-02
    0.3729094357E+00    0.3707939333E+00    0.2115502364E-02
    0.3050923527E+00    0.3131220196E+00   -0.8029666906E-02
    0.3578429254E+00    0.3454497268E+00    0.1239319863E-01
    0.3119917446E+00    0.3203465985E+00   -0.8354853852E-02
    0.4011696531E+00    0.3895980072E+00    0.1157164592E-01
