     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2935234994E+03    0.2769063138E+03    0.2218001160E+01    0.1769746237E-01    0.7421326021E+00
         2    0.1746566799E+03    0.1889980575E+03    0.2486688448E+01    0.1576670177E-01    0.6590490873E+00
         3    0.2635678493E+03    0.2410603705E+03    0.2286978950E+01    0.1726678040E-01    0.7906178194E+00
         4    0.1533371356E+03    0.1613983414E+03    0.2556448306E+01    0.1535034175E-01    0.6467059483E+00
         5    0.1354613601E+03    0.1303949845E+03    0.2645392438E+01    0.1466136812E-01    0.6444692518E+00
         6    0.1415692716E+03    0.1448210758E+03    0.2585246514E+01    0.1509969809E-01    0.6957355726E+00
         7    0.1215912466E+03    0.1202248193E+03    0.2546324275E+01    0.1544986926E-01    0.9330113870E+00
         8    0.1096500264E+03    0.9673252183E+02    0.2660805758E+01    0.1467148940E-01    0.7951343430E+00
         9    0.1139947988E+03    0.9905113973E+02    0.2632318536E+01    0.1489468088E-01    0.8448303634E+00
        10    0.3022450560E+03    0.2943572388E+03    0.2209188344E+01    0.1766400161E-01    0.6748406485E+00
        11    0.3443617784E+03    0.3395614993E+03    0.2058864891E+01    0.1880685416E-01    0.7310996365E+00
        12    0.1198075480E+03    0.9981875088E+02    0.2781402045E+01    0.1355845441E-01    0.5440233994E+00
        13    0.1135857840E+03    0.1064614520E+03    0.2751257257E+01    0.1376208173E-01    0.5776936725E+00
        14    0.2788580290E+03    0.2607625927E+03    0.2328979094E+01    0.1692666427E-01    0.5694349337E+00
        15    0.3189353197E+03    0.3148002499E+03    0.2145731392E+01    0.1828179970E-01    0.6547887500E+00
        16    0.3054724589E+03    0.2829481682E+03    0.2220238829E+01    0.1789386997E-01    0.6424382539E+00
        17    0.1177067906E+03    0.9779160610E+02    0.2762685171E+01    0.1368351558E-01    0.6053964345E+00
        18    0.1777489072E+03    0.1942356703E+03    0.2421009072E+01    0.1635303144E-01    0.7558187069E+00
        19    0.1784743125E+03    0.1745577114E+03    0.2577208832E+01    0.1524149893E-01    0.4997751654E+00
        20    0.1956337281E+03    0.1991320261E+03    0.2486500566E+01    0.1591578515E-01    0.5553048621E+00
        21    0.2605553334E+03    0.2551782447E+03    0.2288523496E+01    0.1755492394E-01    0.6175677879E+00
        22    0.2590247442E+03    0.2469055726E+03    0.2318321275E+01    0.1731526502E-01    0.6053150000E+00
        23    0.1618420223E+03    0.1833147791E+03    0.2507168466E+01    0.1573570804E-01    0.6161049138E+00
        24    0.1079419546E+03    0.1089663371E+03    0.2758674051E+01    0.1373949424E-01    0.5353187180E+00
        25    0.1750833160E+03    0.2024921408E+03    0.2420061572E+01    0.1644259226E-01    0.6829406520E+00
        26    0.1299731940E+03    0.1544170555E+03    0.2568416985E+01    0.1526102955E-01    0.6638471991E+00
        27    0.1169255214E+03    0.1089229339E+03    0.2732921044E+01    0.1396449807E-01    0.5882006295E+00
        28    0.1562825046E+03    0.1642549236E+03    0.2511867973E+01    0.1573143309E-01    0.7213004657E+00
        29    0.1770777058E+03    0.1800533872E+03    0.2553221180E+01    0.1556620267E-01    0.4832253570E+00
        30    0.1900791570E+03    0.2026721997E+03    0.2464187237E+01    0.1626164558E-01    0.5388527586E+00
        31    0.1653278390E+03    0.1662897477E+03    0.2581675469E+01    0.1530698407E-01    0.5175983137E+00
        32    0.1854096194E+03    0.1776218903E+03    0.2532124524E+01    0.1591435788E-01    0.4998933390E+00
        33    0.1640343275E+03    0.1620705312E+03    0.2614599403E+01    0.1498781496E-01    0.4859976820E+00
        34    0.1858012828E+03    0.1642583992E+03    0.2588411087E+01    0.1522783279E-01    0.5223261280E+00
        35    0.1653253369E+03    0.1545075649E+03    0.2640145100E+01    0.1506959492E-01    0.4044433700E+00
        36    0.1777252035E+03    0.1575901568E+03    0.2613624212E+01    0.1531007023E-01    0.4362484744E+00
        37    0.3048441671E+03    0.2950016424E+03    0.2210593495E+01    0.1775442802E-01    0.6412669700E+00
        38    0.3431197118E+03    0.3387798921E+03    0.2060822401E+01    0.1891003416E-01    0.7011603096E+00
        39    0.9846246946E+02    0.8610198277E+02    0.2715601198E+01    0.1407491300E-01    0.7829427988E+00
        40    0.1234999985E+03    0.1066515787E+03    0.2605551181E+01    0.1486406074E-01    0.9181883549E+00
        41    0.2754221649E+03    0.2667189366E+03    0.2309936952E+01    0.1691044587E-01    0.6166027176E+00
        42    0.1012461757E+03    0.8566345488E+02    0.2841984107E+01    0.1300572458E-01    0.5186371382E+00
        43    0.3280589644E+03    0.3165438789E+03    0.2129254557E+01    0.1827608450E-01    0.7156936606E+00
        44    0.1252586322E+03    0.1061619422E+03    0.2779540476E+01    0.1360291103E-01    0.4991879661E+00
        45    0.1336360451E+03    0.1127544604E+03    0.2749704741E+01    0.1380879222E-01    0.5312758976E+00
        46    0.2730061052E+03    0.2616344652E+03    0.2329913967E+01    0.1700757657E-01    0.5388537658E+00
        47    0.3342069804E+03    0.3141779095E+03    0.2147469364E+01    0.1837780210E-01    0.6266063352E+00
        48    0.2925690386E+03    0.2800409995E+03    0.2255729923E+01    0.1751587481E-01    0.6064306161E+00
