     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1119034582E+03    0.1083862876E+03    0.2218001160E+01    0.2422858246E+00    0.9596228631E+04
         2    0.6377679169E+02    0.7064475192E+02    0.2486688448E+01    0.2807421448E+00    0.6973989884E+04
         3    0.9969179946E+02    0.9581591146E+02    0.2286978950E+01    0.2751380621E+00    0.8897908623E+04
         4    0.5573694755E+02    0.6123133644E+02    0.2556448306E+01    0.2902851135E+00    0.4129910777E+04
         5    0.4895849377E+02    0.4928826049E+02    0.2645392438E+01    0.2970234940E+00    0.4583881111E+04
         6    0.5114042588E+02    0.5446872395E+02    0.2585246514E+01    0.3122857829E+00    0.6946941904E+04
         7    0.4348442747E+02    0.4466618628E+02    0.2546324275E+01    0.4306373024E+00    0.5433207672E+04
         8    0.3917125463E+02    0.3759995041E+02    0.2660805758E+01    0.3751044259E+00    0.4413773689E+04
         9    0.4077056391E+02    0.3765919023E+02    0.2632318536E+01    0.3991919881E+00    0.7353378330E+04
        10    0.1156620276E+03    0.1128128261E+03    0.2209188344E+01    0.2179026705E+00    0.7810143455E+04
        11    0.1322564577E+03    0.1314028210E+03    0.2058864891E+01    0.2092782526E+00    0.1522120522E+05
        12    0.4295367200E+02    0.3718314911E+02    0.2781402045E+01    0.2581800245E+00    0.5362257563E+04
        13    0.4050309916E+02    0.3859831336E+02    0.2751257257E+01    0.2755303928E+00    0.6305893914E+04
        14    0.1066234624E+03    0.9618116414E+02    0.2328979094E+01    0.2373758159E+00    0.3448022475E+04
        15    0.1218090654E+03    0.1178753571E+03    0.2145731392E+01    0.2401484648E+00    0.7890155798E+04
        16    0.1166603165E+03    0.1129091584E+03    0.2220238829E+01    0.2120192919E+00    0.3040366324E+04
        17    0.4232796680E+02    0.3598473373E+02    0.2762685171E+01    0.2606190085E+00    0.2641917897E+05
        18    0.6493284567E+02    0.7604503746E+02    0.2421009072E+01    0.3080854944E+00    0.2451658811E+04
        19    0.6554370379E+02    0.6584258666E+02    0.2577208832E+01    0.2299510169E+00    0.6684829302E+04
        20    0.7208525840E+02    0.7580960505E+02    0.2486500566E+01    0.2420642028E+00    0.5103097147E+04
        21    0.9788397509E+02    0.1033848957E+03    0.2288523496E+01    0.2212025698E+00    0.2417512801E+04
        22    0.9754851806E+02    0.9943906776E+02    0.2318321275E+01    0.2229020880E+00    0.2666265379E+04
        23    0.5888624772E+02    0.7012667365E+02    0.2507168466E+01    0.2697778461E+00    0.2749541920E+04
        24    0.3852234119E+02    0.3975080073E+02    0.2758674051E+01    0.2341473751E+00    0.2677851492E+05
        25    0.6380085368E+02    0.7940135735E+02    0.2420061572E+01    0.2827320502E+00    0.2086847368E+04
        26    0.4667560663E+02    0.5893323880E+02    0.2568416985E+01    0.2982164667E+00    0.2939401540E+04
        27    0.4197241641E+02    0.4037921670E+02    0.2732921044E+01    0.2560777006E+00    0.2554101357E+05
        28    0.5677301169E+02    0.6382489829E+02    0.2511867973E+01    0.3157396952E+00    0.2411954119E+04
        29    0.6496802097E+02    0.6937867933E+02    0.2553221180E+01    0.2255662985E+00    0.6609732525E+04
        30    0.6979480419E+02    0.7915254841E+02    0.2464187237E+01    0.2380701768E+00    0.4611852388E+04
        31    0.6029149555E+02    0.6385697913E+02    0.2581675469E+01    0.2428195382E+00    0.5479787132E+04
        32    0.6830351287E+02    0.6862098018E+02    0.2532124524E+01    0.2585991124E+00    0.1537154345E+04
        33    0.6014871550E+02    0.6087576786E+02    0.2614599403E+01    0.2364179203E+00    0.3532288574E+04
        34    0.6882396517E+02    0.6193998611E+02    0.2588411087E+01    0.2559679627E+00    0.1750930943E+04
        35    0.6068008934E+02    0.6013370264E+02    0.2640145100E+01    0.2111312443E+00    0.8444964483E+04
        36    0.6555221939E+02    0.6171512765E+02    0.2613624212E+01    0.2292057432E+00    0.4758251831E+04
        37    0.1166313876E+03    0.1145511035E+03    0.2210593495E+01    0.2066398248E+00    0.4543478107E+04
        38    0.1314904999E+03    0.1343202293E+03    0.2060822401E+01    0.1991850767E+00    0.2815134924E+04
        39    0.3499053213E+02    0.3365929943E+02    0.2715601198E+01    0.3286517813E+00    0.2393849452E+05
        40    0.4434460389E+02    0.3996307751E+02    0.2605551181E+01    0.4116903597E+00    0.3720351713E+04
        41    0.1048738256E+03    0.9790890980E+02    0.2309936952E+01    0.2440551098E+00    0.2101859830E+04
        42    0.3601177755E+02    0.3032152465E+02    0.2841984107E+01    0.2231046752E+00    0.2996681969E+05
        43    0.1256431161E+03    0.1198973494E+03    0.2129254557E+01    0.2475613738E+00    0.1927234529E+04
        44    0.4500912398E+02    0.3912809450E+02    0.2779540476E+01    0.2399144949E+00    0.9157962866E+04
        45    0.4815536762E+02    0.4085243588E+02    0.2749704741E+01    0.2574317814E+00    0.7686750935E+04
        46    0.1038482190E+03    0.9748043839E+02    0.2329913967E+01    0.2248901434E+00    0.4446981564E+04
        47    0.1281946021E+03    0.1197109496E+03    0.2147469364E+01    0.2292350440E+00    0.3427699699E+04
        48    0.1112114300E+03    0.1077599106E+03    0.2255729923E+01    0.2089828209E+00    0.1044707366E+05
        49    0.5967295456E+02    0.4742727882E+02    0.2683644612E+01    0.2721721622E+00    0.6146382861E+04
        50    0.1165733788E+03    0.1120756015E+03    0.2227834389E+01    0.2013372233E+00    0.1112132235E+05
        51    0.1331123282E+03    0.1315225611E+03    0.2076099203E+01    0.1941482744E+00    0.1288178086E+05
        52    0.2632643497E+02    0.2463636014E+02    0.2648239054E+01    0.4961307477E+00    0.0000000000E+00
        53    0.2911030054E+02    0.3664682437E+02    0.2600124329E+01    0.4479840018E+00    0.0000000000E+00
        54    0.4146923460E+02    0.4245694683E+02    0.2575331854E+01    0.4261905806E+00    0.0000000000E+00
        55    0.4958492797E+02    0.4815096762E+02    0.2550102978E+01    0.4057528430E+00    0.0000000000E+00
        56    0.6671768541E+02    0.5922488223E+02    0.2498486861E+01    0.3685232415E+00    0.0000000000E+00
        57    0.7983276551E+02    0.6992660600E+02    0.2445561625E+01    0.3355508543E+00    0.0000000000E+00
        58    0.8885745041E+02    0.8030048652E+02    0.2391588517E+01    0.3062244739E+00    0.0000000000E+00
        59    0.9558693600E+02    0.9038044150E+02    0.2336806086E+01    0.2800383798E+00    0.0000000000E+00
        60    0.9586478718E+02    0.9531856179E+02    0.2309180110E+01    0.2679884375E+00    0.0000000000E+00
        61    0.1025991163E+03    0.1097562499E+03    0.2225663440E+01    0.2354695103E+00    0.0000000000E+00
        62    0.6056238656E+02    0.5781378632E+02    0.2619453320E+01    0.2569784522E+00    0.2737580026E+04
        63    0.5877006947E+02    0.6269908622E+02    0.2580389684E+01    0.2566973291E+00    0.2693825580E+04
        64    0.5965694308E+02    0.6538336593E+02    0.2559394870E+01    0.2560769725E+00    0.2671948357E+04
        65    0.5640091467E+02    0.6820929820E+02    0.2537515196E+01    0.2552021987E+00    0.2650071134E+04
        66    0.6447432788E+02    0.7423533854E+02    0.2491355626E+01    0.2528426830E+00    0.2606316688E+04
        67    0.7910835546E+02    0.8068572852E+02    0.2442392818E+01    0.2498715613E+00    0.2562562242E+04
        68    0.9311991210E+02    0.8748260839E+02    0.2391067661E+01    0.2464735843E+00    0.2518807796E+04
        69    0.9637614321E+02    0.9455894271E+02    0.2337782900E+01    0.2427849572E+00    0.2475053350E+04
        70    0.9738927426E+02    0.9818340945E+02    0.2310521749E+01    0.2408643331E+00    0.2453176127E+04
        71    0.9929422704E+02    0.1018565069E+03    0.2282905778E+01    0.2389067672E+00    0.2431298905E+04
        72    0.1053096570E+03    0.1093243974E+03    0.2226770524E+01    0.2349143931E+00    0.2387544459E+04
        73    0.2584017448E+02    0.2913758356E+02    0.2823212846E+01    0.2820408565E+00    0.4483018868E+04
        74    0.4572791662E+02    0.4441998842E+02    0.2714610103E+01    0.2673456763E+00    0.4665115492E+04
        75    0.4914067848E+02    0.4951058616E+02    0.2678088566E+01    0.2627920781E+00    0.4725814367E+04
