Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1859265000E+03    0.1774557847E+03    0.8470715329E+01
    0.1689561667E+03    0.1532839052E+03    0.1567226148E+02
    0.1804731333E+03    0.1710805570E+03    0.9392576372E+01
    0.1790078333E+03    0.1752214312E+03    0.3786402111E+01
    0.1726537667E+03    0.1703322542E+03    0.2321512420E+01
    0.1687353667E+03    0.1534218850E+03    0.1531348166E+02
    0.1793259000E+03    0.1708922653E+03    0.8433634716E+01
    0.1611783000E+03    0.1500609108E+03    0.1111738917E+02
    0.1691650000E+03    0.1628255016E+03    0.6339498360E+01
    0.1712258333E+03    0.1566493362E+03    0.1457649716E+02
    0.1561954667E+03    0.1469912471E+03    0.9204219561E+01
    0.1592324667E+03    0.1535984819E+03    0.5633984757E+01
    0.1832511000E+03    0.1700554866E+03    0.1319561344E+02
    0.2009755333E+03    0.1916055662E+03    0.9369967120E+01
    0.1616570333E+03    0.1456888556E+03    0.1596817771E+02
    0.1669711667E+03    0.1530714497E+03    0.1389971700E+02
    0.1706844000E+03    0.1621494944E+03    0.8534905564E+01
    0.1991815333E+03    0.1902434524E+03    0.8938080910E+01
    0.1909834333E+03    0.1806316977E+03    0.1035173561E+02
    0.1730631333E+03    0.1581762887E+03    0.1488684465E+02
    0.1512805667E+03    0.1487285249E+03    0.2552041772E+01
    0.1839162333E+03    0.1739415874E+03    0.9974645972E+01
    0.1709626667E+03    0.1583045097E+03    0.1265815698E+02
    0.1785912667E+03    0.1748254072E+03    0.3765859498E+01
    0.1928013333E+03    0.1800504118E+03    0.1275092158E+02
    0.1867098667E+03    0.1756086300E+03    0.1110123664E+02
    0.1737680667E+03    0.1603408305E+03    0.1342723619E+02
    0.1572136333E+03    0.1513399759E+03    0.5873657473E+01
    0.1860203333E+03    0.1755951321E+03    0.1042520125E+02
    0.1708858333E+03    0.1574383752E+03    0.1344745813E+02
    0.1549359333E+03    0.1513302569E+03    0.3605676426E+01
    0.1731041667E+03    0.1683141784E+03    0.4789988308E+01
    0.1713224000E+03    0.1605768504E+03    0.1074554961E+02
    0.1816521000E+03    0.1762738628E+03    0.5378237249E+01
    0.1676957000E+03    0.1576938255E+03    0.1000187446E+02
    0.1734750667E+03    0.1690933757E+03    0.4381691002E+01
    0.1717847667E+03    0.1687177339E+03    0.3067032761E+01
    0.1608787333E+03    0.1607870290E+03    0.9170436161E-01
    0.1564298667E+03    0.1580660995E+03   -0.1636232819E+01
    0.1612523333E+03    0.1660651982E+03   -0.4812864830E+01
    0.1600181667E+03    0.1610439455E+03   -0.1025778804E+01
    0.1622793333E+03    0.1663927002E+03   -0.4113366877E+01
    0.1858246333E+03    0.1719323872E+03    0.1389224611E+02
    0.2034949000E+03    0.1928169972E+03    0.1067790285E+02
    0.1582014333E+03    0.1496209626E+03    0.8580470701E+01
    0.1536179667E+03    0.1461990282E+03    0.7418938424E+01
    0.1608522333E+03    0.1558717994E+03    0.4980433884E+01
    0.1759193333E+03    0.1642634528E+03    0.1165588057E+02
    0.1560547000E+03    0.1451882786E+03    0.1086642139E+02
    0.1987726333E+03    0.1910902535E+03    0.7682379810E+01
    0.1635587333E+03    0.1487462133E+03    0.1481252004E+02
    0.1675417667E+03    0.1558116984E+03    0.1173006828E+02
    0.1769676000E+03    0.1643350276E+03    0.1263257242E+02
    0.1981880667E+03    0.1915131749E+03    0.6674891813E+01
    0.1906729667E+03    0.1779554242E+03    0.1271754245E+02
