Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3819834000E+03    0.3898730352E+03   -0.7889635249E+01
    0.2725297000E+03    0.3006438690E+03   -0.2811416896E+02
    0.2616502000E+03    0.2908446654E+03   -0.2919446541E+02
    0.2961311333E+03    0.2760330099E+03    0.2009812340E+02
    0.4715966000E+03    0.4820374943E+03   -0.1044089428E+02
    0.4109789667E+03    0.4231471601E+03   -0.1216819347E+02
    0.4130206000E+03    0.3849099393E+03    0.2811066065E+02
    0.4993860000E+03    0.4757130846E+03    0.2367291541E+02
    0.2713804000E+03    0.2405555166E+03    0.3082488345E+02
    0.2536501333E+03    0.2400690383E+03    0.1358109502E+02
    0.2607602000E+03    0.2390960818E+03    0.2166411817E+02
    0.2374204333E+03    0.2379285341E+03   -0.5081007198E+00
    0.2456903000E+03    0.2388041949E+03    0.6886105114E+01
    0.2717586000E+03    0.2382690688E+03    0.3348953118E+02
    0.3005005000E+03    0.3176265524E+03   -0.1712605241E+02
    0.4207588667E+03    0.4079568892E+03    0.1280197747E+02
    0.3090159667E+03    0.3087885549E+03    0.2274118027E+00
Prediction RMSE and MaxAE:        20.2150504626       33.4895311785
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3819834000E+03    0.3788541418E+03    0.3129258185E+01
    0.2725297000E+03    0.2867472142E+03   -0.1421751420E+02
    0.2616502000E+03    0.3120128996E+03   -0.5036269955E+02
    0.2961311333E+03    0.2619438610E+03    0.3418727234E+02
    0.4715966000E+03    0.4824296652E+03   -0.1083306517E+02
    0.4109789667E+03    0.4165115111E+03   -0.5532544422E+01
    0.4130206000E+03    0.3998138635E+03    0.1320673648E+02
    0.4993860000E+03    0.4856819795E+03    0.1370402052E+02
    0.2713804000E+03    0.2456967746E+03    0.2568362544E+02
    0.2536501333E+03    0.2486701100E+03    0.4980023339E+01
    0.2607602000E+03    0.2541712265E+03    0.6588973521E+01
    0.2374204333E+03    0.2294450123E+03    0.7975421012E+01
    0.2456903000E+03    0.2418705920E+03    0.3819707976E+01
    0.2717586000E+03    0.2519997258E+03    0.1975887421E+02
    0.3005005000E+03    0.3022286437E+03   -0.1728143657E+01
    0.4207588667E+03    0.4092246127E+03    0.1153425392E+02
    0.3090159667E+03    0.3092273390E+03   -0.2113723004E+00
Prediction RMSE and MaxAE:        18.4068850462       50.3626995528
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3819834000E+03    0.3710920642E+03    0.1089133582E+02
    0.2725297000E+03    0.2771405652E+03   -0.4610865215E+01
    0.2616502000E+03    0.3022090956E+03   -0.4055889560E+02
    0.2961311333E+03    0.2751279428E+03    0.2100319053E+02
    0.4715966000E+03    0.4742919803E+03   -0.2695380314E+01
    0.4109789667E+03    0.4106714972E+03    0.3074694679E+00
    0.4130206000E+03    0.3901152907E+03    0.2290530926E+02
    0.4993860000E+03    0.4914035508E+03    0.7982449238E+01
    0.2713804000E+03    0.2358134894E+03    0.3556691058E+02
    0.2536501333E+03    0.2387903885E+03    0.1485974488E+02
    0.2607602000E+03    0.2442980981E+03    0.1646210186E+02
    0.2374204333E+03    0.2348594786E+03    0.2560954772E+01
    0.2456903000E+03    0.2472999506E+03   -0.1609650566E+01
    0.2717586000E+03    0.2574412243E+03    0.1431737570E+02
    0.3005005000E+03    0.3133530172E+03   -0.1285251716E+02
    0.4207588667E+03    0.4204772230E+03    0.2816436485E+00
    0.3090159667E+03    0.3184700604E+03   -0.9454093685E+01
Prediction RMSE and MaxAE:        17.2309104282       40.5588955956
