     Index       y_measurement           y_fitting        descriptor_1
         1    0.2595301222E+03    0.2604313288E+03    0.4113190748E+00
         2    0.2079026556E+03    0.2072750059E+03    0.3372876140E+00
         3    0.2226869444E+03    0.2232000101E+03    0.3594665621E+00
         4    0.2466663556E+03    0.2488173659E+03    0.3951441667E+00
         5    0.2405868667E+03    0.2432326004E+03    0.3873661955E+00
         6    0.2209334444E+03    0.2241166671E+03    0.3607432015E+00
         7    0.2036199000E+03    0.2067149992E+03    0.3365076858E+00
         8    0.1988755111E+03    0.2040972269E+03    0.3328618823E+00
         9    0.1820647889E+03    0.1870800725E+03    0.3091618834E+00
        10    0.1862727778E+03    0.1922914235E+03    0.3164197957E+00
        11    0.2604490667E+03    0.2609067954E+03    0.4119812629E+00
        12    0.2896785556E+03    0.2895912978E+03    0.4519305201E+00
        13    0.1894734000E+03    0.1832273903E+03    0.3037962058E+00
        14    0.1935410889E+03    0.1882332087E+03    0.3107678703E+00
        15    0.2416573111E+03    0.2428829637E+03    0.3868792521E+00
        16    0.2668892556E+03    0.2680142099E+03    0.4218798460E+00
        17    0.2110321000E+03    0.2162991207E+03    0.3498556090E+00
        18    0.1790172889E+03    0.1806222757E+03    0.3001680308E+00
        19    0.2256499111E+03    0.2324555733E+03    0.3723568981E+00
        20    0.2279487222E+03    0.2302083590E+03    0.3692271753E+00
        21    0.2568662444E+03    0.2594483337E+03    0.4099500455E+00
        22    0.2505142889E+03    0.2539226928E+03    0.4022544179E+00
        23    0.1817765778E+03    0.1834016358E+03    0.3040388796E+00
        24    0.2011406222E+03    0.2078063081E+03    0.3380275651E+00
        25    0.1819319111E+03    0.1839290755E+03    0.3047734513E+00
        26    0.2107032667E+03    0.2183906421E+03    0.3527684964E+00
        27    0.2151194444E+03    0.2182928649E+03    0.3526323210E+00
        28    0.2290660778E+03    0.2341631015E+03    0.3747349935E+00
        29    0.2044317667E+03    0.2061756321E+03    0.3357565027E+00
        30    0.2137194444E+03    0.2165142944E+03    0.3501552841E+00
        31    0.2164706222E+03    0.2211376536E+03    0.3565942930E+00
        32    0.1893699333E+03    0.1916795706E+03    0.3155676606E+00
        33    0.2062119333E+03    0.2090806640E+03    0.3398023762E+00
        34    0.2630736333E+03    0.2650068740E+03    0.4176914925E+00
        35    0.2928621333E+03    0.2935592829E+03    0.4574567814E+00
        36    0.1871043000E+03    0.1908626676E+03    0.3144299499E+00
        37    0.1764319667E+03    0.1791992480E+03    0.2981861628E+00
        38    0.2456214556E+03    0.2476371302E+03    0.3935004380E+00
        39    0.1790136222E+03    0.1758269939E+03    0.2934895833E+00
        40    0.1923749111E+03    0.1867769629E+03    0.3087397389E+00
        41    0.1980689000E+03    0.1917539512E+03    0.3156712514E+00
        42    0.2834870333E+03    0.2804844755E+03    0.4392473373E+00
        43    0.2641083000E+03    0.2585481536E+03    0.4086963537E+00
        44    0.2534758778E+03    0.2460173094E+03    0.3912444937E+00
        45    0.2469492333E+03    0.2405573303E+03    0.3836403141E+00
        46    0.2098778222E+03    0.1991874596E+03    0.3260239894E+00
        47    0.2611882111E+03    0.2600538344E+03    0.4107933337E+00
        48    0.2922040889E+03    0.2885274874E+03    0.4504489384E+00
        49    0.1898993111E+03    0.1944404485E+03    0.3194127690E+00
        50    0.1952178111E+03    0.1987943593E+03    0.3254765138E+00
        51    0.2016502556E+03    0.2031724533E+03    0.3315739389E+00
        52    0.2402382000E+03    0.2391037664E+03    0.3816159179E+00
        53    0.2422979556E+03    0.2437132231E+03    0.3880355646E+00
        54    0.2458938778E+03    0.2483500141E+03    0.3944932801E+00
        55    0.2082812222E+03    0.2042180675E+03    0.3330301786E+00
        56    0.2124671556E+03    0.2120538252E+03    0.3439431341E+00
        57    0.2147394667E+03    0.2158959645E+03    0.3492941284E+00
        58    0.2253844556E+03    0.2271148507E+03    0.3649188084E+00
        59    0.2347459556E+03    0.2343338737E+03    0.3749728300E+00
        60    0.2431637556E+03    0.2413408689E+03    0.3847315579E+00
        61    0.2513636333E+03    0.2481323954E+03    0.3941901999E+00
        62    0.2534225000E+03    0.2514462442E+03    0.3988054376E+00
        63    0.2547179556E+03    0.2547048709E+03    0.4033437668E+00
        64    0.2631218000E+03    0.2610545617E+03    0.4121870589E+00
        65    0.1924218778E+03    0.1803385396E+03    0.2997728681E+00
        66    0.1983598444E+03    0.1895137680E+03    0.3125513209E+00
        67    0.2065748778E+03    0.1988107428E+03    0.3254993313E+00
        68    0.2156308111E+03    0.2082279495E+03    0.3386147902E+00
        69    0.2237516111E+03    0.2177639265E+03    0.3518956620E+00
        70    0.2445528889E+03    0.2371865933E+03    0.3789458475E+00
        71    0.2477960889E+03    0.2421143429E+03    0.3858087846E+00
        72    0.2505340222E+03    0.2470705998E+03    0.3927114242E+00
        73    0.2601386889E+03    0.2570680055E+03    0.4066349333E+00
        74    0.3058445778E+03    0.3088088545E+03    0.4786950462E+00
        75    0.2990407000E+03    0.3016542244E+03    0.4687307054E+00
        76    0.2966810000E+03    0.2992872131E+03    0.4654341398E+00
        77    0.2926131333E+03    0.2945807355E+03    0.4588793710E+00
        78    0.2877935333E+03    0.2899118904E+03    0.4523770133E+00
        79    0.2820282667E+03    0.2806919114E+03    0.4395362358E+00
        80    0.2803237333E+03    0.2784124137E+03    0.4363615516E+00
        81    0.2792287556E+03    0.2761434822E+03    0.4332015829E+00
        82    0.2744485778E+03    0.2716381273E+03    0.4269269201E+00
        83    0.1886036444E+03    0.1794365387E+03    0.2985166404E+00
        84    0.1870368222E+03    0.1815473422E+03    0.3014563823E+00
        85    0.1870242778E+03    0.1825786834E+03    0.3028927437E+00
        86    0.1838565333E+03    0.1835940967E+03    0.3043069223E+00
        87    0.1853664667E+03    0.1855774736E+03    0.3070691955E+00
        88    0.1870591111E+03    0.1874981312E+03    0.3097441188E+00
        89    0.1889144889E+03    0.1893567148E+03    0.3123325910E+00
        90    0.1905193889E+03    0.1911538575E+03    0.3148354935E+00
        91    0.1899346000E+03    0.1920295828E+03    0.3160551269E+00
        92    0.1915395111E+03    0.1928901796E+03    0.3172536906E+00
        93    0.1921652444E+03    0.1945662898E+03    0.3195880298E+00
        94    0.1813102889E+03    0.1765686447E+03    0.2945224894E+00
        95    0.1730694778E+03    0.1758886035E+03    0.2935753877E+00
        96    0.1704806556E+03    0.1752233915E+03    0.2926489388E+00
        97    0.1700829333E+03    0.1745758802E+03    0.2917471419E+00
        98    0.1692373444E+03    0.1739493582E+03    0.2908745771E+00
        99    0.1700707556E+03    0.1733476052E+03    0.2900365083E+00
       100    0.1708686111E+03    0.1727749802E+03    0.2892390065E+00
       101    0.1718423667E+03    0.1725011379E+03    0.2888576229E+00
       102    0.1740759667E+03    0.1722365310E+03    0.2884891017E+00
       103    0.1730707556E+03    0.1717381274E+03    0.2877949689E+00
       104    0.1967226222E+03    0.1943562503E+03    0.3192955051E+00
       105    0.1931341889E+03    0.1923984466E+03    0.3165688480E+00
       106    0.1907203222E+03    0.1913687294E+03    0.3151347483E+00
       107    0.1876005778E+03    0.1903042352E+03    0.3136522142E+00
       108    0.1853022667E+03    0.1880680439E+03    0.3105378432E+00
       109    0.1818018444E+03    0.1856838124E+03    0.3072172949E+00
       110    0.1787971889E+03    0.1790305965E+03    0.2979512798E+00
       111    0.1796762778E+03    0.1775735227E+03    0.2959219953E+00
       112    0.1785659444E+03    0.1745242603E+03    0.2916752503E+00
       113    0.1863562667E+03    0.1899808827E+03    0.3132018772E+00
       114    0.1967213778E+03    0.2029115946E+03    0.3312106378E+00
       115    0.2028386333E+03    0.2094551084E+03    0.3403238694E+00
       116    0.2193693111E+03    0.2293940994E+03    0.3680931460E+00
       117    0.2362448000E+03    0.2429404401E+03    0.3869593002E+00
       118    0.2532290889E+03    0.2566866951E+03    0.4061038777E+00
       119    0.2862961111E+03    0.2847690411E+03    0.4452145042E+00
       120    0.2959017111E+03    0.2991003811E+03    0.4651739367E+00
       121    0.2194879000E+03    0.2204377230E+03    0.3556194911E+00
       122    0.2250481778E+03    0.2264386771E+03    0.3639770932E+00
       123    0.2306701222E+03    0.2324149982E+03    0.3723003887E+00
       124    0.2418327444E+03    0.2442946728E+03    0.3888453567E+00
       125    0.2531147778E+03    0.2560785767E+03    0.4052569437E+00
       126    0.2798409111E+03    0.2793661397E+03    0.4376898174E+00
