Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6377679169E+02    0.6513784427E+02   -0.1361052572E+01
    0.3917125463E+02    0.4068876180E+02   -0.1517507165E+01
    0.1166603165E+03    0.1128952469E+03    0.3765069624E+01
    0.6493284567E+02    0.7694205972E+02   -0.1200921405E+02
    0.3852234119E+02    0.3700910430E+02    0.1513236891E+01
    0.4197241641E+02    0.3848778246E+02    0.3484633959E+01
    0.5677301169E+02    0.6619109554E+02   -0.9418083847E+01
    0.6979480419E+02    0.7678241526E+02   -0.6987611070E+01
    0.6029149555E+02    0.6135445082E+02   -0.1062955269E+01
    0.4500912398E+02    0.3498854325E+02    0.1002058073E+02
    0.5967295456E+02    0.4349735401E+02    0.1617560055E+02
    0.2911030054E+02    0.4768011316E+02   -0.1856981262E+02
    0.6056238656E+02    0.5997877935E+02    0.5836072053E+00
    0.5965694308E+02    0.6914959277E+02   -0.9492649692E+01
    0.1053096570E+03    0.1107223821E+03   -0.5412725092E+01
    0.9610191643E+02    0.9382455922E+02    0.2277357207E+01
    0.1371480612E+03    0.1502218941E+03   -0.1307383288E+02
    0.1362592133E+03    0.1429140243E+03   -0.6654811048E+01
    0.1344648149E+03    0.1392566161E+03   -0.4791801157E+01
    0.1271803418E+03    0.1282704718E+03   -0.1090129957E+01
    0.1262177758E+03    0.1264374149E+03   -0.2196390146E+00
    0.2456282289E+02    0.2883231383E+02   -0.4269490943E+01
    0.2578843305E+02    0.2491386293E+02    0.8745701188E+00
    0.2450184071E+02    0.2218157477E+02    0.2320265937E+01
    0.4446999058E+02    0.4142689661E+02    0.3043093967E+01
    0.2705301994E+02    0.2966376855E+02   -0.2610748612E+01
    0.3504358803E+02    0.5228590617E+02   -0.1724231814E+02
    0.6904760257E+02    0.7505980686E+02   -0.6012204290E+01
    0.1104302259E+03    0.1193521055E+03   -0.8921879562E+01
    0.1360948904E+03    0.1418948740E+03   -0.5799983550E+01
    0.6152011377E+02    0.6439869549E+02   -0.2878581724E+01
    0.7558678816E+02    0.7718644411E+02   -0.1599655949E+01
    0.8754089957E+02    0.9078463400E+02   -0.3243734432E+01
    0.1287812479E+03    0.1205298361E+03    0.8251411766E+01
Prediction RMSE and MaxAE:         7.5992963949       18.5698126151
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.6377679169E+02    0.7016819029E+02   -0.6391398599E+01
    0.3917125463E+02    0.3807048054E+02    0.1100774089E+01
    0.1166603165E+03    0.1115956005E+03    0.5064716043E+01
    0.6493284567E+02    0.7587938761E+02   -0.1094654194E+02
    0.3852234119E+02    0.3974506236E+02   -0.1222721175E+01
    0.4197241641E+02    0.4084525192E+02    0.1127164498E+01
    0.5677301169E+02    0.6335646917E+02   -0.6583457471E+01
    0.6979480419E+02    0.7741365763E+02   -0.7618853437E+01
    0.6029149555E+02    0.6174368222E+02   -0.1452186670E+01
    0.4500912398E+02    0.3646161211E+02    0.8547511875E+01
    0.5967295456E+02    0.4557933926E+02    0.1409361530E+02
    0.2911030054E+02    0.3850769710E+02   -0.9397396559E+01
    0.6056238656E+02    0.5542128101E+02    0.5141105547E+01
    0.5965694308E+02    0.6327644445E+02   -0.3619501371E+01
    0.1053096570E+03    0.1084244084E+03   -0.3114751443E+01
    0.9610191643E+02    0.9837844000E+02   -0.2276523574E+01
    0.1371480612E+03    0.1509791577E+03   -0.1383109650E+02
    0.1362592133E+03    0.1446060672E+03   -0.8346853920E+01
    0.1344648149E+03    0.1413903102E+03   -0.6925495253E+01
    0.1271803418E+03    0.1316327157E+03   -0.4452373906E+01
    0.1262177758E+03    0.1299911379E+03   -0.3773362040E+01
    0.2456282289E+02    0.3113410838E+02   -0.6571285495E+01
    0.2578843305E+02    0.2835564980E+02   -0.2567216750E+01
    0.2450184071E+02    0.2648100406E+02   -0.1979163356E+01
    0.4446999058E+02    0.4532201796E+02   -0.8520273793E+00
    0.2705301994E+02    0.3262216083E+02   -0.5569140886E+01
    0.3504358803E+02    0.3752122505E+02   -0.2477637025E+01
    0.6904760257E+02    0.6550337625E+02    0.3544226314E+01
    0.1104302259E+03    0.1136079585E+03   -0.3177732609E+01
    0.1360948904E+03    0.1359000313E+03    0.1948590891E+00
    0.6152011377E+02    0.6794690452E+02   -0.6426790757E+01
    0.7558678816E+02    0.8213653862E+02   -0.6549750457E+01
    0.8754089957E+02    0.9608530142E+02   -0.8544401851E+01
    0.1287812479E+03    0.1231251621E+03    0.5656085766E+01
Prediction RMSE and MaxAE:         6.3121767255       14.0936153007
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.6377679169E+02    0.7024514544E+02   -0.6468353741E+01
    0.3917125463E+02    0.3813458226E+02    0.1036672370E+01
    0.1166603165E+03    0.1138227443E+03    0.2837572150E+01
    0.6493284567E+02    0.7538614827E+02   -0.1045330260E+02
    0.3852234119E+02    0.3848592098E+02    0.3642021179E-01
    0.4197241641E+02    0.3918246464E+02    0.2789951774E+01
    0.5677301169E+02    0.6386608589E+02   -0.7093074198E+01
    0.6979480419E+02    0.7865010081E+02   -0.8855296620E+01
    0.6029149555E+02    0.6335696275E+02   -0.3065467204E+01
    0.4500912398E+02    0.3769430604E+02    0.7314817941E+01
    0.5967295456E+02    0.4850903487E+02    0.1116391969E+02
    0.2911030054E+02    0.3965208690E+02   -0.1054178635E+02
    0.6056238656E+02    0.6002958078E+02    0.5328057720E+00
    0.5965694308E+02    0.6665408177E+02   -0.6997138698E+01
    0.1053096570E+03    0.1078656994E+03   -0.2556042464E+01
    0.9610191643E+02    0.9943709225E+02   -0.3335175819E+01
    0.1371480612E+03    0.1417163956E+03   -0.4568334398E+01
    0.1362592133E+03    0.1368621623E+03   -0.6029490344E+00
    0.1344648149E+03    0.1344085445E+03    0.5627048771E-01
    0.1271803418E+03    0.1269496111E+03    0.2307307459E+00
    0.1262177758E+03    0.1256930932E+03    0.5246826677E+00
    0.2456282289E+02    0.2398249294E+02    0.5803299417E+00
    0.2578843305E+02    0.2278656833E+02    0.3001864716E+01
    0.2450184071E+02    0.2199336816E+02    0.2508472546E+01
    0.4446999058E+02    0.4599652170E+02   -0.1526531127E+01
    0.2705301994E+02    0.3233299239E+02   -0.5279972454E+01
    0.3504358803E+02    0.3890508695E+02   -0.3861498920E+01
