Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3071145667E+03    0.3308352251E+03   -0.2372065839E+02
    0.4187009000E+03    0.4289702924E+03   -0.1026939239E+02
    0.2309024667E+03    0.2412374071E+03   -0.1033494041E+02
    0.2359238667E+03    0.2409654821E+03   -0.5041615446E+01
    0.2859014667E+03    0.3033725438E+03   -0.1747107717E+02
    0.3238940333E+03    0.3329013894E+03   -0.9007356018E+01
    0.2500072667E+03    0.2732034920E+03   -0.2319622537E+02
    0.2889783333E+03    0.3075624466E+03   -0.1858411323E+02
    0.3113269333E+03    0.3051571320E+03    0.6169801298E+01
    0.4657620000E+03    0.4882961935E+03   -0.2253419350E+02
    0.5003844000E+03    0.4775309738E+03    0.2285342616E+02
    0.2426874667E+03    0.2409413110E+03    0.1746155661E+01
    0.2826566667E+03    0.3091600915E+03   -0.2650342483E+02
    0.3192131333E+03    0.3206752903E+03   -0.1462156921E+01
    0.4555497333E+03    0.4491867880E+03    0.6362945289E+01
    0.5099616667E+03    0.5334792053E+03   -0.2351753864E+02
    0.3920042333E+03    0.3780284949E+03    0.1397573839E+02
Prediction RMSE and MaxAE:        16.5116731122       26.5034248301
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3071145667E+03    0.3240924599E+03   -0.1697789319E+02
    0.4187009000E+03    0.4196431054E+03   -0.9422054059E+00
    0.2309024667E+03    0.2244947175E+03    0.6407749200E+01
    0.2359238667E+03    0.2200473262E+03    0.1587654043E+02
    0.2859014667E+03    0.2913686027E+03   -0.5467136047E+01
    0.3238940333E+03    0.3362164022E+03   -0.1232236883E+02
    0.2500072667E+03    0.2691898967E+03   -0.1918263004E+02
    0.2889783333E+03    0.2886677396E+03    0.3105937721E+00
    0.3113269333E+03    0.3230867566E+03   -0.1175982331E+02
    0.4657620000E+03    0.4668383515E+03   -0.1076351451E+01
    0.5003844000E+03    0.4883792979E+03    0.1200510211E+02
    0.2426874667E+03    0.2463628864E+03   -0.3675419720E+01
    0.2826566667E+03    0.2881058800E+03   -0.5449213352E+01
    0.3192131333E+03    0.3242380232E+03   -0.5024889904E+01
    0.4555497333E+03    0.4502591690E+03    0.5290564285E+01
    0.5099616667E+03    0.5053813551E+03    0.4580311584E+01
    0.3920042333E+03    0.4043226041E+03   -0.1231837076E+02
Prediction RMSE and MaxAE:         9.9551898944       19.1826300417
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3071145667E+03    0.3141819395E+03   -0.7067372878E+01
    0.4187009000E+03    0.4233407729E+03   -0.4639872875E+01
    0.2309024667E+03    0.2519024432E+03   -0.2099997657E+02
    0.2359238667E+03    0.2494451588E+03   -0.1352129213E+02
    0.2859014667E+03    0.2989684437E+03   -0.1306697701E+02
    0.3238940333E+03    0.3296592983E+03   -0.5765264980E+01
    0.2500072667E+03    0.2428478387E+03    0.7159427981E+01
    0.2889783333E+03    0.2796260841E+03    0.9352249191E+01
    0.3113269333E+03    0.3140349027E+03   -0.2707969329E+01
    0.4657620000E+03    0.4578301962E+03    0.7931803814E+01
    0.5003844000E+03    0.4945608464E+03    0.5823553595E+01
    0.2426874667E+03    0.2524708649E+03   -0.9783398230E+01
    0.2826566667E+03    0.2989787609E+03   -0.1632209422E+02
    0.3192131333E+03    0.3337814185E+03   -0.1456828512E+02
    0.4555497333E+03    0.4598408731E+03   -0.4291139805E+01
    0.5099616667E+03    0.5149798156E+03   -0.5018148971E+01
    0.3920042333E+03    0.3952954448E+03   -0.3291211481E+01
Prediction RMSE and MaxAE:        10.2065590501       20.9999765711
