Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1215912466E+03    0.1389450744E+03   -0.1735382782E+02
    0.3022450560E+03    0.2750325449E+03    0.2721251110E+02
    0.1198075480E+03    0.8946101246E+02    0.3034653550E+02
    0.1135857840E+03    0.1014484922E+03    0.1213729182E+02
    0.2788580290E+03    0.2336581198E+03    0.4519990918E+02
    0.1177067906E+03    0.9252824998E+02    0.2517854065E+02
    0.2754221649E+03    0.2471748902E+03    0.2824727464E+02
    0.1012461757E+03    0.7547538625E+02    0.2577078940E+02
    0.3342069804E+03    0.3157961745E+03    0.1841080594E+02
    0.3044292394E+03    0.2737514344E+03    0.3067780503E+02
    0.3466922574E+03    0.3340156105E+03    0.1267664694E+02
    0.2133581471E+03    0.2253600945E+03   -0.1200194740E+02
    0.1376933148E+03    0.1159527406E+03    0.2174057417E+02
    0.1532934530E+03    0.1311198236E+03    0.2217362935E+02
    0.6514082646E+02    0.6700337885E+02   -0.1862552393E+01
    0.6708569690E+02    0.6384919805E+02    0.3236498854E+01
    0.2324792831E+03    0.2673927658E+03   -0.3491348271E+02
Prediction RMSE and MaxAE:        24.2911050056       45.1999091785
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1215912466E+03    0.1307151806E+03   -0.9123934054E+01
    0.3022450560E+03    0.2869844302E+03    0.1526062577E+02
    0.1198075480E+03    0.9437283258E+02    0.2543471538E+02
    0.1135857840E+03    0.1062895154E+03    0.7296268579E+01
    0.2788580290E+03    0.2440215576E+03    0.3483647136E+02
    0.1177067906E+03    0.9213382312E+02    0.2557296750E+02
    0.2754221649E+03    0.2512636525E+03    0.2415851231E+02
    0.1012461757E+03    0.7968098259E+02    0.2156519306E+02
    0.3342069804E+03    0.3077495556E+03    0.2645742476E+02
    0.3044292394E+03    0.2908940508E+03    0.1353518858E+02
    0.3466922574E+03    0.3348428927E+03    0.1184936471E+02
    0.2133581471E+03    0.2167360890E+03   -0.3377941965E+01
    0.1376933148E+03    0.1175154629E+03    0.2017785186E+02
    0.1532934530E+03    0.1351597096E+03    0.1813374336E+02
    0.6514082646E+02    0.6671855274E+02   -0.1577726287E+01
    0.6708569690E+02    0.6662523487E+02    0.4604620344E+00
    0.2324792831E+03    0.2511071267E+03   -0.1862784362E+02
Prediction RMSE and MaxAE:        18.8698819683       34.8364713623
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1215912466E+03    0.1246808929E+03   -0.3089646333E+01
    0.3022450560E+03    0.2947053346E+03    0.7539721392E+01
    0.1198075480E+03    0.9627828956E+02    0.2352925840E+02
    0.1135857840E+03    0.1000922766E+03    0.1349350742E+02
    0.2788580290E+03    0.2593910291E+03    0.1946699980E+02
    0.1177067906E+03    0.9388415283E+02    0.2382263780E+02
    0.2754221649E+03    0.2651370209E+03    0.1028514393E+02
    0.1012461757E+03    0.7999847096E+02    0.2124770469E+02
    0.3342069804E+03    0.3079937100E+03    0.2621327041E+02
    0.3044292394E+03    0.2959879694E+03    0.8441269962E+01
    0.3466922574E+03    0.3330043925E+03    0.1368786495E+02
    0.2133581471E+03    0.2213869726E+03   -0.8028825594E+01
    0.1376933148E+03    0.1194009714E+03    0.1829234339E+02
    0.1532934530E+03    0.1355384607E+03    0.1775499228E+02
    0.6514082646E+02    0.7266958954E+02   -0.7528763080E+01
    0.6708569690E+02    0.7103412297E+02   -0.3948426072E+01
    0.2324792831E+03    0.2407886142E+03   -0.8309331060E+01
Prediction RMSE and MaxAE:        15.5434921580       26.2132704053
