     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.3115032551E+00    0.3226236097E+00    0.2353836848E-02    0.6981284737E+01
         2    0.3727521742E+00    0.3778845903E+00    0.2776342656E-02    0.1220940378E+02
         3    0.3692808565E+00    0.3695599845E+00    0.2963224183E-02    0.8948822975E+01
         4    0.3219133907E+00    0.3379264489E+00    0.2544681672E-02    0.7700118678E+01
         5    0.3203898125E+00    0.3393015709E+00    0.2499879069E-02    0.8376252235E+01
         6    0.3755429960E+00    0.3780444231E+00    0.2766797646E-02    0.1233080840E+02
         7    0.3689363424E+00    0.3698808389E+00    0.2954057069E-02    0.9093883728E+01
         8    0.3834306331E+00    0.3957495376E+00    0.2940341033E-02    0.1362900476E+02
         9    0.3841229241E+00    0.3881755852E+00    0.3088064184E-02    0.1088263328E+02
        10    0.3981010400E+00    0.3914656004E+00    0.2981381201E-02    0.1249528182E+02
        11    0.3980037053E+00    0.4085247165E+00    0.3150857089E-02    0.1372375825E+02
        12    0.3065872278E+00    0.3111123241E+00    0.2103940809E-02    0.7490219549E+01
        13    0.3018713204E+00    0.3066534450E+00    0.2265224730E-02    0.5139796659E+01
        14    0.3946135729E+00    0.4140937504E+00    0.3128939566E-02    0.1488728661E+02
        15    0.4021863310E+00    0.4081212582E+00    0.3216129066E-02    0.1301082789E+02
        16    0.3076766726E+00    0.3283751156E+00    0.2243708407E-02    0.9046592359E+01
        17    0.3091608525E+00    0.3209642839E+00    0.2471282202E-02    0.5539745405E+01
        18    0.3092389430E+00    0.3164582177E+00    0.2315627736E-02    0.6309848217E+01
        19    0.3769629583E+00    0.3638417083E+00    0.2683239594E-02    0.1074003727E+02
        20    0.3904139452E+00    0.4080018846E+00    0.3108705069E-02    0.1405092497E+02
        21    0.3614909000E+00    0.3626886241E+00    0.2712334467E-02    0.1025672133E+02
        22    0.3569607189E+00    0.3601718838E+00    0.2901764505E-02    0.7958780890E+01
        23    0.3309396823E+00    0.3277821873E+00    0.2477267314E-02    0.6640248984E+01
        24    0.3276713441E+00    0.3278390594E+00    0.2431614007E-02    0.7100573095E+01
        25    0.3741920109E+00    0.3579605682E+00    0.2650696110E-02    0.1006101975E+02
        26    0.4010305618E+00    0.3987304696E+00    0.3055398249E-02    0.1300025050E+02
        27    0.3721079413E+00    0.3571365275E+00    0.2842612470E-02    0.8026429418E+01
        28    0.3923032117E+00    0.3723763839E+00    0.2792192781E-02    0.1111611321E+02
        29    0.3928852735E+00    0.3989643126E+00    0.3039323616E-02    0.1319869768E+02
        30    0.3763802550E+00    0.3715494955E+00    0.2944085249E-02    0.9476121007E+01
        31    0.3628066791E+00    0.3571191330E+00    0.2670249631E-02    0.9724893068E+01
        32    0.3616999086E+00    0.3564596095E+00    0.2861373814E-02    0.7726103413E+01
        33    0.3769364803E+00    0.3712355660E+00    0.2826753949E-02    0.1058092479E+02
        34    0.3572480509E+00    0.3567539615E+00    0.2753522610E-02    0.8840783639E+01
        35    0.3635729881E+00    0.3672271655E+00    0.2776132714E-02    0.1039886980E+02
        36    0.3710951698E+00    0.3770250693E+00    0.2859924353E-02    0.1123816839E+02
