     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.3115032551E+00    0.3180166141E+00    0.7585677751E+00    0.1885468124E+02    0.1357514528E+04
         2    0.3727521742E+00    0.3726579344E+00    0.1444807429E+01    0.3004457946E+02    0.1100611765E+04
         3    0.3219133907E+00    0.3309511292E+00    0.8680361424E+00    0.2005342760E+02    0.1332019000E+04
         4    0.3203898125E+00    0.3325028198E+00    0.9210274375E+00    0.2136039015E+02    0.1289881278E+04
         5    0.3755429960E+00    0.3720549243E+00    0.1432215762E+01    0.2954270920E+02    0.1148589706E+04
         6    0.3689363424E+00    0.3613604262E+00    0.1139632229E+01    0.2318594031E+02    0.1275661765E+04
         7    0.3834306331E+00    0.3937722809E+00    0.1666949742E+01    0.3274119805E+02    0.1107972161E+04
         8    0.3841229241E+00    0.3833524303E+00    0.1400968035E+01    0.2722613374E+02    0.1192006720E+04
         9    0.3981010400E+00    0.3899163011E+00    0.1492177953E+01    0.2872545438E+02    0.1170047479E+04
        10    0.3980037053E+00    0.4070262011E+00    0.1724813224E+01    0.3171608682E+02    0.1251052297E+04
        11    0.3065872278E+00    0.3082244243E+00    0.7482874633E+00    0.2014484258E+02    0.1291895659E+04
        12    0.3018713204E+00    0.3045330919E+00    0.5783081650E+00    0.1528890491E+02    0.1515871083E+04
        13    0.3946135729E+00    0.4161525024E+00    0.1993618158E+01    0.3856664340E+02    0.9733618757E+03
        14    0.4021863310E+00    0.4098740602E+00    0.1785892431E+01    0.3417859138E+02    0.1015035405E+04
        15    0.3076766726E+00    0.3233004242E+00    0.9314240486E+00    0.2335367879E+02    0.1174642642E+04
        16    0.3091608525E+00    0.3174742521E+00    0.6581438433E+00    0.1611024182E+02    0.1434779211E+04
        17    0.3769629583E+00    0.3597989115E+00    0.1209962943E+01    0.2507944741E+02    0.1266163235E+04
        18    0.3904139452E+00    0.4085722044E+00    0.1850348195E+01    0.3404748161E+02    0.1327375000E+04
        19    0.3614909000E+00    0.3655903159E+00    0.1220386467E+01    0.2547233973E+02    0.1122229412E+04
        20    0.3569607189E+00    0.3594260417E+00    0.1017095829E+01    0.2068275862E+02    0.1249301471E+04
        21    0.3309396823E+00    0.3293762754E+00    0.7484837074E+00    0.1724008634E+02    0.1364277333E+04
        22    0.3276713441E+00    0.3305297382E+00    0.7815904090E+00    0.1812611412E+02    0.1322139611E+04
        23    0.3741920109E+00    0.3561172260E+00    0.1134921359E+01    0.2368527287E+02    0.1276972059E+04
        24    0.3721079413E+00    0.3507940959E+00    0.9754040682E+00    0.1982650765E+02    0.1404044118E+04
        25    0.3923032117E+00    0.3702859508E+00    0.1299977246E+01    0.2586520365E+02    0.1282916516E+04
        26    0.3628066791E+00    0.3607241440E+00    0.1137104483E+01    0.2374717969E+02    0.1181016176E+04
        27    0.3769364803E+00    0.3771237296E+00    0.1305019480E+01    0.2600154108E+02    0.1140138290E+04
        28    0.3572480509E+00    0.3637838543E+00    0.1061470765E+01    0.2133466951E+02    0.1228272788E+04
        29    0.3635729881E+00    0.3686050887E+00    0.1264486557E+01    0.2501212617E+02    0.1320388092E+04
        30    0.3710951698E+00    0.3715146358E+00    0.1441317674E+01    0.2787997164E+02    0.1485125000E+04
        31    0.3498298330E+00    0.3685877122E+00    0.1211400918E+01    0.2352485545E+02    0.1362061622E+04
        32    0.3622700519E+00    0.3716494530E+00    0.1261526527E+01    0.2485599625E+02    0.1273184714E+04
        33    0.3556002005E+00    0.3715266520E+00    0.1207613390E+01    0.2336167644E+02    0.1314858243E+04
        34    0.3068701886E+00    0.3093466563E+00    0.7013467339E+00    0.1884227513E+02    0.1303326547E+04
        35    0.3047319468E+00    0.3051505497E+00    0.5559354841E+00    0.1462385334E+02    0.1527301971E+04
        36    0.3934461789E+00    0.4021466552E+00    0.1716788558E+01    0.3200895619E+02    0.1267216470E+04
        37    0.4069873114E+00    0.4158015381E+00    0.1986851486E+01    0.3585101481E+02    0.1423875000E+04
        38    0.3925031194E+00    0.3965462717E+00    0.1592141313E+01    0.2949571942E+02    0.1308890000E+04
        39    0.3131120344E+00    0.3220692059E+00    0.8587300286E+00    0.2144139176E+02    0.1234815537E+04
        40    0.4057369914E+00    0.4232007600E+00    0.2065458835E+01    0.3839647613E+02    0.1152000000E+04
        41    0.3055190544E+00    0.3154667710E+00    0.6339652298E+00    0.1543089821E+02    0.1494952105E+04
        42    0.3875508766E+00    0.4045949610E+00    0.1630308774E+01    0.3107859904E+02    0.1025669730E+04
        43    0.3144476998E+00    0.3237878637E+00    0.8618611859E+00    0.2159575497E+02    0.1185706326E+04
        44    0.3035142463E+00    0.3178279566E+00    0.6318749237E+00    0.1538670959E+02    0.1445842895E+04
        45    0.3153730631E+00    0.3217314699E+00    0.7589027837E+00    0.1899279500E+02    0.1259028082E+04
        46    0.3356654485E+00    0.3359822914E+00    0.8692761050E+00    0.2031551014E+02    0.1188831500E+04
        47    0.3316145550E+00    0.3369246891E+00    0.9268607854E+00    0.2180233130E+02    0.1146693778E+04
        48    0.3057408244E+00    0.3098393467E+00    0.7506958311E+00    0.2030381993E+02    0.1241156512E+04
        49    0.3022545026E+00    0.3068770639E+00    0.5767243359E+00    0.1526805951E+02    0.1465131936E+04
        50    0.4319090039E+00    0.4266752923E+00    0.1923528776E+01    0.3500054638E+02    0.1090815660E+04
        51    0.4008107104E+00    0.3972061287E+00    0.1623035680E+01    0.3127199214E+02    0.1113421375E+04
        52    0.3863661790E+00    0.3881388461E+00    0.1533930849E+01    0.3020187726E+02    0.1120685207E+04
        53    0.3567211668E+00    0.3712091369E+00    0.1370437333E+01    0.2826829186E+02    0.1134805760E+04
        54    0.3390427691E+00    0.3558876835E+00    0.1224726449E+01    0.2656675617E+02    0.1148383500E+04
        55    0.3291813919E+00    0.3421287503E+00    0.1094815216E+01    0.2505600225E+02    0.1161418427E+04
        56    0.3243536271E+00    0.3298532163E+00    0.9789486392E+00    0.2370405957E+02    0.1173910540E+04
        57    0.3252255627E+00    0.3242418457E+00    0.9257892345E+00    0.2307956630E+02    0.1179953042E+04
        58    0.3261143142E+00    0.3189642112E+00    0.8755725058E+00    0.2248577280E+02    0.1185859840E+04
        59    0.3239659235E+00    0.3093570195E+00    0.7833095772E+00    0.2138107484E+02    0.1197266327E+04
        60    0.3733715764E+00    0.3683591603E+00    0.1146304695E+01    0.2314846599E+02    0.1166389840E+04
        61    0.3805400206E+00    0.3616123679E+00    0.1069695069E+01    0.2209254706E+02    0.1174764873E+04
        62    0.3694195579E+00    0.3540083552E+00    0.9999708411E+00    0.2130482560E+02    0.1182237760E+04
        63    0.3485184075E+00    0.3458728315E+00    0.9366088148E+00    0.2073461824E+02    0.1188808500E+04
        64    0.3301994043E+00    0.3373929881E+00    0.8791444378E+00    0.2034894090E+02    0.1194477093E+04
        65    0.3300178520E+00    0.3286619518E+00    0.8271696305E+00    0.2012722040E+02    0.1199243540E+04
        66    0.3296708943E+00    0.3242120391E+00    0.8031284594E+00    0.2007404551E+02    0.1201288458E+04
        67    0.3275040021E+00    0.3197037882E+00    0.7803317920E+00    0.2005832536E+02    0.1203107840E+04
        68    0.4357322360E+00    0.4240001194E+00    0.2087721988E+01    0.4087579500E+02    0.7965381600E+03
        69    0.3992104702E+00    0.4060046532E+00    0.1835141021E+01    0.3681367665E+02    0.8380618400E+03
        70    0.3949555381E+00    0.3973094160E+00    0.1722215321E+01    0.3505915524E+02    0.8592182500E+03
        71    0.3897969196E+00    0.3888709517E+00    0.1617186695E+01    0.3345867058E+02    0.8806377067E+03
        72    0.3713716119E+00    0.3728527181E+00    0.1428250770E+01    0.3064893409E+02    0.9242657600E+03
        73    0.3632482216E+00    0.3580442145E+00    0.1263820929E+01    0.2826719425E+02    0.9689460000E+03
        74    0.3390596413E+00    0.3444487371E+00    0.1120225039E+01    0.2622666346E+02    0.1014678427E+04
        75    0.3345703037E+00    0.3320188276E+00    0.9944446130E+00    0.2446191294E+02    0.1061463040E+04
        76    0.3325398245E+00    0.3262183531E+00    0.9374358452E+00    0.2366681131E+02    0.1085249917E+04
        77    0.3236357173E+00    0.3103459695E+00    0.7867281124E+00    0.2157032474E+02    0.1158188827E+04
        78    0.3030667899E+00    0.2919412626E+00    0.4993231049E+00    0.1428364971E+02    0.1625192000E+04
        79    0.3016141520E+00    0.2922862331E+00    0.5068851706E+00    0.1453165349E+02    0.1605990000E+04
        80    0.3013730675E+00    0.2937660897E+00    0.5516735027E+00    0.1596471758E+02    0.1509980000E+04
        81    0.3033088718E+00    0.2942386366E+00    0.5736990672E+00    0.1664871683E+02    0.1471576000E+04
        82    0.3048279490E+00    0.2949856557E+00    0.6277198932E+00    0.1827462214E+02    0.1394768000E+04
        83    0.3052152848E+00    0.2952789101E+00    0.6613421291E+00    0.1925259541E+02    0.1356364000E+04
        84    0.4320800811E+00    0.4160598831E+00    0.2007216191E+01    0.3600031387E+02    0.1475800000E+04
        85    0.4194647730E+00    0.4055246756E+00    0.1882852312E+01    0.3425893057E+02    0.1485600000E+04
        86    0.4152703718E+00    0.4008866064E+00    0.1827789796E+01    0.3348157875E+02    0.1490500000E+04
        87    0.3955196646E+00    0.3965941137E+00    0.1776775641E+01    0.3275876418E+02    0.1495400000E+04
        88    0.3875387003E+00    0.3888742600E+00    0.1685228840E+01    0.3145782239E+02    0.1505200000E+04
        89    0.3773174658E+00    0.3820829119E+00    0.1605417914E+01    0.3032361474E+02    0.1515000000E+04
        90    0.3722096650E+00    0.3760130413E+00    0.1535222075E+01    0.2933063354E+02    0.1524800000E+04
        91    0.3658986417E+00    0.3705095031E+00    0.1473002497E+01    0.2845859832E+02    0.1534600000E+04
        92    0.3654385006E+00    0.3679319428E+00    0.1444470699E+01    0.2806271223E+02    0.1539500000E+04
        93    0.3628786252E+00    0.3654537627E+00    0.1417472770E+01    0.2769120709E+02    0.1544400000E+04
        94    0.3593327157E+00    0.3607536183E+00    0.1367608998E+01    0.2701523199E+02    0.1554200000E+04
        95    0.4236008781E+00    0.4307160978E+00    0.2171700865E+01    0.3845098937E+02    0.1422500000E+04
        96    0.4302033384E+00    0.4324364650E+00    0.2189374014E+01    0.3891495638E+02    0.1379000000E+04
        97    0.4351999837E+00    0.4331963071E+00    0.2198620481E+01    0.3916840570E+02    0.1357250000E+04
        98    0.4366919796E+00    0.4338806428E+00    0.2208157375E+01    0.3943758408E+02    0.1335500000E+04
        99    0.4347549284E+00    0.4356999196E+00    0.2249501243E+01    0.4069766294E+02    0.1248500000E+04
       100    0.4361630142E+00    0.4359132865E+00    0.2272323710E+01    0.4146033206E+02    0.1205000000E+04
       101    0.4349348493E+00    0.4350418661E+00    0.2309688077E+01    0.4281836818E+02    0.1139750000E+04
