     Index       y_measurement           y_fitting        descriptor_1
         1    0.1129134333E+03    0.9246472104E+02    0.4177305629E+01
         2    0.6408266667E+02    0.6056405062E+02    0.3824619055E+01
         3    0.9851213333E+02    0.8209179615E+02    0.4062624925E+01
         4    0.5629570000E+02    0.4848468803E+02    0.3691072363E+01
         5    0.4909853333E+02    0.3805719925E+02    0.3575788413E+01
         6    0.5078230000E+02    0.4642085624E+02    0.3668255107E+01
         7    0.4487846667E+02    0.4400769944E+02    0.3641575793E+01
         8    0.3941803333E+02    0.2991534565E+02    0.3485773927E+01
         9    0.4091123333E+02    0.3380903500E+02    0.3528821673E+01
        10    0.1155721667E+03    0.9412073748E+02    0.4195614171E+01
        11    0.1317270667E+03    0.1158042371E+03    0.4435342023E+01
        12    0.4379320000E+02    0.2578562016E+02    0.3440116619E+01
        13    0.4094110000E+02    0.3019990621E+02    0.3488919964E+01
        14    0.1067330000E+03    0.7888496207E+02    0.4027170895E+01
        15    0.1236949333E+03    0.1049742694E+03    0.4315608357E+01
        16    0.1185663333E+03    0.1008492522E+03    0.4270003103E+01
        17    0.4281686667E+02    0.2691510391E+02    0.3452603935E+01
        18    0.6653600000E+02    0.6941205275E+02    0.3922440559E+01
        19    0.6544593333E+02    0.5634837601E+02    0.3778011513E+01
        20    0.7081320000E+02    0.6882524974E+02    0.3915952998E+01
        21    0.9909350000E+02    0.9425079812E+02    0.4197052092E+01
        22    0.9879613333E+02    0.9024786196E+02    0.4152796538E+01
        23    0.5754726667E+02    0.6170528560E+02    0.3837236290E+01
        24    0.3968340000E+02    0.3076988644E+02    0.3495221536E+01
        25    0.6419260000E+02    0.7319455494E+02    0.3964259045E+01
        26    0.4755836667E+02    0.5168757440E+02    0.3726482748E+01
        27    0.4298803333E+02    0.3123304826E+02    0.3500342148E+01
        28    0.5702396667E+02    0.5917342376E+02    0.3809244600E+01
        29    0.6448746667E+02    0.6100375619E+02    0.3829480340E+01
        30    0.6892443333E+02    0.7302945577E+02    0.3962433746E+01
        31    0.6024150000E+02    0.5853769291E+02    0.3802216104E+01
        32    0.6916680000E+02    0.6647770907E+02    0.3889999121E+01
        33    0.6074053333E+02    0.5261849971E+02    0.3736774847E+01
        34    0.6976280000E+02    0.5614278007E+02    0.3775738491E+01
        35    0.6109540000E+02    0.5252046984E+02    0.3735691051E+01
        36    0.6641613333E+02    0.5612303627E+02    0.3775520208E+01
        37    0.1171394000E+03    0.9856945124E+02    0.4244798141E+01
        38    0.1298107667E+03    0.1199819052E+03    0.4481529373E+01
        39    0.3551316667E+02    0.2423647603E+02    0.3422989633E+01
        40    0.4331223333E+02    0.3808075057E+02    0.3576048791E+01
        41    0.1050881333E+03    0.8386239625E+02    0.4082200278E+01
        42    0.3710063333E+02    0.2063553383E+02    0.3383178433E+01
        43    0.1270568667E+03    0.1090299707E+03    0.4360447271E+01
        44    0.4623996667E+02    0.3019990621E+02    0.3488919964E+01
        45    0.4979963333E+02    0.3454620878E+02    0.3536971699E+01
        46    0.1048403333E+03    0.8337918328E+02    0.4076857985E+01
        47    0.1283589667E+03    0.1091315927E+03    0.4361570780E+01
        48    0.1119227000E+03    0.9184749717E+02    0.4170481742E+01
        49    0.5990580000E+02    0.3988172891E+02    0.3595959999E+01
        50    0.1167444000E+03    0.9364897951E+02    0.4190398522E+01
        51    0.1322718667E+03    0.1158407430E+03    0.4435745624E+01
        52    0.1511233333E+02    0.2862616706E+02    0.3471521061E+01
