Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1115410667E+03    0.1039035461E+03    0.7637520559E+01
    0.7687850000E+02    0.8985458613E+02   -0.1297608613E+02
    0.1151615000E+03    0.1129344016E+03    0.2227098442E+01
    0.1167479333E+03    0.9917235815E+02    0.1757557518E+02
    0.1130756000E+03    0.1064652804E+03    0.6610319624E+01
    0.1001710667E+03    0.1081508900E+03   -0.7979823323E+01
    0.1155646000E+03    0.1155071816E+03    0.5741843609E-01
    0.9753893333E+02    0.9314667388E+02    0.4392259451E+01
    0.9081230000E+02    0.9088261120E+02   -0.7031119655E-01
    0.7789620000E+02    0.7310871592E+02    0.4787484081E+01
    0.1177511000E+03    0.1174463878E+03    0.3047122080E+00
    0.9885580000E+02    0.9556954227E+02    0.3286257729E+01
    0.9634486667E+02    0.1073099561E+03   -0.1096508948E+02
    0.1282394333E+03    0.1256689192E+03    0.2570514125E+01
    0.1324569000E+03    0.1228113253E+03    0.9645574661E+01
    0.6796646667E+02    0.7779608970E+02   -0.9829623037E+01
    0.1238607000E+03    0.1187275497E+03    0.5133150325E+01
Prediction RMSE and MaxAE:         7.8362143351       17.5755751833
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1115410667E+03    0.1040643863E+03    0.7476680389E+01
    0.7687850000E+02    0.9004887557E+02   -0.1317037557E+02
    0.1151615000E+03    0.1102022532E+03    0.4959246766E+01
    0.1167479333E+03    0.9995950815E+02    0.1678842518E+02
    0.1130756000E+03    0.1106276629E+03    0.2447937106E+01
    0.1001710667E+03    0.1048908397E+03   -0.4719773025E+01
    0.1155646000E+03    0.1178724653E+03   -0.2307865317E+01
    0.9753893333E+02    0.9524329987E+02    0.2295633467E+01
    0.9081230000E+02    0.9366383418E+02   -0.2851534178E+01
    0.7789620000E+02    0.6846711444E+02    0.9429085556E+01
    0.1177511000E+03    0.1244976782E+03   -0.6746578160E+01
    0.9885580000E+02    0.9980193864E+02   -0.9461386425E+00
    0.9634486667E+02    0.1015493377E+03   -0.5204471066E+01
    0.1282394333E+03    0.1241331372E+03    0.4106296149E+01
    0.1324569000E+03    0.1251211481E+03    0.7335751905E+01
    0.6796646667E+02    0.6305413889E+02    0.4912327774E+01
    0.1238607000E+03    0.1213506186E+03    0.2510081422E+01
Prediction RMSE and MaxAE:         7.0557153816       16.7884251790
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1115410667E+03    0.1020184183E+03    0.9522648350E+01
    0.7687850000E+02    0.8877814605E+02   -0.1189964605E+02
    0.1151615000E+03    0.1121691542E+03    0.2992345777E+01
    0.1167479333E+03    0.1019144193E+03    0.1483351406E+02
    0.1130756000E+03    0.1089240694E+03    0.4151530621E+01
    0.1001710667E+03    0.9806582126E+02    0.2105245406E+01
    0.1155646000E+03    0.1230218687E+03   -0.7457268684E+01
    0.9753893333E+02    0.9139274807E+02    0.6146185266E+01
    0.9081230000E+02    0.8928693087E+02    0.1525369127E+01
    0.7789620000E+02    0.6966135442E+02    0.8234845578E+01
    0.1177511000E+03    0.1193539093E+03   -0.1602809268E+01
    0.9885580000E+02    0.9558555057E+02    0.3270249431E+01
    0.9634486667E+02    0.9615684634E+02    0.1880203311E+00
    0.1282394333E+03    0.1271911021E+03    0.1048331231E+01
    0.1324569000E+03    0.1288761327E+03    0.3580767285E+01
    0.6796646667E+02    0.5888756877E+02    0.9078897894E+01
    0.1238607000E+03    0.1183386950E+03    0.5522005036E+01
Prediction RMSE and MaxAE:         6.8022553658       14.8335140612
