Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1139947988E+03    0.1125848692E+03    0.1409929674E+01
    0.3443617784E+03    0.3362192357E+03    0.8142542715E+01
    0.2605553334E+03    0.2774342146E+03   -0.1687888122E+02
    0.1770777058E+03    0.1867559679E+03   -0.9678262110E+01
    0.1854096194E+03    0.2016856707E+03   -0.1627605128E+02
    0.9846246946E+02    0.8647659542E+02    0.1198587404E+02
    0.1336360451E+03    0.1145954427E+03    0.1904060239E+02
    0.1161810959E+03    0.1297175254E+03   -0.1353642945E+02
    0.1374857342E+03    0.1402364054E+03   -0.2750671198E+01
    0.2563639819E+03    0.2543084810E+03    0.2055500905E+01
    0.2589913668E+03    0.2609086376E+03   -0.1917270763E+01
    0.2636269676E+03    0.2674342278E+03   -0.3807260281E+01
    0.7419914298E+02    0.8198559925E+02   -0.7786456270E+01
    0.1365911272E+03    0.1283630834E+03    0.8228043718E+01
    0.1664174620E+03    0.1516606581E+03    0.1475680387E+02
    0.2489758592E+03    0.2337154889E+03    0.1526037031E+02
    0.3559526572E+03    0.3661353658E+03   -0.1018270855E+02
    0.3429812803E+03    0.3422981220E+03    0.6831582721E+00
    0.9507898511E+02    0.9783212496E+02   -0.2753139846E+01
    0.1152563537E+03    0.1017675012E+03    0.1348885242E+02
    0.1575849665E+03    0.1400474387E+03    0.1753752787E+02
    0.1621881784E+03    0.1474820779E+03    0.1470610054E+02
    0.8311168116E+02    0.7652054755E+02    0.6591133605E+01
    0.6625141588E+02    0.7007872957E+02   -0.3827313684E+01
    0.1388089549E+03    0.1355573876E+03    0.3251567295E+01
    0.1291537303E+03    0.1313803910E+03   -0.2226660675E+01
    0.1106958100E+03    0.1134905327E+03   -0.2794722739E+01
    0.1672786173E+03    0.1963098481E+03   -0.2903123084E+02
    0.3348078087E+03    0.3229388027E+03    0.1186900595E+02
    0.2062694130E+03    0.2460716672E+03   -0.3980225422E+02
    0.3243674594E+03    0.3287014812E+03   -0.4334021779E+01
    0.1243448504E+03    0.1413631624E+03   -0.1701831200E+02
    0.2786727984E+03    0.2900296525E+03   -0.1135685410E+02
    0.3525696231E+03    0.3562540671E+03   -0.3684443952E+01
Prediction RMSE and MaxAE:        13.2042262000       39.8022542165
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1139947988E+03    0.1118927807E+03    0.2102018171E+01
    0.3443617784E+03    0.3325301377E+03    0.1183164073E+02
    0.2605553334E+03    0.2567156875E+03    0.3839645932E+01
    0.1770777058E+03    0.1829225116E+03   -0.5844805778E+01
    0.1854096194E+03    0.1837259287E+03    0.1683690710E+01
    0.9846246946E+02    0.8915404413E+02    0.9308425332E+01
    0.1336360451E+03    0.1165508712E+03    0.1708517389E+02
    0.1161810959E+03    0.1285836087E+03   -0.1240251273E+02
    0.1374857342E+03    0.1393674227E+03   -0.1881688435E+01
    0.2563639819E+03    0.2513917853E+03    0.4972196636E+01
    0.2589913668E+03    0.2618977406E+03   -0.2906373811E+01
    0.2636269676E+03    0.2728532835E+03   -0.9226315932E+01
    0.7419914298E+02    0.8020816589E+02   -0.6009022909E+01
    0.1365911272E+03    0.1336151703E+03    0.2975956900E+01
    0.1664174620E+03    0.1603408552E+03    0.6076606761E+01
    0.2489758592E+03    0.2539851483E+03   -0.5009289048E+01
    0.3559526572E+03    0.3710543085E+03   -0.1510165133E+02
    0.3429812803E+03    0.3584232017E+03   -0.1544192139E+02
    0.9507898511E+02    0.9984597655E+02   -0.4766991444E+01
    0.1152563537E+03    0.1038631899E+03    0.1139316379E+02
    0.1575849665E+03    0.1434810391E+03    0.1410392741E+02
    0.1621881784E+03    0.1513144045E+03    0.1087377391E+02
    0.8311168116E+02    0.7883459052E+02    0.4277090635E+01
    0.6625141588E+02    0.7199517901E+02   -0.5743763125E+01
    0.1388089549E+03    0.1412061823E+03   -0.2397227388E+01
    0.1291537303E+03    0.1370414981E+03   -0.7887767814E+01
    0.1106958100E+03    0.1182525956E+03   -0.7556785609E+01
    0.1672786173E+03    0.1875175513E+03   -0.2023893405E+02
    0.3348078087E+03    0.3120505570E+03    0.2275725171E+02
    0.2062694130E+03    0.2138289813E+03   -0.7559568313E+01
    0.3243674594E+03    0.2998359611E+03    0.2453149833E+02
    0.1243448504E+03    0.1482133320E+03   -0.2386848158E+02
    0.2786727984E+03    0.2948783112E+03   -0.1620551286E+02
    0.3525696231E+03    0.3525462365E+03    0.2338667555E-01
Prediction RMSE and MaxAE:        11.4899726257       24.5314983279
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1139947988E+03    0.1054265554E+03    0.8568243388E+01
    0.3443617784E+03    0.3381921063E+03    0.6169672070E+01
    0.2605553334E+03    0.2700661360E+03   -0.9510802542E+01
    0.1770777058E+03    0.1881215442E+03   -0.1104383838E+02
    0.1854096194E+03    0.1814853735E+03    0.3924245939E+01
    0.9846246946E+02    0.8845455474E+02    0.1000791473E+02
    0.1336360451E+03    0.1082619925E+03    0.2537405262E+02
    0.1161810959E+03    0.1318847573E+03   -0.1570366136E+02
    0.1374857342E+03    0.1452973259E+03   -0.7811591671E+01
    0.2563639819E+03    0.2511701039E+03    0.5193877996E+01
    0.2589913668E+03    0.2601784281E+03   -0.1187061341E+01
    0.2636269676E+03    0.2691498240E+03   -0.5522856400E+01
    0.7419914298E+02    0.8608844271E+02   -0.1188929973E+02
    0.1365911272E+03    0.1394800138E+03   -0.2888886607E+01
    0.1664174620E+03    0.1659291878E+03    0.4882741891E+00
    0.2489758592E+03    0.2586128527E+03   -0.9636993464E+01
    0.3559526572E+03    0.3648885322E+03   -0.8935874989E+01
    0.3429812803E+03    0.3480542991E+03   -0.5073018849E+01
    0.9507898511E+02    0.1018379617E+03   -0.6758976589E+01
    0.1152563537E+03    0.1061944822E+03    0.9061871465E+01
    0.1575849665E+03    0.1460398194E+03    0.1154514711E+02
    0.1621881784E+03    0.1532756952E+03    0.8912483234E+01
    0.8311168116E+02    0.7695723980E+02    0.6154441354E+01
    0.6625141588E+02    0.7185453284E+02   -0.5603116960E+01
    0.1388089549E+03    0.1401137867E+03   -0.1304831826E+01
    0.1291537303E+03    0.1359641039E+03   -0.6810373575E+01
    0.1106958100E+03    0.1189796199E+03   -0.8283809943E+01
    0.1672786173E+03    0.1805601499E+03   -0.1328153259E+02
    0.3348078087E+03    0.3143786795E+03    0.2042912921E+02
    0.2062694130E+03    0.2255441292E+03   -0.1927471625E+02
    0.3243674594E+03    0.3160640297E+03    0.8303429674E+01
    0.1243448504E+03    0.1330797516E+03   -0.8734901165E+01
    0.2786727984E+03    0.2827891384E+03   -0.4116340019E+01
    0.3525696231E+03    0.3559963839E+03   -0.3426760725E+01
Prediction RMSE and MaxAE:        10.0935460155       25.3740526169
