Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4077056391E+02    0.4327389532E+02   -0.2503331407E+01
    0.1322564577E+03    0.1297013739E+03    0.2555083774E+01
    0.9788397509E+02    0.1033920512E+03   -0.5508076091E+01
    0.6496802097E+02    0.6663773340E+02   -0.1669712436E+01
    0.6830351287E+02    0.7172932314E+02   -0.3425810266E+01
    0.3499053213E+02    0.3467502100E+02    0.3155111317E+00
    0.4815536762E+02    0.3776863589E+02    0.1038673174E+02
    0.4146923460E+02    0.5112151636E+02   -0.9652281767E+01
    0.4958492797E+02    0.5486458516E+02   -0.5279657189E+01
    0.9637614321E+02    0.9716350503E+02   -0.7873618274E+00
    0.9738927426E+02    0.1003851826E+03   -0.2995908294E+01
    0.9929422704E+02    0.1036157293E+03   -0.4321502245E+01
    0.2584017448E+02    0.2816822663E+02   -0.2328052144E+01
    0.4914067848E+02    0.4436659834E+02    0.4774080135E+01
    0.6067555305E+02    0.5315845504E+02    0.7517098011E+01
    0.9342154533E+02    0.8783280086E+02    0.5588744476E+01
    0.1367350903E+03    0.1438981204E+03   -0.7163030114E+01
    0.1317766937E+03    0.1348119755E+03   -0.3035281729E+01
    0.3359039622E+02    0.3865583691E+02   -0.5065440687E+01
    0.4129513778E+02    0.3966271968E+02    0.1632418103E+01
    0.5781327978E+02    0.4971480657E+02    0.8098473210E+01
    0.5965727763E+02    0.5172157858E+02    0.7935699046E+01
    0.2919065394E+02    0.3242751377E+02   -0.3236859831E+01
    0.2308806005E+02    0.2745941573E+02   -0.4371355679E+01
    0.5034060812E+02    0.4603230852E+02    0.4308299601E+01
    0.4661720364E+02    0.4445180056E+02    0.2165403078E+01
    0.3957606325E+02    0.3798495125E+02    0.1591111998E+01
    0.6092121335E+02    0.7293883668E+02   -0.1201762333E+02
    0.1282697765E+03    0.1231468881E+03    0.5122888397E+01
    0.7595481374E+02    0.8839586264E+02   -0.1244104891E+02
    0.1236164255E+03    0.1240996964E+03   -0.4832709345E+00
    0.4437180400E+02    0.4646043453E+02   -0.2088630528E+01
    0.1047380597E+03    0.1046330320E+03    0.1050277204E+00
    0.1352458823E+03    0.1359441227E+03   -0.6982403294E+00
Prediction RMSE and MaxAE:         5.5152782642       12.4410489057
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4077056391E+02    0.3655518274E+02    0.4215381171E+01
