     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2595301222E+03    0.2589681619E+03    0.3157693639E-02    0.4504919091E-02
         2    0.2079026556E+03    0.2097383344E+03    0.2903907032E-02    0.4851582199E-02
         3    0.2226869444E+03    0.2238591384E+03    0.2988099928E-02    0.4464650980E-02
         4    0.2466663556E+03    0.2468825134E+03    0.3101589970E-02    0.4433652300E-02
         5    0.2405868667E+03    0.2413035179E+03    0.3073042826E-02    0.4467556651E-02
         6    0.2209334444E+03    0.2225224783E+03    0.2984365700E-02    0.4394448524E-02
         7    0.1936777556E+03    0.1976510995E+03    0.2847759832E-02    0.4781218275E-02
         8    0.2036199000E+03    0.2060499622E+03    0.2902686042E-02    0.4428760047E-02
         9    0.1988755111E+03    0.1996659776E+03    0.2877006018E-02    0.4291344469E-02
        10    0.1820647889E+03    0.1833664699E+03    0.2786208629E-02    0.4576910071E-02
        11    0.1862727778E+03    0.1862465634E+03    0.2812957313E-02    0.4256440344E-02
        12    0.2604490667E+03    0.2595281631E+03    0.3154731622E-02    0.4648502466E-02
        13    0.2896785556E+03    0.2889904261E+03    0.3305271744E-02    0.4474884946E-02
        14    0.1894734000E+03    0.1893599754E+03    0.2801537143E-02    0.4927398077E-02
        15    0.1935410889E+03    0.1925470246E+03    0.2829527701E-02    0.4613355914E-02
        16    0.2416573111E+03    0.2429944593E+03    0.3063279542E-02    0.4921778417E-02
        17    0.2668892556E+03    0.2667677137E+03    0.3200108471E-02    0.4394328170E-02
        18    0.2110321000E+03    0.2154965319E+03    0.2955736149E-02    0.4252476326E-02
        19    0.1790172889E+03    0.1793961373E+03    0.2780845844E-02    0.4223879109E-02
        20    0.2256499111E+03    0.2298348021E+03    0.3039403783E-02    0.3905539152E-02
        21    0.2147564222E+03    0.2167820900E+03    0.2942608581E-02    0.4741698800E-02
        22    0.2279487222E+03    0.2311620589E+03    0.3027955444E-02    0.4357534821E-02
        23    0.2568662444E+03    0.2574541812E+03    0.3157898049E-02    0.4313564411E-02
        24    0.2505142889E+03    0.2517699324E+03    0.3128815429E-02    0.4348030359E-02
        25    0.2144034778E+03    0.2182390268E+03    0.2969493323E-02    0.4242768542E-02
        26    0.1817765778E+03    0.1819562348E+03    0.2793655505E-02    0.4215638057E-02
        27    0.2011406222E+03    0.2063767028E+03    0.2912479164E-02    0.4221932881E-02
        28    0.1819319111E+03    0.1812877908E+03    0.2791322933E-02    0.4192263043E-02
        29    0.2107032667E+03    0.2150721540E+03    0.2967357064E-02    0.3907169480E-02
        30    0.2151194444E+03    0.2183228269E+03    0.2953288215E-02    0.4661816033E-02
        31    0.2290660778E+03    0.2326276817E+03    0.3038262404E-02    0.4277813996E-02
        32    0.2044317667E+03    0.2072070910E+03    0.2899005311E-02    0.4663910041E-02
        33    0.2137194444E+03    0.2158370694E+03    0.2954951121E-02    0.4314158520E-02
        34    0.2164706222E+03    0.2178378280E+03    0.2971387439E-02    0.4145651330E-02
        35    0.1893699333E+03    0.1886619257E+03    0.2829112919E-02    0.4146004110E-02
        36    0.2062119333E+03    0.2058987817E+03    0.2923380307E-02    0.3888195759E-02
        37    0.2000597778E+03    0.2009156849E+03    0.2877342587E-02    0.4436552039E-02
        38    0.2051309444E+03    0.2039907265E+03    0.2904994252E-02    0.4117282371E-02
        39    0.2630736333E+03    0.2644115570E+03    0.3182455669E-02    0.4549809619E-02
        40    0.2928621333E+03    0.2941135816E+03    0.3334342628E-02    0.4371708247E-02
        41    0.1871043000E+03    0.1891288054E+03    0.2828440585E-02    0.4220382187E-02
        42    0.1764319667E+03    0.1755335471E+03    0.2763515103E-02    0.4185966570E-02
        43    0.1914784222E+03    0.1923770741E+03    0.2855397350E-02    0.3939944518E-02
        44    0.2456214556E+03    0.2475565848E+03    0.3109153428E-02    0.4325780822E-02
        45    0.1790136222E+03    0.1795182910E+03    0.2778049337E-02    0.4309438594E-02
        46    0.2811406222E+03    0.2807329280E+03    0.3288588254E-02    0.3880133465E-02
        47    0.1923749111E+03    0.1935740349E+03    0.2825915927E-02    0.4830763815E-02
        48    0.1980689000E+03    0.1968547589E+03    0.2854156981E-02    0.4521924106E-02
        49    0.2452193667E+03    0.2476415343E+03    0.3090127056E-02    0.4816130381E-02
        50    0.2834870333E+03    0.2805650562E+03    0.3269962791E-02    0.4329277348E-02
        51    0.2641083000E+03    0.2617345495E+03    0.3143004630E-02    0.5215647473E-02
