Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2820282667E+03    0.2806113133E+03    0.1416953363E+01
    0.2803237333E+03    0.2783317656E+03    0.1991967705E+01
    0.2792287556E+03    0.2760627843E+03    0.3165971297E+01
    0.2744485778E+03    0.2715573304E+03    0.2891247368E+01
    0.1886036444E+03    0.1793537163E+03    0.9249928111E+01
    0.1870368222E+03    0.1814645663E+03    0.5572255922E+01
    0.1870242778E+03    0.1824959300E+03    0.4528347741E+01
    0.1838565333E+03    0.1835113657E+03    0.3451676203E+00
    0.1853664667E+03    0.1854947862E+03   -0.1283194880E+00
    0.1870591111E+03    0.1874154859E+03   -0.3563748251E+00
    0.1889144889E+03    0.1892741105E+03   -0.3596215662E+00
    0.1905193889E+03    0.1910712925E+03   -0.5519036523E+00
    0.1899346000E+03    0.1919470371E+03   -0.2012437078E+01
    0.1915395111E+03    0.1928076528E+03   -0.1268141681E+01
    0.1921652444E+03    0.1944837999E+03   -0.2318555450E+01
    0.1813102889E+03    0.1764857594E+03    0.4824529478E+01
    0.1730694778E+03    0.1758057032E+03   -0.2736225445E+01
    0.1717623333E+03    0.1754710658E+03   -0.3708732455E+01
    0.1704806556E+03    0.1751404766E+03   -0.4659821090E+01
    0.1700829333E+03    0.1744929511E+03   -0.4410017748E+01
    0.1692373444E+03    0.1738664154E+03   -0.4629070944E+01
    0.1700707556E+03    0.1732646491E+03   -0.3193893584E+01
    0.1708686111E+03    0.1726920116E+03   -0.1823400489E+01
    0.1718423667E+03    0.1724181632E+03   -0.5757964932E+00
    0.1740759667E+03    0.1721535505E+03    0.1922416156E+01
    0.1730707556E+03    0.1716551360E+03    0.1415619568E+01
    0.1967226222E+03    0.1942737557E+03    0.2448866536E+01
    0.1931341889E+03    0.1923159090E+03    0.8182798728E+00
    0.1907203222E+03    0.1912861692E+03   -0.5658469641E+00
    0.1876005778E+03    0.1902216516E+03   -0.2621073861E+01
    0.1853022667E+03    0.1879854112E+03   -0.2683144520E+01
    0.1818018444E+03    0.1856011273E+03   -0.3799282871E+01
    0.1808356889E+03    0.1830621874E+03   -0.2226498523E+01
    0.1786953444E+03    0.1803613509E+03   -0.1666006440E+01
    0.1787971889E+03    0.1789477652E+03   -0.1505763609E+00
    0.1796762778E+03    0.1774906595E+03    0.2185618326E+01
    0.1785659444E+03    0.1744413301E+03    0.4124614329E+01
    0.1863562667E+03    0.1898982920E+03   -0.3542025338E+01
    0.1967213778E+03    0.2028292880E+03   -0.6107910207E+01
    0.2028386333E+03    0.2093729455E+03   -0.6534312122E+01
    0.2087044444E+03    0.2159682405E+03   -0.7263796045E+01
    0.2193693111E+03    0.2293123746E+03   -0.9943063450E+01
    0.2362448000E+03    0.2428590127E+03   -0.6614212723E+01
    0.2532290889E+03    0.2566055698E+03   -0.3376480899E+01
    0.2691348000E+03    0.2705495480E+03   -0.1414748014E+01
    0.2765467111E+03    0.2775948123E+03   -0.1048101205E+01
    0.2862961111E+03    0.2846885326E+03    0.1607578505E+01
    0.2959017111E+03    0.2990201875E+03   -0.3118476397E+01
    0.2105255556E+03    0.2082787776E+03    0.2246777974E+01
    0.2194879000E+03    0.2203558014E+03   -0.8679013563E+00
    0.2250481778E+03    0.2263568873E+03   -0.1308709500E+01
    0.2306701222E+03    0.2323333397E+03   -0.1663217470E+01
    0.2418327444E+03    0.2442132753E+03   -0.2380530816E+01
    0.2531147778E+03    0.2559974380E+03   -0.2882660219E+01
    0.2637099889E+03    0.2676876070E+03   -0.3977618145E+01
    0.2798409111E+03    0.2792855125E+03    0.5553985740E+00
    0.2875471778E+03    0.2850503942E+03    0.2496783590E+01
    0.2945108667E+03    0.2907928375E+03    0.3718029196E+01
    0.3012605778E+03    0.3022112193E+03   -0.9506414990E+00
    0.1966388111E+03    0.1841897022E+03    0.1244910888E+02
    0.2049353111E+03    0.1974725898E+03    0.7462721265E+01
    0.2096941111E+03    0.2042225967E+03    0.5471514383E+01
    0.2163081222E+03    0.2110436405E+03    0.5264481758E+01
    0.2288574333E+03    0.2248951351E+03    0.3962298198E+01
    0.2417612556E+03    0.2390201112E+03    0.2741144347E+01
    0.2556504667E+03    0.2534122315E+03    0.2238235143E+01
    0.2737433333E+03    0.2680656840E+03    0.5677649337E+01
    0.2828206778E+03    0.2754887174E+03    0.7331960344E+01
    0.2900036000E+03    0.2829751032E+03    0.7028496829E+01
    0.2989490444E+03    0.2981355080E+03    0.8135364895E+00
Prediction RMSE and MaxAE:         4.1570374723       12.4491088782
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2595301222E+03    0.2592254462E+03    0.3046760129E+00
    0.2079026556E+03    0.2081622176E+03   -0.2595620064E+00
    0.2226869444E+03    0.2233820234E+03   -0.6950789457E+00
    0.2466663556E+03    0.2471402584E+03   -0.4739028861E+00
    0.2405868667E+03    0.2417702709E+03   -0.1183404249E+01
    0.2053415111E+03    0.2078011349E+03   -0.2459623742E+01
    0.2209334444E+03    0.2231555378E+03   -0.2222093383E+01
    0.1936777556E+03    0.1966738436E+03   -0.2996088021E+01
    0.2036199000E+03    0.2066506356E+03   -0.3030735627E+01
    0.1988755111E+03    0.2014559999E+03   -0.2580488769E+01
    0.1820647889E+03    0.1847630009E+03   -0.2698212052E+01
    0.1862727778E+03    0.1897360307E+03   -0.3463252920E+01
    0.2604490667E+03    0.2606111687E+03   -0.1621020517E+00
