     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1119034582E+03    0.1096190581E+03    0.2218001160E+01    0.5034932901E+00    0.2845250146E+02
         2    0.5781486579E+02    0.5911667568E+02    0.2578769876E+01    0.5534531115E+00    0.1057332265E+02
         3    0.6377679169E+02    0.6941920827E+02    0.2486688448E+01    0.5838255211E+00    0.1288585213E+02
         4    0.9969179946E+02    0.9705653534E+02    0.2286978950E+01    0.5586946575E+00    0.2448346616E+02
         5    0.9817976135E+02    0.9311211015E+02    0.2317278387E+01    0.5588437135E+00    0.2260016693E+02
         6    0.6345732320E+02    0.6956594993E+02    0.2465320913E+01    0.6259412582E+00    0.1312068684E+02
         7    0.5114042588E+02    0.5359557357E+02    0.2585246514E+01    0.6235844679E+00    0.1167027986E+02
         8    0.4348442747E+02    0.4785626012E+02    0.2546324275E+01    0.7915196770E+00    0.1316691413E+02
         9    0.3917125463E+02    0.3710326744E+02    0.2660805758E+01    0.7204029523E+00    0.1143867458E+02
        10    0.4077056391E+02    0.3836650354E+02    0.2632318536E+01    0.7611401717E+00    0.1099419678E+02
        11    0.1156620276E+03    0.1140066621E+03    0.2209188344E+01    0.4541756584E+00    0.2846980408E+02
        12    0.1322564577E+03    0.1331427704E+03    0.2058864891E+01    0.4571388556E+00    0.3992736204E+02
        13    0.4295367200E+02    0.3520257630E+02    0.2781402045E+01    0.4996399312E+00    0.9846141227E+01
        14    0.4050309916E+02    0.3739256642E+02    0.2751257257E+01    0.5291900975E+00    0.9648567696E+01
        15    0.1066234624E+03    0.9455505284E+02    0.2328979094E+01    0.5282014392E+00    0.1118612738E+02
        16    0.1166603165E+03    0.1133744042E+03    0.2220238829E+01    0.4450424538E+00    0.2547432644E+02
        17    0.5656963783E+02    0.6491183020E+02    0.2508835586E+01    0.6106223107E+00    0.1036667665E+02
        18    0.4232796680E+02    0.3449402661E+02    0.2762685171E+01    0.5240751848E+00    0.2802413435E+02
        19    0.6493284567E+02    0.7432198905E+02    0.2421009072E+01    0.6466946234E+00    0.1209331023E+02
        20    0.7208525840E+02    0.7447298302E+02    0.2486500566E+01    0.5076667570E+00    0.1184718309E+02
        21    0.9788397509E+02    0.1039027394E+03    0.2288523496E+01    0.4518467985E+00    0.2301488771E+02
        22    0.9754851806E+02    0.1000812516E+03    0.2318321275E+01    0.4505128767E+00    0.2158116939E+02
        23    0.3852234119E+02    0.3862588984E+02    0.2758674051E+01    0.4681080869E+00    0.2843072195E+02
        24    0.4667560663E+02    0.5781686702E+02    0.2568416985E+01    0.5943759441E+00    0.1114494446E+02
        25    0.4197241641E+02    0.3921422516E+02    0.2732921044E+01    0.5110136034E+00    0.2977727979E+02
