     Index       y_measurement           y_fitting        descriptor_1
         1    0.1163904667E+03    0.1133601578E+03    0.2963224183E-02
         2    0.8049570000E+02    0.9191323389E+02    0.2544681672E-02
         3    0.1124396667E+03    0.1032948840E+03    0.2766797646E-02
         4    0.1120797667E+03    0.1121875812E+03    0.2940341033E-02
         5    0.1183827000E+03    0.1197571998E+03    0.3088064184E-02
         6    0.1263473667E+03    0.1142905584E+03    0.2981381201E-02
         7    0.1167774333E+03    0.1184573910E+03    0.3062698064E-02
         8    0.1183212333E+03    0.1229748291E+03    0.3150857089E-02
         9    0.6767893333E+02    0.6932882366E+02    0.2103940809E-02
        10    0.6924846667E+02    0.7759332224E+02    0.2265224730E-02
        11    0.1178638333E+03    0.1218517331E+03    0.3128939566E-02
        12    0.1260300667E+03    0.1263194909E+03    0.3216129066E-02
        13    0.6395140000E+02    0.7649078443E+02    0.2243708407E-02
        14    0.7548660000E+02    0.8815210376E+02    0.2471282202E-02
        15    0.7241710000E+02    0.8017606929E+02    0.2315627736E-02
        16    0.1084637000E+03    0.1208148785E+03    0.3108705069E-02
        17    0.1173802333E+03    0.1087799035E+03    0.2873839283E-02
        18    0.1055167333E+03    0.1005040858E+03    0.2712334467E-02
        19    0.9370783333E+02    0.8845879242E+02    0.2477267314E-02
        20    0.1162208000E+03    0.9734561777E+02    0.2650696110E-02
        21    0.1175302333E+03    0.1180833344E+03    0.3055398249E-02
        22    0.1218277333E+03    0.1071797815E+03    0.2842612470E-02
        23    0.1233274667E+03    0.1045961796E+03    0.2792192781E-02
        24    0.1119479000E+03    0.1172596393E+03    0.3039323616E-02
        25    0.1160802000E+03    0.1123794420E+03    0.2944085249E-02
        26    0.1068349333E+03    0.9834757783E+02    0.2670249631E-02
        27    0.1127276667E+03    0.1081411489E+03    0.2861373814E-02
        28    0.1132335667E+03    0.1141000569E+03    0.2977663512E-02
        29    0.1026179667E+03    0.1026146456E+03    0.2753522610E-02
        30    0.1001382000E+03    0.1037732308E+03    0.2776132714E-02
        31    0.9148953333E+02    0.1085119830E+03    0.2868610742E-02
        32    0.9892276667E+02    0.1044887590E+03    0.2790096440E-02
        33    0.9586320000E+02    0.1092164818E+03    0.2882359227E-02
        34    0.7368413333E+02    0.7678790310E+02    0.2249506758E-02
        35    0.1181048000E+03    0.1219014738E+03    0.3129910270E-02
        36    0.1175400000E+03    0.1200461241E+03    0.3093702619E-02
        37    0.7083120000E+02    0.7517592858E+02    0.2218048640E-02
        38    0.1189540667E+03    0.1259460188E+03    0.3208840657E-02
        39    0.7171576667E+02    0.8692832105E+02    0.2447399752E-02
        40    0.1173187667E+03    0.1195930450E+03    0.3084860659E-02
        41    0.1177421333E+03    0.1240938007E+03    0.3172694122E-02
        42    0.7212726667E+02    0.7548029910E+02    0.2223988513E-02
        43    0.6982910000E+02    0.8721154859E+02    0.2452927014E-02
        44    0.7875026667E+02    0.8271679602E+02    0.2365210704E-02
        45    0.1104217667E+03    0.1176967074E+03    0.3047853118E-02
        46    0.6689893333E+02    0.6958378918E+02    0.2108916530E-02
        47    0.7034353333E+02    0.7783407171E+02    0.2269923021E-02
        48    0.1323314333E+03    0.1190995409E+03    0.3075229793E-02
        49    0.1293472000E+03    0.1135048860E+03    0.2966048592E-02
        50    0.1163718000E+03    0.1104546454E+03    0.2906522323E-02
        51    0.1096154000E+03    0.1072741767E+03    0.2844454618E-02
        52    0.9314260000E+02    0.1006206469E+03    0.2714609188E-02
        53    0.8257986667E+02    0.9371601684E+02    0.2579863468E-02
        54    0.7522936667E+02    0.8669761591E+02    0.2442897479E-02
        55    0.7840820000E+02    0.6593500092E+02    0.2037709442E-02
        56    0.1073171667E+03    0.1016419811E+03    0.2734540800E-02
        57    0.1140622333E+03    0.9860722502E+02    0.2675316716E-02
        58    0.1204607667E+03    0.9694125309E+02    0.2642804824E-02
        59    0.9731303333E+02    0.8807109186E+02    0.2469701233E-02
        60    0.8288196667E+02    0.8274161299E+02    0.2365695014E-02
        61    0.8378776667E+02    0.7707253734E+02    0.2255061472E-02
        62    0.8411906667E+02    0.7415723813E+02    0.2198168621E-02
        63    0.8230160000E+02    0.7120899406E+02    0.2140632842E-02
        64    0.7972536667E+02    0.6526623154E+02    0.2024658227E-02
        65    0.1333271667E+03    0.1241520882E+03    0.3173831617E-02
        66    0.1165381667E+03    0.1139094202E+03    0.2973943187E-02
        67    0.1148520667E+03    0.1102943728E+03    0.2903394561E-02
        68    0.1043592000E+03    0.1028933817E+03    0.2758962221E-02
        69    0.8333353333E+02    0.8786848877E+02    0.2465747379E-02
        70    0.8228193333E+02    0.7679271323E+02    0.2249600629E-02
        71    0.8122306667E+02    0.7318529765E+02    0.2179200940E-02
        72    0.7565850000E+02    0.6950164515E+02    0.2107313467E-02
        73    0.7168876667E+02    0.6841137204E+02    0.2086036493E-02
        74    0.6902210000E+02    0.6786270585E+02    0.2075329124E-02
        75    0.6723246667E+02    0.6731165925E+02    0.2064575301E-02
        76    0.6564466667E+02    0.6620234188E+02    0.2042926673E-02
        77    0.6465190000E+02    0.6508325068E+02    0.2021087306E-02
        78    0.6549303333E+02    0.6395421183E+02    0.1999053808E-02
        79    0.6527446667E+02    0.6281504696E+02    0.1976822698E-02
        80    0.6491693333E+02    0.6224161015E+02    0.1965631924E-02
