Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5573694755E+02    0.5688267723E+02   -0.1145729674E+01
    0.4895849377E+02    0.4587954896E+02    0.3078944806E+01
    0.1218090654E+03    0.1139012155E+03    0.7907849824E+01
    0.6554370379E+02    0.6150023778E+02    0.4043466011E+01
    0.5888624772E+02    0.7012003880E+02   -0.1123379108E+02
    0.6380085368E+02    0.7959538288E+02   -0.1579452920E+02
    0.6014871550E+02    0.5846504626E+02    0.1683669239E+01
    0.6068008934E+02    0.5704504239E+02    0.3635046950E+01
    0.6555221939E+02    0.5977775477E+02    0.5774464616E+01
    0.4434460389E+02    0.4763206105E+02   -0.3287457160E+01
    0.1256431161E+03    0.1198355186E+03    0.5807597526E+01
    0.1038482190E+03    0.9399526773E+02    0.9852951272E+01
    0.2632643497E+02    0.4047217068E+02   -0.1414573571E+02
    0.6671768541E+02    0.6257894195E+02    0.4138743458E+01
    0.7983276551E+02    0.7061872339E+02    0.9214042123E+01
    0.8885745041E+02    0.7901014978E+02    0.9847300634E+01
    0.1025991163E+03    0.1063952844E+03   -0.3796168058E+01
    0.5640091467E+02    0.7180275100E+02   -0.1540183633E+02
    0.4572791662E+02    0.4023884444E+02    0.5489072180E+01
    0.8475483777E+02    0.7213245142E+02    0.1262238635E+02
    0.1366336255E+03    0.1452626486E+03   -0.8629023121E+01
    0.1287616307E+03    0.1307973120E+03   -0.2035681319E+01
    0.2326547267E+02    0.3074605826E+02   -0.7480585583E+01
    0.3452159350E+02    0.3478215845E+02   -0.2605649564E+00
    0.3332059993E+02    0.3141441151E+02    0.1906188420E+01
    0.4875284720E+02    0.6214207492E+02   -0.1338922772E+02
    0.1047424560E+03    0.1092009150E+03   -0.4458459082E+01
    0.1134858481E+03    0.1159080511E+03   -0.2422203052E+01
    0.6693454681E+02    0.6179873730E+02    0.5135809510E+01
    0.9652639442E+02    0.1078914794E+03   -0.1136508495E+02
    0.1322700957E+03    0.1292726592E+03    0.2997436460E+01
    0.3130959377E+02    0.3064209100E+02    0.6675027767E+00
    0.4308292970E+02    0.4104954230E+02    0.2033387406E+01
    0.1165991300E+03    0.1118494268E+03    0.4749703194E+01
Prediction RMSE and MaxAE:         7.7297717810       15.7945291951
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.5573694755E+02    0.5944948982E+02   -0.3712542268E+01
    0.4895849377E+02    0.4735467372E+02    0.1603820044E+01
    0.1218090654E+03    0.1173046805E+03    0.4504384831E+01
    0.6554370379E+02    0.6315211732E+02    0.2391586473E+01
    0.5888624772E+02    0.6791882206E+02   -0.9032574340E+01
    0.6380085368E+02    0.7770265726E+02   -0.1390180358E+02
    0.6014871550E+02    0.5768457996E+02    0.2464135544E+01
    0.6068008934E+02    0.5708032865E+02    0.3599760695E+01
    0.6555221939E+02    0.5856964590E+02    0.6982573485E+01
    0.4434460389E+02    0.4036701919E+02    0.3977584703E+01
    0.1256431161E+03    0.1186322490E+03    0.7010867191E+01
    0.1038482190E+03    0.9533840332E+02    0.8509815680E+01
    0.2632643497E+02    0.2600215930E+02    0.3242756736E+00
    0.6671768541E+02    0.5862115249E+02    0.8096532919E+01
    0.7983276551E+02    0.6887104650E+02    0.1096171901E+02
    0.8885745041E+02    0.7887073382E+02    0.9986716588E+01
    0.1025991163E+03    0.1075668937E+03   -0.4967777437E+01
    0.5640091467E+02    0.6557099304E+02   -0.9170078372E+01
