     Index       y_measurement           y_fitting        descriptor_1
        77    0.3485184075E+00    0.3326554403E+00    0.1576397130E+02
        78    0.3301994043E+00    0.3257120406E+00    0.1566734114E+02
        79    0.3300178520E+00    0.3190143793E+00    0.1557413088E+02
        80    0.3296708943E+00    0.3157519878E+00    0.1552872871E+02
        81    0.3275040021E+00    0.3125443653E+00    0.1548408875E+02
        82    0.3234392652E+00    0.3062853798E+00    0.1539698347E+02
        83    0.4357322360E+00    0.4075307321E+00    0.1680599852E+02
        84    0.3992104702E+00    0.3937361686E+00    0.1661402183E+02
        85    0.3949555381E+00    0.3870450411E+00    0.1652090250E+02
        86    0.3897969196E+00    0.3804850195E+00    0.1642960775E+02
        87    0.3713716119E+00    0.3677405739E+00    0.1625224538E+02
        88    0.3632482216E+00    0.3554693213E+00    0.1608146836E+02
        89    0.3390596413E+00    0.3436406054E+00    0.1591685005E+02
        90    0.3345703037E+00    0.3322263255E+00    0.1575799938E+02
        91    0.3325398245E+00    0.3266664508E+00    0.1568062351E+02
        92    0.3299490417E+00    0.3212006743E+00    0.1560455719E+02
        93    0.3236357173E+00    0.3105399047E+00    0.1545619300E+02
        94    0.3049439245E+00    0.2988051203E+00    0.1529288192E+02
        95    0.3030667899E+00    0.2989638496E+00    0.1529509093E+02
        96    0.3016141520E+00    0.2990430932E+00    0.1529619375E+02
        97    0.3008492847E+00    0.2991222571E+00    0.1529729546E+02
        98    0.3007543390E+00    0.2992803447E+00    0.1529949554E+02
        99    0.3013730675E+00    0.2994381104E+00    0.1530169114E+02
       100    0.3033088718E+00    0.2995955557E+00    0.1530388228E+02
       101    0.3039891654E+00    0.2997526805E+00    0.1530606896E+02
       102    0.3042505979E+00    0.2998311229E+00    0.1530716063E+02
       103    0.3048279490E+00    0.2999094841E+00    0.1530825117E+02
       104    0.3052152848E+00    0.3000659672E+00    0.1531042892E+02
       105    0.4320800811E+00    0.4230135169E+00    0.1702146991E+02
       106    0.4194647730E+00    0.4173397341E+00    0.1694250880E+02
       107    0.4152703718E+00    0.4145014699E+00    0.1690300914E+02
       108    0.3955196646E+00    0.4116622909E+00    0.1686349675E+02
       109    0.3875387003E+00    0.4059811860E+00    0.1678443374E+02
       110    0.3773174658E+00    0.4002964201E+00    0.1670531978E+02
       111    0.3722096650E+00    0.3946079938E+00    0.1662615488E+02
       112    0.3658986417E+00    0.3889159058E+00    0.1654693902E+02
       113    0.3654385006E+00    0.3860684894E+00    0.1650731199E+02
       114    0.3628786252E+00    0.3832201575E+00    0.1646767222E+02
       115    0.3593327157E+00    0.3775207482E+00    0.1638835447E+02
       116    0.4236008781E+00    0.4288196136E+00    0.1710227241E+02
       117    0.4302033384E+00    0.4287748239E+00    0.1710164908E+02
       118    0.4351999837E+00    0.4286846432E+00    0.1710039405E+02
       119    0.4366919796E+00    0.4285492712E+00    0.1709851010E+02
       120    0.4311080150E+00    0.4281429541E+00    0.1709285545E+02
       121    0.4347549284E+00    0.4275558738E+00    0.1708468515E+02
       122    0.4361630142E+00    0.4267880291E+00    0.1707399918E+02
       123    0.4281518174E+00    0.4258394206E+00    0.1706079755E+02
       124    0.4349348493E+00    0.4252973304E+00    0.1705325337E+02
       125    0.4367499704E+00    0.4247100490E+00    0.1704508027E+02
       126    0.4324042533E+00    0.4233999129E+00    0.1702684732E+02
       127    0.3650326136E+00    0.3781470593E+00    0.1639707074E+02
       128    0.3732358523E+00    0.3841830523E+00    0.1648107267E+02
       129    0.3786976367E+00    0.3870910285E+00    0.1652154250E+02
       130    0.3852582334E+00    0.3899256576E+00    0.1656099157E+02
       131    0.3888947959E+00    0.3953748736E+00    0.1663682742E+02
       132    0.3985197223E+00    0.4005307018E+00    0.1670858024E+02
       133    0.4102602803E+00    0.4053931408E+00    0.1677625001E+02
       134    0.4122228352E+00    0.4099621920E+00    0.1683983675E+02
       135    0.4279795549E+00    0.4121366961E+00    0.1687009897E+02
       136    0.4355520415E+00    0.4142378539E+00    0.1689934044E+02
       137    0.4304532498E+00    0.4182201274E+00    0.1695476109E+02
       138    0.4264919331E+00    0.4133816903E+00    0.1688742535E+02
       139    0.4159233320E+00    0.3986865277E+00    0.1668291517E+02
       140    0.4019375123E+00    0.3915532882E+00    0.1658364304E+02
       141    0.3916388568E+00    0.3845563829E+00    0.1648626825E+02
       142    0.3729094357E+00    0.3709532077E+00    0.1629695508E+02
       143    0.3410080471E+00    0.3578422700E+00    0.1611449230E+02
       144    0.3223677406E+00    0.3451917912E+00    0.1593843765E+02
       145    0.3277539599E+00    0.3329726410E+00    0.1576838573E+02
       146    0.3195057973E+00    0.3270163672E+00    0.1568549324E+02
       147    0.3050923527E+00    0.3211580640E+00    0.1560396419E+02
       148    0.3008277403E+00    0.3097234390E+00    0.1544483038E+02
       149    0.3562631232E+00    0.3630815978E+00    0.1618740717E+02
       150    0.3594206178E+00    0.3547278885E+00    0.1607114996E+02
       151    0.3608270649E+00    0.3506851875E+00    0.1601488835E+02
       152    0.3624143566E+00    0.3467273384E+00    0.1595980761E+02
       153    0.3578429254E+00    0.3390533747E+00    0.1585301031E+02
       154    0.3469210390E+00    0.3316817715E+00    0.1575042091E+02
