Predictions (y,pred,y-pred) by the model of dimension:     1
    0.9969179946E+02    0.9135698743E+02    0.8334812027E+01
    0.5114042588E+02    0.5157695621E+02   -0.4365303377E+00
    0.4348442747E+02    0.5369826668E+02   -0.1021383921E+02
    0.1156620276E+03    0.1072200930E+03    0.8441934642E+01
    0.4295367200E+02    0.3191509611E+02    0.1103857589E+02
    0.4050309916E+02    0.3478802950E+02    0.5715069660E+01
    0.1066234624E+03    0.8921137880E+02    0.1741208356E+02
    0.4232796680E+02    0.3420423751E+02    0.8123729295E+01
    0.4667560663E+02    0.5949752315E+02   -0.1282191652E+02
    0.6882396517E+02    0.6069511831E+02    0.8128846858E+01
    0.1314904999E+03    0.1322695424E+03   -0.7790425155E+00
    0.1048738256E+03    0.9536223266E+02    0.9511592895E+01
    0.3601177755E+02    0.2693346260E+02    0.9078314950E+01
    0.1281946021E+03    0.1167702833E+03    0.1142431886E+02
    0.1112114300E+03    0.9887726817E+02    0.1233416181E+02
    0.1165733788E+03    0.1048660528E+03    0.1170732596E+02
    0.1331123282E+03    0.1259861698E+03    0.7126158386E+01
    0.7910835546E+02    0.8352874199E+02   -0.4420386533E+01
    0.9311991210E+02    0.8978458409E+02    0.3335328015E+01
    0.1252984708E+03    0.1223851521E+03    0.2913318693E+01
    0.2683497468E+02    0.3555792181E+02   -0.8722947132E+01
    0.3183535065E+02    0.3754058228E+02   -0.5705231630E+01
    0.4507237259E+02    0.4150230275E+02    0.3570069834E+01
    0.4998604832E+02    0.4348136493E+02    0.6504683390E+01
    0.5611450524E+02    0.4743589861E+02    0.8678606631E+01
    0.2533836578E+02    0.3121370980E+02   -0.5875344019E+01
    0.2267877177E+02    0.2623979234E+02   -0.3561020572E+01
    0.2337586858E+02    0.2428161416E+02   -0.9057455857E+00
    0.2299003363E+02    0.2361700492E+02   -0.6269712883E+00
    0.5835275562E+02    0.5037078972E+02    0.7981965905E+01
    0.4256436714E+02    0.5659900503E+02   -0.1403463790E+02
    0.1020479867E+03    0.9549669740E+02    0.6551289285E+01
    0.6809255274E+02    0.6964924447E+02   -0.1556691733E+01
    0.8630026423E+02    0.9697503475E+02   -0.1067477052E+02
Prediction RMSE and MaxAE:         8.3840800777       17.4120835577
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.9969179946E+02    0.9042801586E+02    0.9263783596E+01
    0.5114042588E+02    0.4999274855E+02    0.1147677324E+01
    0.4348442747E+02    0.4865482651E+02   -0.5170399038E+01
    0.1156620276E+03    0.1114751278E+03    0.4186899804E+01
    0.4295367200E+02    0.3395320935E+02    0.9000462653E+01
    0.4050309916E+02    0.3560927278E+02    0.4893826375E+01
    0.1066234624E+03    0.9620213389E+02    0.1042132847E+02
    0.4232796680E+02    0.3162944242E+02    0.1069852438E+02
    0.4667560663E+02    0.5740063789E+02   -0.1072503126E+02
    0.6882396517E+02    0.5900440881E+02    0.9819556359E+01
    0.1314904999E+03    0.1278960863E+03    0.3594413574E+01
    0.1048738256E+03    0.9845579765E+02    0.6418027907E+01
    0.3601177755E+02    0.2624547437E+02    0.9766303179E+01
    0.1281946021E+03    0.1149894203E+03    0.1320518189E+02
    0.1112114300E+03    0.1046721152E+03    0.6539314747E+01
    0.1165733788E+03    0.1118889223E+03    0.4684456428E+01
    0.1331123282E+03    0.1266645789E+03    0.6447749285E+01
    0.7910835546E+02    0.8258138339E+02   -0.3473027933E+01
    0.9311991210E+02    0.8956673224E+02    0.3553179859E+01
    0.1252984708E+03    0.1262749204E+03   -0.9764495875E+00
    0.2683497468E+02    0.2889611760E+02   -0.2061142925E+01
    0.3183535065E+02    0.3205674608E+02   -0.2213954289E+00
    0.4507237259E+02    0.3844488051E+02    0.6627492073E+01
    0.4998604832E+02    0.4167273930E+02    0.8313309022E+01
    0.5611450524E+02    0.4819691458E+02    0.7917590661E+01
    0.2533836578E+02    0.2482349448E+02    0.5148713040E+00
    0.2267877177E+02    0.2318291540E+02   -0.5041436222E+00
    0.2337586858E+02    0.2264602633E+02    0.7298422404E+00
    0.2299003363E+02    0.2247656855E+02    0.5134650853E+00
    0.5835275562E+02    0.5402415234E+02    0.4328603281E+01
    0.4256436714E+02    0.5018193437E+02   -0.7617567233E+01
    0.1020479867E+03    0.9234766543E+02    0.9700321259E+01
    0.6809255274E+02    0.6680746162E+02    0.1285091116E+01
    0.8630026423E+02    0.9046611407E+02   -0.4165849838E+01
Prediction RMSE and MaxAE:         6.6373707917       13.2051818940
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.9969179946E+02    0.9285426555E+02    0.6837533908E+01
    0.5114042588E+02    0.5004474894E+02    0.1095676937E+01
    0.4348442747E+02    0.4538492757E+02   -0.1900500093E+01
    0.1156620276E+03    0.1114434600E+03    0.4218567623E+01
    0.4295367200E+02    0.3224838907E+02    0.1070528293E+02
    0.4050309916E+02    0.3390402342E+02    0.6599075731E+01
    0.1066234624E+03    0.9582687824E+02    0.1079658411E+02
    0.4232796680E+02    0.3424931689E+02    0.8078649908E+01
    0.4667560663E+02    0.5507487657E+02   -0.8399269949E+01
    0.6882396517E+02    0.5849339000E+02    0.1033057516E+02
    0.1314904999E+03    0.1282007929E+03    0.3289706953E+01
    0.1048738256E+03    0.9618858411E+02    0.8685241447E+01
    0.3601177755E+02    0.2525494234E+02    0.1075683521E+02
    0.1281946021E+03    0.1147805204E+03    0.1341408174E+02
    0.1112114300E+03    0.1048469150E+03    0.6364515029E+01
    0.1165733788E+03    0.1105012379E+03    0.6072140847E+01
    0.1331123282E+03    0.1269624199E+03    0.6149908257E+01
    0.7910835546E+02    0.7806211454E+02    0.1046240916E+01
    0.9311991210E+02    0.8485515221E+02    0.8264759887E+01
    0.1252984708E+03    0.1258012748E+03   -0.5028039687E+00
    0.2683497468E+02    0.3091963912E+02   -0.4084664446E+01
    0.3183535065E+02    0.3528918222E+02   -0.3453831571E+01
    0.4507237259E+02    0.4354876845E+02    0.1523604141E+01
    0.4998604832E+02    0.4738855273E+02    0.2597495596E+01
    0.5611450524E+02    0.5433931663E+02    0.1775188611E+01
    0.2533836578E+02    0.2700079089E+02   -0.1662425106E+01
    0.2267877177E+02    0.2238656913E+02    0.2922026410E+00
    0.2337586858E+02    0.2051847727E+02    0.2857391303E+01
    0.2299003363E+02    0.1987263885E+02    0.3117394779E+01
    0.5835275562E+02    0.5829680336E+02    0.5595225787E-01
    0.4256436714E+02    0.4687288537E+02   -0.4308518236E+01
    0.1020479867E+03    0.9664202473E+02    0.5405961961E+01
    0.6809255274E+02    0.6376650633E+02    0.4326046409E+01
    0.8630026423E+02    0.8574645345E+02    0.5538107763E+00
Prediction RMSE and MaxAE:         6.1398977823       13.4140817380
