Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1271803418E+03    0.1270585299E+03    0.1218118978E+00
    0.1262177758E+03    0.1252477220E+03    0.9700538719E+00
    0.1252984708E+03    0.1234363395E+03    0.1862131300E+01
    0.1228725759E+03    0.1198118501E+03    0.3060725811E+01
    0.2683497468E+02    0.3568689259E+02   -0.8851917918E+01
    0.3183535065E+02    0.3769061147E+02   -0.5855260814E+01
    0.3359039622E+02    0.3869201586E+02   -0.5101619631E+01
    0.4129513778E+02    0.3969311706E+02    0.1602020719E+01
    0.4507237259E+02    0.4169441049E+02    0.3377962095E+01
    0.4998604832E+02    0.4369449285E+02    0.6291555471E+01
    0.5277935237E+02    0.4569336524E+02    0.7085987132E+01
    0.5611450524E+02    0.4769102875E+02    0.8423476490E+01
    0.5615313588E+02    0.4868940752E+02    0.7463728359E+01
    0.5781327978E+02    0.4968748449E+02    0.8125795289E+01
    0.5965727763E+02    0.5168273354E+02    0.7974544087E+01
    0.2919065394E+02    0.3249945598E+02   -0.3308802042E+01
    0.2533836578E+02    0.3129653948E+02   -0.5958173698E+01
    0.2326547267E+02    0.3068726041E+02   -0.7421787741E+01
    0.2253675731E+02    0.3007267668E+02   -0.7535919369E+01
    0.2456282289E+02    0.2882731566E+02   -0.4264492771E+01
    0.2308806005E+02    0.2755988495E+02   -0.4471824897E+01
    0.2267877177E+02    0.2626979264E+02   -0.3591020865E+01
    0.2578843305E+02    0.2495642547E+02    0.8320075799E+00
    0.2337586858E+02    0.2429081609E+02   -0.9149475136E+00
    0.2299003363E+02    0.2361914785E+02   -0.6291142132E+00
    0.2450184071E+02    0.2225730082E+02    0.2244539892E+01
    0.5835275562E+02    0.5065709217E+02    0.7695663453E+01
    0.5348496578E+02    0.4758355071E+02    0.5901415067E+01
    0.5034060812E+02    0.4602613148E+02    0.4314476637E+01
    0.4661720364E+02    0.4445469886E+02    0.2162504778E+01
    0.4446999058E+02    0.4126903004E+02    0.3200960540E+01
    0.3957606325E+02    0.3802498245E+02    0.1551080804E+01
    0.3452159350E+02    0.3472093653E+02   -0.1993430339E+00
    0.3332059993E+02    0.3135521225E+02    0.1965387675E+01
    0.2705301994E+02    0.2964867849E+02   -0.2595658549E+01
    0.2419926750E+02    0.2792606627E+02   -0.3726798766E+01
    0.2604492204E+02    0.2443168891E+02    0.1613233132E+01
    0.2880918270E+02    0.4254474474E+02   -0.1373556203E+02
    0.3504358803E+02    0.5199623694E+02   -0.1695264891E+02
    0.4256436714E+02    0.5695145912E+02   -0.1438709199E+02
    0.4875284720E+02    0.6206442064E+02   -0.1331157344E+02
