     Index       y_measurement           y_fitting        descriptor_1
        65    0.9314260000E+02    0.1008994139E+03    0.2714609188E-02
        66    0.8257986667E+02    0.9399726113E+02    0.2579863468E-02
        67    0.7522936667E+02    0.8698137828E+02    0.2442897479E-02
        68    0.7383243333E+02    0.7996059497E+02    0.2305835822E-02
        69    0.7589846667E+02    0.7647582859E+02    0.2237805257E-02
        70    0.7789620000E+02    0.7302023022E+02    0.2170344118E-02
        71    0.7840820000E+02    0.6622621255E+02    0.2037709442E-02
        72    0.1073171667E+03    0.1019203817E+03    0.2734540800E-02
        73    0.1140277000E+03    0.1002559735E+03    0.2702047768E-02
        74    0.1140622333E+03    0.9888671443E+02    0.2675316716E-02
        75    0.1204607667E+03    0.9722134022E+02    0.2642804824E-02
        76    0.1132415667E+03    0.9316105825E+02    0.2563538886E-02
        77    0.9731303333E+02    0.8835436145E+02    0.2469701233E-02
        78    0.8288196667E+02    0.8302679470E+02    0.2365695014E-02
        79    0.8378776667E+02    0.7735975301E+02    0.2255061472E-02
        80    0.8411906667E+02    0.7444549977E+02    0.2198168621E-02
        81    0.8230160000E+02    0.7149831347E+02    0.2140632842E-02
        82    0.7972536667E+02    0.6555768311E+02    0.2024658227E-02
        83    0.1333271667E+03    0.1244224125E+03    0.3173831617E-02
        84    0.1177511000E+03    0.1177128938E+03    0.3042846552E-02
        85    0.1165381667E+03    0.1141834195E+03    0.2973943187E-02
        86    0.1148520667E+03    0.1105696691E+03    0.2903394561E-02
        87    0.1043592000E+03    0.1031713333E+03    0.2758962221E-02
        88    0.9885580000E+02    0.9566089026E+02    0.2612341292E-02
        89    0.8333353333E+02    0.8815183105E+02    0.2465747379E-02
        90    0.8251083333E+02    0.8073321326E+02    0.2320919088E-02
        91    0.8228193333E+02    0.7708002930E+02    0.2249600629E-02
        92    0.8122306667E+02    0.7347390799E+02    0.2179200940E-02
        93    0.7805130000E+02    0.6642615186E+02    0.2041612712E-02
        94    0.7565850000E+02    0.6979157713E+02    0.2107313467E-02
        95    0.7168876667E+02    0.6870169519E+02    0.2086036493E-02
        96    0.6902210000E+02    0.6815322584E+02    0.2075329124E-02
        97    0.6723246667E+02    0.6760237696E+02    0.2064575301E-02
        98    0.6564466667E+02    0.6649345759E+02    0.2042926673E-02
        99    0.6465190000E+02    0.6537476790E+02    0.2021087306E-02
       100    0.6549303333E+02    0.6424613412E+02    0.1999053808E-02
       101    0.6527446667E+02    0.6310737797E+02    0.1976822698E-02
       102    0.6491693333E+02    0.6253414690E+02    0.1965631924E-02
       103    0.6509713333E+02    0.6195831614E+02    0.1954390398E-02
       104    0.6360703333E+02    0.6079876051E+02    0.1931753235E-02
       105    0.1331329333E+03    0.1219013746E+03    0.3124615223E-02
       106    0.1303768667E+03    0.1197238185E+03    0.3082104375E-02
       107    0.1275528667E+03    0.1186298667E+03    0.3060747949E-02
       108    0.1131955333E+03    0.1175324365E+03    0.3039323616E-02
       109    0.1089584667E+03    0.1153270520E+03    0.2996269495E-02
       110    0.1032596000E+03    0.1131074849E+03    0.2952938497E-02
       111    0.1006016333E+03    0.1108735515E+03    0.2909327037E-02
       112    0.9690393333E+02    0.1086250648E+03    0.2865431462E-02
       113    0.9634486667E+02    0.1074953043E+03    0.2843375969E-02
       114    0.9517810000E+02    0.1063618337E+03    0.2821248044E-02
       115    0.9246266667E+02    0.1040836637E+03    0.2776772985E-02
       116    0.1244155333E+03    0.1247118126E+03    0.3179481365E-02
       117    0.1249338000E+03    0.1253571381E+03    0.3192079586E-02
       118    0.1282895000E+03    0.1256793490E+03    0.3198369875E-02
       119    0.1282394333E+03    0.1260012593E+03    0.3204654297E-02
       120    0.1238324333E+03    0.1266441806E+03    0.3217205583E-02
       121    0.1230619333E+03    0.1272859066E+03    0.3229733533E-02
       122    0.1256808333E+03    0.1279264415E+03    0.3242238232E-02
       123    0.1205031000E+03    0.1285657900E+03    0.3254719768E-02
       124    0.1237962000E+03    0.1288850206E+03    0.3260951876E-02
       125    0.1263286333E+03    0.1292039563E+03    0.3267178225E-02
       126    0.1243047333E+03    0.1298409448E+03    0.3279613689E-02
       127    0.9942550000E+02    0.1047686950E+03    0.2790146354E-02
       128    0.1039796667E+03    0.1077215525E+03    0.2847792847E-02
       129    0.1065988000E+03    0.1091885612E+03    0.2876432194E-02
       130    0.1094606333E+03    0.1106493609E+03    0.2904950326E-02
       131    0.1100665000E+03    0.1135525417E+03    0.2961627018E-02
       132    0.1137924333E+03    0.1164315058E+03    0.3017830944E-02
       133    0.1200650667E+03    0.1192866538E+03    0.3073569926E-02
       134    0.1181213667E+03    0.1221183765E+03    0.3128851594E-02
       135    0.1254120333E+03    0.1235255729E+03    0.3156323267E-02
       136    0.1295430000E+03    0.1249270552E+03    0.3183683390E-02
       137    0.1281758000E+03    0.1277130619E+03    0.3238072577E-02
       138    0.1324569000E+03    0.1231207860E+03    0.3148420906E-02
       139    0.1310257333E+03    0.1203053703E+03    0.3093457590E-02
       140    0.1248918667E+03    0.1183450243E+03    0.3055187177E-02
       141    0.1208332667E+03    0.1160837326E+03    0.3011041621E-02
       142    0.1109500000E+03    0.1108303491E+03    0.2908483627E-02
       143    0.9142540000E+02    0.1048462639E+03    0.2791660675E-02
       144    0.8069620000E+02    0.9837264609E+02    0.2665280933E-02
       145    0.9159523333E+02    0.9160178382E+02    0.2533098303E-02
       146    0.8447216667E+02    0.8815384783E+02    0.2465786751E-02
       147    0.7063323333E+02    0.8468603428E+02    0.2398087144E-02
       148    0.6796646667E+02    0.7774513373E+02    0.2262584980E-02
       149    0.9883910000E+02    0.1058835940E+03    0.2811911718E-02
       150    0.1059929000E+03    0.1070983892E+03    0.2835627283E-02
       151    0.1099493000E+03    0.1068398528E+03    0.2830580065E-02
       152    0.1138922667E+03    0.1061002571E+03    0.2816141474E-02
       153    0.1143839667E+03    0.1034223971E+03    0.2763863557E-02
       154    0.1074090000E+03    0.9949203591E+02    0.2687133968E-02
       155    0.1007096000E+03    0.9465115764E+02    0.2592629015E-02
       156    0.9387423333E+02    0.8917294492E+02    0.2485681844E-02
       157    0.7960966667E+02    0.8626468068E+02    0.2428905912E-02
       158    0.7212493333E+02    0.8327490468E+02    0.2370538685E-02
       159    0.7295700000E+02    0.7712940623E+02    0.2250564579E-02
       160    0.1322593000E+03    0.1281117282E+03    0.3245855450E-02
       161    0.1247315333E+03    0.1241500277E+03    0.3168514046E-02
       162    0.1265596000E+03    0.1217026922E+03    0.3120736490E-02
       163    0.1238607000E+03    0.1190043134E+03    0.3068057999E-02
       164    0.1190111667E+03    0.1130072573E+03    0.2950981827E-02
       165    0.1090786333E+03    0.1064261876E+03    0.2822504379E-02
       166    0.1036082667E+03    0.9947498293E+02    0.2686801055E-02
       167    0.9512590000E+02    0.9232377404E+02    0.2547193194E-02
       168    0.8489250000E+02    0.8871635550E+02    0.2476768180E-02
       169    0.7258806667E+02    0.8510688141E+02    0.2406303037E-02
       170    0.7170470000E+02    0.7792932635E+02    0.2266180839E-02
