Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4067373667E+03    0.4244903052E+03   -0.1775293856E+02
    0.3266636333E+03    0.3320164539E+03   -0.5352820557E+01
    0.3781231333E+03    0.3894004537E+03   -0.1127732037E+02
    0.4175716333E+03    0.4604320111E+03   -0.4286037773E+02
    0.4238937333E+03    0.4084904951E+03    0.1540323826E+02
    0.4241497333E+03    0.4242321813E+03   -0.8244800507E-01
    0.3010334667E+03    0.2943823359E+03    0.6651130756E+01
    0.3487913667E+03    0.3342154945E+03    0.1457587216E+02
    0.4356066667E+03    0.4064280008E+03    0.2917866592E+02
    0.4648353333E+03    0.4741798661E+03   -0.9344532748E+01
    0.4951073333E+03    0.4733769556E+03    0.2173037775E+02
    0.2673784667E+03    0.2378338120E+03    0.2954465466E+02
    0.2659497000E+03    0.2386141582E+03    0.2733554181E+02
    0.2546677000E+03    0.2424183458E+03    0.1224935415E+02
    0.2478107667E+03    0.2430523771E+03    0.4758389541E+01
    0.3904840000E+03    0.3781740151E+03    0.1230998488E+02
    0.3324828333E+03    0.3302038953E+03    0.2278938058E+01
Prediction RMSE and MaxAE:        19.0393253081       42.8603777261
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.4067373667E+03    0.4072502971E+03   -0.5129304673E+00
    0.3266636333E+03    0.3388056408E+03   -0.1214200752E+02
    0.3781231333E+03    0.3742011413E+03    0.3921992066E+01
    0.4175716333E+03    0.4252365789E+03   -0.7664945575E+01
    0.4238937333E+03    0.3855289688E+03    0.3836476455E+02
    0.4241497333E+03    0.3979508158E+03    0.2619891754E+02
    0.3010334667E+03    0.3040453872E+03   -0.3011920556E+01
    0.3487913667E+03    0.3436028185E+03    0.5188548188E+01
    0.4356066667E+03    0.4046663679E+03    0.3094029873E+02
    0.4648353333E+03    0.4550564472E+03    0.9778886149E+01
    0.4951073333E+03    0.4649219096E+03    0.3018542378E+02
    0.2673784667E+03    0.2646614542E+03    0.2717012476E+01
    0.2659497000E+03    0.2545608623E+03    0.1138883766E+02
    0.2546677000E+03    0.2676434250E+03   -0.1297572496E+02
    0.2478107667E+03    0.2699247908E+03   -0.2211402417E+02
    0.3904840000E+03    0.3707337978E+03    0.1975020224E+02
    0.3324828333E+03    0.3347114083E+03   -0.2228575011E+01
Prediction RMSE and MaxAE:        18.1004855656       38.3647645530
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.4067373667E+03    0.4203187889E+03   -0.1358142221E+02
    0.3266636333E+03    0.3234930500E+03    0.3170583344E+01
    0.3781231333E+03    0.3937878596E+03   -0.1566472629E+02
    0.4175716333E+03    0.4571518185E+03   -0.3958018518E+02
    0.4238937333E+03    0.3904296351E+03    0.3346409819E+02
    0.4241497333E+03    0.4049539800E+03    0.1919575333E+02
    0.3010334667E+03    0.2929623259E+03    0.8071140726E+01
    0.3487913667E+03    0.3332809840E+03    0.1551038265E+02
    0.4356066667E+03    0.4253611081E+03    0.1024555861E+02
    0.4648353333E+03    0.4901985506E+03   -0.2536321729E+02
    0.4951073333E+03    0.4891996208E+03    0.5907712511E+01
    0.2673784667E+03    0.2658117315E+03    0.1566735142E+01
    0.2659497000E+03    0.2650105333E+03    0.9391666929E+00
    0.2546677000E+03    0.2344606615E+03    0.2020703850E+02
    0.2478107667E+03    0.2293690162E+03    0.1844175046E+02
    0.3904840000E+03    0.3853574765E+03    0.5126523507E+01
    0.3324828333E+03    0.3342896689E+03   -0.1806835568E+01
Prediction RMSE and MaxAE:        17.7647882374       39.5801851792
