Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2595301222E+03    0.2603898386E+03   -0.8597163923E+00
    0.2279487222E+03    0.2301192479E+03   -0.2170525680E+01
    0.2505142889E+03    0.2538709473E+03   -0.3356658372E+01
    0.2630736333E+03    0.2649725933E+03   -0.1898959974E+01
    0.2402382000E+03    0.2390286714E+03    0.1209528645E+01
    0.2422979556E+03    0.2436453909E+03   -0.1347435391E+01
    0.2124671556E+03    0.2119361088E+03    0.5310467308E+00
    0.2253844556E+03    0.2270208653E+03   -0.1636409706E+01
    0.2445528889E+03    0.2371084775E+03    0.7444411426E+01
    0.2601386889E+03    0.2570212159E+03    0.3117472978E+01
    0.2744485778E+03    0.2716142952E+03    0.2834282592E+01
    0.1889144889E+03    0.1892032357E+03   -0.2887467649E+00
    0.1931341889E+03    0.1922497601E+03    0.8844287744E+00
    0.1796762778E+03    0.1774014773E+03    0.2274800522E+01
    0.1785659444E+03    0.1743474103E+03    0.4218534125E+01
    0.2362448000E+03    0.2428713903E+03   -0.6626590270E+01
    0.2306701222E+03    0.2323293640E+03   -0.1659241772E+01
Prediction RMSE and MaxAE:         3.1644538875        7.4444114256
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2595301222E+03    0.2591942791E+03    0.3358431533E+00
    0.2279487222E+03    0.2279666230E+03   -0.1790075283E-01
    0.2505142889E+03    0.2517588455E+03   -0.1244556576E+01
    0.2630736333E+03    0.2656497032E+03   -0.2576069870E+01
    0.2402382000E+03    0.2409685313E+03   -0.7303312693E+00
    0.2422979556E+03    0.2460669032E+03   -0.3768947679E+01
    0.2124671556E+03    0.2128731499E+03   -0.4059943658E+00
    0.2253844556E+03    0.2270139780E+03   -0.1629522419E+01
    0.2445528889E+03    0.2423450948E+03    0.2207794107E+01
    0.2601386889E+03    0.2622239470E+03   -0.2085258086E+01
    0.2744485778E+03    0.2712425209E+03    0.3206056882E+01
    0.1889144889E+03    0.1866926089E+03    0.2221880007E+01
    0.1931341889E+03    0.1906031520E+03    0.2531036901E+01
    0.1796762778E+03    0.1771999037E+03    0.2476374124E+01
    0.1785659444E+03    0.1758998150E+03    0.2666129487E+01
    0.2362448000E+03    0.2395457865E+03   -0.3300986450E+01
    0.2306701222E+03    0.2300147971E+03    0.6553251269E+00
Prediction RMSE and MaxAE:         2.1864245111        3.7689476795
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2595301222E+03    0.2588341917E+03    0.6959305594E+00
    0.2279487222E+03    0.2275365319E+03    0.4121903170E+00
    0.2505142889E+03    0.2510375526E+03   -0.5232637503E+00
    0.2630736333E+03    0.2654258387E+03   -0.2352205393E+01
    0.2402382000E+03    0.2406552210E+03   -0.4170210257E+00
    0.2422979556E+03    0.2458470348E+03   -0.3549079267E+01
    0.2124671556E+03    0.2115758424E+03    0.8913131803E+00
    0.2253844556E+03    0.2261837944E+03   -0.7993388862E+00
    0.2445528889E+03    0.2427050919E+03    0.1847797000E+01
    0.2601386889E+03    0.2625395644E+03   -0.2400875484E+01
    0.2744485778E+03    0.2710485466E+03    0.3400031176E+01
    0.1889144889E+03    0.1887294342E+03    0.1850547383E+00
    0.1931341889E+03    0.1886557621E+03    0.4478426760E+01
    0.1796762778E+03    0.1764583899E+03    0.3217887851E+01
    0.1785659444E+03    0.1754601974E+03    0.3105747024E+01
    0.2362448000E+03    0.2389045168E+03   -0.2659716780E+01
    0.2306701222E+03    0.2295947139E+03    0.1075408321E+01
Prediction RMSE and MaxAE:         2.2973710158        4.4784267600
