Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6527446667E+02    0.6310737794E+02    0.2167088724E+01
    0.6491693333E+02    0.6253414689E+02    0.2382786441E+01
    0.6509713333E+02    0.6195831615E+02    0.3138817187E+01
    0.6360703333E+02    0.6079876049E+02    0.2808272844E+01
    0.1331329333E+03    0.1219013746E+03    0.1123155875E+02
    0.1303768667E+03    0.1197238185E+03    0.1065304820E+02
    0.1275528667E+03    0.1186298667E+03    0.8922999982E+01
    0.1131955333E+03    0.1175324365E+03   -0.4336903176E+01
    0.1089584667E+03    0.1153270520E+03   -0.6368585345E+01
    0.1032596000E+03    0.1131074849E+03   -0.9847884881E+01
    0.1006016333E+03    0.1108735515E+03   -0.1027191819E+02
    0.9690393333E+02    0.1086250647E+03   -0.1172113141E+02
    0.9634486667E+02    0.1074953043E+03   -0.1115043766E+02
    0.9517810000E+02    0.1063618337E+03   -0.1118373369E+02
    0.9246266667E+02    0.1040836637E+03   -0.1162099704E+02
    0.1244155333E+03    0.1247118126E+03   -0.2962792637E+00
    0.1249338000E+03    0.1253571381E+03   -0.4233381190E+00
    0.1282895000E+03    0.1256793490E+03    0.2610151029E+01
    0.1282394333E+03    0.1260012593E+03    0.2238174033E+01
    0.1238324333E+03    0.1266441806E+03   -0.2811747294E+01
    0.1230619333E+03    0.1272859066E+03   -0.4223973230E+01
    0.1256808333E+03    0.1279264415E+03   -0.2245608210E+01
    0.1205031000E+03    0.1285657900E+03   -0.8062689981E+01
    0.1237962000E+03    0.1288850206E+03   -0.5088820618E+01
    0.1263286333E+03    0.1292039563E+03   -0.2875322930E+01
    0.1243047333E+03    0.1298409448E+03   -0.5536211421E+01
    0.9942550000E+02    0.1047686950E+03   -0.5343195021E+01
    0.1039796667E+03    0.1077215524E+03   -0.3741885782E+01
    0.1065988000E+03    0.1091885612E+03   -0.2589761194E+01
    0.1094606333E+03    0.1106493609E+03   -0.1188727532E+01
    0.1100665000E+03    0.1135525417E+03   -0.3486041679E+01
    0.1137924333E+03    0.1164315058E+03   -0.2639072419E+01
    0.1200650667E+03    0.1192866538E+03    0.7784129153E+00
    0.1181213667E+03    0.1221183765E+03   -0.3997009812E+01
    0.1254120333E+03    0.1235255729E+03    0.1886460459E+01
    0.1295430000E+03    0.1249270552E+03    0.4615944802E+01
    0.1281758000E+03    0.1277130619E+03    0.4627380614E+00
    0.1324569000E+03    0.1231207860E+03    0.9336114031E+01
    0.1310257333E+03    0.1203053703E+03    0.1072036301E+02
    0.1248918667E+03    0.1183450243E+03    0.6546842369E+01
    0.1208332667E+03    0.1160837326E+03    0.4749534064E+01
    0.1109500000E+03    0.1108303491E+03    0.1196509447E+00
    0.9142540000E+02    0.1048462639E+03   -0.1342086387E+02
    0.8069620000E+02    0.9837264610E+02   -0.1767644610E+02
    0.9159523333E+02    0.9160178383E+02   -0.6550494010E-02
    0.8447216667E+02    0.8815384784E+02   -0.3681681172E+01
    0.7063323333E+02    0.8468603429E+02   -0.1405280096E+02
    0.6796646667E+02    0.7774513370E+02   -0.9778667032E+01
    0.9883910000E+02    0.1058835940E+03   -0.7044494024E+01
    0.1059929000E+03    0.1070983892E+03   -0.1105489188E+01
    0.1099493000E+03    0.1068398528E+03    0.3109447158E+01
