Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2188755888E+00    0.1902226711E+00    0.2865291771E-01
    0.4565628182E+00    0.4283621286E+00    0.2820068958E-01
    0.3810698261E+00    0.4023904080E+00   -0.2132058195E-01
    0.3020090589E+00    0.3252955127E+00   -0.2328645378E-01
    0.3155324828E+00    0.3344874992E+00   -0.1895501641E-01
    0.1983230862E+00    0.1603326000E+00    0.3799048619E-01
    0.2431243250E+00    0.2162133110E+00    0.2691101404E-01
    0.2124254665E+00    0.2334854385E+00   -0.2105997195E-01
    0.2458956862E+00    0.2504568330E+00   -0.4561146813E-02
    0.3834132326E+00    0.4129787697E+00   -0.2956553711E-01
    0.3842960836E+00    0.4209959636E+00   -0.3669988000E-01
    0.3898202890E+00    0.4288785647E+00   -0.3905827576E-01
    0.1342891712E+00    0.1954534599E+00   -0.6116428877E-01
    0.2378831299E+00    0.2619171909E+00   -0.2403406104E-01
    0.2813862858E+00    0.2932361435E+00   -0.1184985767E-01
    0.3770097654E+00    0.3941741169E+00   -0.1716435155E-01
    0.4572457538E+00    0.4620573864E+00   -0.4811632580E-02
    0.4578862221E+00    0.4610866479E+00   -0.3200425753E-02
    0.1796044697E+00    0.1783231570E+00    0.1281312683E-02
    0.2246052236E+00    0.1853003241E+00    0.3930489949E-01
    0.3018347465E+00    0.2551957009E+00    0.4663904561E-01
    0.3104478013E+00    0.2692017665E+00    0.4124603488E-01
    0.1609983312E+00    0.1431369068E+00    0.1786142441E-01
    0.1364241452E+00    0.1462424951E+00   -0.9818349929E-02
    0.2639498902E+00    0.2456831936E+00    0.1826669665E-01
    0.2484917914E+00    0.2387172093E+00    0.9774582102E-02
    0.2176879084E+00    0.2126557478E+00    0.5032160532E-02
    0.2777107383E+00    0.2853412268E+00   -0.7630488476E-02
    0.4480318505E+00    0.4077107522E+00    0.4032109836E-01
    0.3140799395E+00    0.3637337594E+00   -0.4965381994E-01
    0.4298996304E+00    0.4242326730E+00    0.5666957466E-02
    0.2116025279E+00    0.2466601585E+00   -0.3505763061E-01
    0.3826141023E+00    0.3831075012E+00   -0.4933989045E-03
    0.4524044644E+00    0.4372414930E+00    0.1516297139E-01
Prediction RMSE and MaxAE:         0.0276913813        0.0611642888
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2188755888E+00    0.1852552133E+00    0.3362037551E-01
    0.4565628182E+00    0.4377744300E+00    0.1878838820E-01
    0.3810698261E+00    0.3875229724E+00   -0.6453146321E-02
    0.3020090589E+00    0.3144295136E+00   -0.1242045468E-01
    0.3155324828E+00    0.3181077528E+00   -0.2575270028E-02
    0.1983230862E+00    0.1699987307E+00    0.2832435548E-01
    0.2431243250E+00    0.1966611041E+00    0.4646322093E-01
    0.2124254665E+00    0.2249741010E+00   -0.1254863454E-01
    0.2458956862E+00    0.2435309709E+00    0.2364715282E-02
    0.3834132326E+00    0.3900355947E+00   -0.6622362136E-02
    0.3842960836E+00    0.3982994006E+00   -0.1400331698E-01
    0.3898202890E+00    0.4065063173E+00   -0.1668602840E-01
    0.1342891712E+00    0.1888166825E+00   -0.5452751136E-01
    0.2378831299E+00    0.2600025471E+00   -0.2211941727E-01
    0.2813862858E+00    0.2942741253E+00   -0.1288783949E-01
    0.3770097654E+00    0.4079874857E+00   -0.3097772031E-01
    0.4572457538E+00    0.4627180461E+00   -0.5472292240E-02
    0.4578862221E+00    0.4614333377E+00   -0.3547115578E-02
    0.1796044697E+00    0.2069956511E+00   -0.2739118143E-01
    0.2246052236E+00    0.2160815218E+00    0.8523701814E-02
    0.3018347465E+00    0.3071013215E+00   -0.5266575034E-02
    0.3104478013E+00    0.3253404289E+00   -0.1489262760E-01
    0.1609983312E+00    0.1416355030E+00    0.1936282814E-01
    0.1364241452E+00    0.1456796908E+00   -0.9255545645E-02
    0.2639498902E+00    0.2383258747E+00    0.2562401555E-01
    0.2484917914E+00    0.2292545666E+00    0.1923722478E-01
    0.2176879084E+00    0.1953165708E+00    0.2237133755E-01
    0.2777107383E+00    0.2858328250E+00   -0.8122086722E-02
    0.4480318505E+00    0.4255641682E+00    0.2246768231E-01
    0.3140799395E+00    0.3468365717E+00   -0.3275663228E-01
    0.4298996304E+00    0.4076580984E+00    0.2224153206E-01
    0.2116025279E+00    0.2402215028E+00   -0.2861897494E-01
    0.3826141023E+00    0.3922697723E+00   -0.9655670042E-02
    0.4524044644E+00    0.4551116485E+00   -0.2707184136E-02
Prediction RMSE and MaxAE:         0.0217454550        0.0545275114
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2188755888E+00    0.1900199044E+00    0.2885568441E-01
    0.4565628182E+00    0.4421962392E+00    0.1436657901E-01
    0.3810698261E+00    0.4013588341E+00   -0.2028900807E-01
    0.3020090589E+00    0.3300403015E+00   -0.2803124263E-01
    0.3155324828E+00    0.3332500738E+00   -0.1771759108E-01
    0.1983230862E+00    0.1860830828E+00    0.1224000342E-01
    0.2431243250E+00    0.2122083564E+00    0.3091596863E-01
    0.2124254665E+00    0.2112720524E+00    0.1153414118E-02
    0.2458956862E+00    0.2298207405E+00    0.1607494573E-01
    0.3834132326E+00    0.3756065651E+00    0.7806667422E-02
    0.3842960836E+00    0.3838667275E+00    0.4293561197E-03
    0.3898202890E+00    0.3920700258E+00   -0.2249736831E-02
    0.1342891712E+00    0.1868644166E+00   -0.5257524542E-01
    0.2378831299E+00    0.2580188951E+00   -0.2013576520E-01
    0.2813862858E+00    0.2922753628E+00   -0.1088907694E-01
    0.3770097654E+00    0.4059385865E+00   -0.2892882108E-01
    0.4572457538E+00    0.4602700702E+00   -0.3024316391E-02
    0.4578862221E+00    0.4589859283E+00   -0.1099706163E-02
    0.1796044697E+00    0.1937952571E+00   -0.1419078740E-01
    0.2246052236E+00    0.2028771218E+00    0.2172810184E-01
    0.3018347465E+00    0.2938567905E+00    0.7977955983E-02
    0.3104478013E+00    0.3120878562E+00   -0.1640054886E-02
    0.1609983312E+00    0.1398830648E+00    0.2111526636E-01
    0.1364241452E+00    0.1439254695E+00   -0.7501324321E-02
    0.2639498902E+00    0.2359783614E+00    0.2797152887E-01
    0.2484917914E+00    0.2269110529E+00    0.2158073852E-01
    0.2176879084E+00    0.1929880205E+00    0.2469988790E-01
    0.2777107383E+00    0.2838666393E+00   -0.6155901023E-02
    0.4480318505E+00    0.4235363744E+00    0.2449547612E-01
    0.3140799395E+00    0.3442149364E+00   -0.3013499688E-01
    0.4298996304E+00    0.4050096465E+00    0.2488998391E-01
    0.2116025279E+00    0.2264826989E+00   -0.1488017100E-01
    0.3826141023E+00    0.3784639297E+00    0.4150172588E-02
    0.4524044644E+00    0.4412780986E+00    0.1112636573E-01
Prediction RMSE and MaxAE:         0.0201066769        0.0525752454
