Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3219133907E+00    0.3429359750E+00   -0.2102258427E-01
    0.3841229241E+00    0.3904521474E+00   -0.6329223307E-02
    0.3923032117E+00    0.3718749294E+00    0.2042828234E-01
    0.3498298330E+00    0.3681660014E+00   -0.1833616845E-01
    0.3047319468E+00    0.3071989453E+00   -0.2466998563E-02
    0.3153730631E+00    0.3265922923E+00   -0.1121922917E-01
    0.3301994043E+00    0.3262082098E+00    0.3991194520E-02
    0.3048279490E+00    0.3005657109E+00    0.4262238168E-02
    0.4320800811E+00    0.4229061082E+00    0.9173972853E-02
    0.4194647730E+00    0.4172675210E+00    0.2197252015E-02
    0.3875387003E+00    0.4059794317E+00   -0.1844073142E-01
    0.4302033384E+00    0.4286316771E+00    0.1571661295E-02
    0.4367499704E+00    0.4245921160E+00    0.1215785434E-01
    0.3650326136E+00    0.3783179648E+00   -0.1328535118E-01
    0.4019375123E+00    0.3916410325E+00    0.1029647973E-01
    0.3223677406E+00    0.3455671237E+00   -0.2319938302E-01
    0.3594206178E+00    0.3550440669E+00    0.4376550992E-02
Prediction RMSE and MaxAE:         0.0128813793        0.0231993830
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3219133907E+00    0.3429355573E+00   -0.2102216654E-01
    0.3841229241E+00    0.3896719390E+00   -0.5549014833E-02
    0.3923032117E+00    0.3684697717E+00    0.2383344000E-01
    0.3498298330E+00    0.3676569406E+00   -0.1782710763E-01
    0.3047319468E+00    0.3077767541E+00   -0.3044807285E-02
    0.3153730631E+00    0.3238661186E+00   -0.8493055515E-02
    0.3301994043E+00    0.3373019500E+00   -0.7102545670E-02
    0.3048279490E+00    0.3064549587E+00   -0.1627009665E-02
    0.4320800811E+00    0.4079309068E+00    0.2414917427E-01
    0.4194647730E+00    0.4015287471E+00    0.1793602589E-01
    0.3875387003E+00    0.3890055267E+00   -0.1466826427E-02
    0.4302033384E+00    0.4211679772E+00    0.9035361173E-02
    0.4367499704E+00    0.4230450598E+00    0.1370491062E-01
    0.3650326136E+00    0.3802905753E+00   -0.1525796169E-01
    0.4019375123E+00    0.3958414227E+00    0.6096089593E-02
    0.3223677406E+00    0.3414646465E+00   -0.1909690584E-01
    0.3594206178E+00    0.3706414134E+00   -0.1122079554E-01
Prediction RMSE and MaxAE:         0.0142046412        0.0241491743
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3219133907E+00    0.3374956009E+00   -0.1558221020E-01
    0.3841229241E+00    0.3851207881E+00   -0.9978639916E-03
    0.3923032117E+00    0.3745294101E+00    0.1777380159E-01
    0.3498298330E+00    0.3591962656E+00   -0.9366432640E-02
    0.3047319468E+00    0.3055760652E+00   -0.8441184175E-03
    0.3153730631E+00    0.3181127364E+00   -0.2739673308E-02
    0.3301994043E+00    0.3434520969E+00   -0.1325269259E-01
    0.3048279490E+00    0.3065686324E+00   -0.1740683306E-02
    0.4320800811E+00    0.4132254886E+00    0.1885459244E-01
    0.4194647730E+00    0.4059055218E+00    0.1355925119E-01
    0.3875387003E+00    0.3912655882E+00   -0.3726887934E-02
    0.4302033384E+00    0.4241538663E+00    0.6049472048E-02
    0.4367499704E+00    0.4238666571E+00    0.1288331329E-01
    0.3650326136E+00    0.3815818974E+00   -0.1654928385E-01
    0.4019375123E+00    0.3983311160E+00    0.3606396276E-02
    0.3223677406E+00    0.3419770717E+00   -0.1960933109E-01
    0.3594206178E+00    0.3723645589E+00   -0.1294394106E-01
Prediction RMSE and MaxAE:         0.0119535674        0.0196093311
