Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1790078333E+03    0.1741921252E+03    0.4815708086E+01
    0.1691650000E+03    0.1613668722E+03    0.7798127839E+01
    0.1712258333E+03    0.1567905172E+03    0.1443531614E+02
    0.1832511000E+03    0.1649615969E+03    0.1828950313E+02
    0.1616570333E+03    0.1452095129E+03    0.1644752041E+02
    0.1669711667E+03    0.1511363224E+03    0.1583484428E+02
    0.1706844000E+03    0.1565726542E+03    0.1411174585E+02
    0.1512805667E+03    0.1509205811E+03    0.3599856109E+00
    0.1708858333E+03    0.1594711904E+03    0.1141464297E+02
    0.1612523333E+03    0.1678176634E+03   -0.6565330074E+01
    0.2034949000E+03    0.1938546748E+03    0.9640225174E+01
    0.1759193333E+03    0.1615060154E+03    0.1441331791E+02
    0.1560547000E+03    0.1466233917E+03    0.9431308297E+01
    0.1981880667E+03    0.1913981125E+03    0.6789954128E+01
    0.1906729667E+03    0.1739755789E+03    0.1669738775E+02
    0.1836433333E+03    0.1626668909E+03    0.2097644243E+02
    0.2026154000E+03    0.1911127495E+03    0.1150265050E+02
    0.1594275000E+03    0.1648402419E+03   -0.5412741934E+01
    0.1582353333E+03    0.1644283495E+03   -0.6193016184E+01
    0.1691501333E+03    0.1683658288E+03    0.7843045579E+00
    0.1472152667E+03    0.1506853755E+03   -0.3470108828E+01
    0.1537301667E+03    0.1527216422E+03    0.1008524454E+01
    0.1476696000E+03    0.1565546149E+03   -0.8885014885E+01
    0.1490033667E+03    0.1583595309E+03   -0.9356164234E+01
    0.1510296000E+03    0.1617646417E+03   -0.1073504167E+02
    0.1408940000E+03    0.1433053351E+03   -0.2411335057E+01
    0.1390718667E+03    0.1428501751E+03   -0.3778308411E+01
    0.1362171000E+03    0.1423992618E+03   -0.6182161825E+01
    0.1382688000E+03    0.1422113203E+03   -0.3942520291E+01
    0.1592046333E+03    0.1606945325E+03   -0.1489899214E+01
    0.1540077000E+03    0.1616697501E+03   -0.7662050091E+01
    0.1694642000E+03    0.1829737245E+03   -0.1350952449E+02
    0.1747238667E+03    0.1710186545E+03    0.3705212202E+01
    0.1830096667E+03    0.1838512833E+03   -0.8416166553E+00
Prediction RMSE and MaxAE:        10.1495360655       20.9764424268
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1790078333E+03    0.1786301469E+03    0.3776864630E+00
    0.1691650000E+03    0.1656615251E+03    0.3503474911E+01
    0.1712258333E+03    0.1642675930E+03    0.6958240313E+01
    0.1832511000E+03    0.1741967789E+03    0.9054321069E+01
    0.1616570333E+03    0.1478719136E+03    0.1378511976E+02
    0.1669711667E+03    0.1585913342E+03    0.8379832458E+01
    0.1706844000E+03    0.1666417568E+03    0.4042643198E+01
    0.1512805667E+03    0.1593801425E+03   -0.8099575857E+01
    0.1708858333E+03    0.1534187428E+03    0.1746709058E+02
    0.1612523333E+03    0.1781854431E+03   -0.1693310973E+02
    0.2034949000E+03    0.1974861477E+03    0.6008752339E+01
    0.1759193333E+03    0.1556769594E+03    0.2024237396E+02
    0.1560547000E+03    0.1491532942E+03    0.6901405775E+01
    0.1981880667E+03    0.2016705436E+03   -0.3482476943E+01
    0.1906729667E+03    0.1796858035E+03    0.1098716316E+02
    0.1836433333E+03    0.1664443368E+03    0.1719899649E+02
    0.2026154000E+03    0.2009843595E+03    0.1631040523E+01
    0.1594275000E+03    0.1608118415E+03   -0.1384341501E+01
    0.1582353333E+03    0.1602165067E+03   -0.1981173411E+01
    0.1691501333E+03    0.1682417789E+03    0.9083544043E+00
    0.1472152667E+03    0.1435118001E+03    0.3703466602E+01
    0.1537301667E+03    0.1456273484E+03    0.8102818224E+01
    0.1476696000E+03    0.1497717417E+03   -0.2102141692E+01
    0.1490033667E+03    0.1518005866E+03   -0.2797219898E+01
    0.1510296000E+03    0.1557715728E+03   -0.4741972803E+01
    0.1408940000E+03    0.1453615570E+03   -0.4467557003E+01
    0.1390718667E+03    0.1433506093E+03   -0.4278742653E+01
    0.1362171000E+03    0.1425576857E+03   -0.6340585700E+01
    0.1382688000E+03    0.1422884805E+03   -0.4019680536E+01
    0.1592046333E+03    0.1631082448E+03   -0.3903611437E+01
    0.1540077000E+03    0.1576178456E+03   -0.3610145577E+01
    0.1694642000E+03    0.1770605328E+03   -0.7596332766E+01
    0.1747238667E+03    0.1720553555E+03    0.2668511190E+01
    0.1830096667E+03    0.1833366387E+03   -0.3269720151E+00
Prediction RMSE and MaxAE:         8.2430711289       20.2423739614
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1790078333E+03    0.1880227700E+03   -0.9014936624E+01
    0.1691650000E+03    0.1688679341E+03    0.2970658941E+00
    0.1712258333E+03    0.1760522318E+03   -0.4826398476E+01
    0.1832511000E+03    0.1754011679E+03    0.7849932135E+01
    0.1616570333E+03    0.1524038820E+03    0.9253151290E+01
    0.1669711667E+03    0.1567364439E+03    0.1023472275E+02
    0.1706844000E+03    0.1729805585E+03   -0.2296158545E+01
    0.1512805667E+03    0.1458885305E+03    0.5392036187E+01
    0.1708858333E+03    0.1680471422E+03    0.2838691178E+01
    0.1612523333E+03    0.1726151952E+03   -0.1136286187E+02
    0.2034949000E+03    0.2018844119E+03    0.1610488117E+01
    0.1759193333E+03    0.1760863349E+03   -0.1670015543E+00
    0.1560547000E+03    0.1428588466E+03    0.1319585340E+02
    0.1981880667E+03    0.2034522756E+03   -0.5264208936E+01
    0.1906729667E+03    0.1827797001E+03    0.7893266595E+01
    0.1836433333E+03    0.1738310697E+03    0.9812263630E+01
    0.2026154000E+03    0.1977576841E+03    0.4857715860E+01
    0.1594275000E+03    0.1627789452E+03   -0.3351445219E+01
    0.1582353333E+03    0.1615429493E+03   -0.3307615944E+01
    0.1691501333E+03    0.1713033832E+03   -0.2153249876E+01
    0.1472152667E+03    0.1452976038E+03    0.1917662878E+01
    0.1537301667E+03    0.1465511209E+03    0.7179045737E+01
    0.1476696000E+03    0.1490100660E+03   -0.1340465952E+01
    0.1490033667E+03    0.1502154938E+03   -0.1212127168E+01
    0.1510296000E+03    0.1525782603E+03   -0.1548660342E+01
    0.1408940000E+03    0.1432487434E+03   -0.2354743395E+01
    0.1390718667E+03    0.1416721878E+03   -0.2600321103E+01
    0.1362171000E+03    0.1410746838E+03   -0.4857583821E+01
    0.1382688000E+03    0.1408747527E+03   -0.2605952737E+01
    0.1592046333E+03    0.1552229530E+03    0.3981680336E+01
    0.1540077000E+03    0.1567265569E+03   -0.2718856894E+01
    0.1694642000E+03    0.1736088057E+03   -0.4144605659E+01
    0.1747238667E+03    0.1769569771E+03   -0.2233110419E+01
    0.1830096667E+03    0.1834523930E+03   -0.4427263544E+00
Prediction RMSE and MaxAE:         5.6641226380       13.1958533966
