Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3628066791E+00    0.3543719231E+00    0.8434756019E-02
    0.4069873114E+00    0.4214468636E+00   -0.1445955225E-01
    0.4008107104E+00    0.3917024671E+00    0.9108243345E-02
    0.3275040021E+00    0.3122544135E+00    0.1524958858E-01
    0.4357322360E+00    0.4071665048E+00    0.2856573122E-01
    0.3713716119E+00    0.3674074609E+00    0.3964150988E-02
    0.3325398245E+00    0.3263654566E+00    0.6174367844E-02
    0.3016141520E+00    0.2987636994E+00    0.2850452543E-02
    0.3013730675E+00    0.2991584077E+00    0.2214659802E-02
    0.4152703718E+00    0.4141317919E+00    0.1138579902E-02
    0.3628786252E+00    0.3828749401E+00   -0.1999631491E-01
    0.4347549284E+00    0.4271759874E+00    0.7578941011E-02
    0.3985197223E+00    0.4001719481E+00   -0.1652225852E-02
    0.3119917446E+00    0.3141434618E+00   -0.2151717220E-02
    0.4011696531E+00    0.3863455444E+00    0.1482410868E-01
    0.3303320639E+00    0.3308652110E+00   -0.5331471509E-03
    0.3034393990E+00    0.3088539952E+00   -0.5414596210E-02
Prediction RMSE and MaxAE:         0.0113601659        0.0285657312
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3628066791E+00    0.3586518605E+00    0.4154818587E-02
    0.4069873114E+00    0.4177585875E+00   -0.1077127610E-01
    0.4008107104E+00    0.3952499282E+00    0.5560782281E-02
    0.3275040021E+00    0.3209849634E+00    0.6519038713E-02
    0.4357322360E+00    0.4100205293E+00    0.2571170671E-01
    0.3713716119E+00    0.3669528280E+00    0.4418783880E-02
    0.3325398245E+00    0.3205134975E+00    0.1202632695E-01
    0.3016141520E+00    0.2980881069E+00    0.3526045020E-02
    0.3013730675E+00    0.2986127682E+00    0.2760299298E-02
    0.4152703718E+00    0.4026895929E+00    0.1258077894E-01
    0.3628786252E+00    0.3618074987E+00    0.1071126567E-02
    0.4347549284E+00    0.4276725569E+00    0.7082371584E-02
    0.3985197223E+00    0.4072923352E+00   -0.8772612882E-02
    0.3119917446E+00    0.3205296421E+00   -0.8537897491E-02
    0.4011696531E+00    0.3890171229E+00    0.1215253027E-01
    0.3303320639E+00    0.3269222220E+00    0.3409841856E-02
    0.3034393990E+00    0.3012582662E+00    0.2181132748E-02
Prediction RMSE and MaxAE:         0.0096268969        0.0257117067
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3628066791E+00    0.3515274547E+00    0.1127922442E-01
    0.4069873114E+00    0.4061262444E+00    0.8610669621E-03
    0.4008107104E+00    0.3998341143E+00    0.9765961866E-03
    0.3275040021E+00    0.3281241371E+00   -0.6201350129E-03
    0.4357322360E+00    0.4106479623E+00    0.2508427368E-01
    0.3713716119E+00    0.3669537470E+00    0.4417864876E-02
    0.3325398245E+00    0.3193531363E+00    0.1318668817E-01
    0.3016141520E+00    0.2949322729E+00    0.6681879043E-02
    0.3013730675E+00    0.2997927933E+00    0.1580274211E-02
    0.4152703718E+00    0.4027143529E+00    0.1255601896E-01
    0.3628786252E+00    0.3621980435E+00    0.6805817491E-03
    0.4347549284E+00    0.4241216838E+00    0.1063324463E-01
    0.3985197223E+00    0.4073826654E+00   -0.8862943106E-02
    0.3119917446E+00    0.3206167809E+00   -0.8625036289E-02
    0.4011696531E+00    0.3982487076E+00    0.2920945537E-02
    0.3303320639E+00    0.3264712116E+00    0.3860852284E-02
    0.3034393990E+00    0.2947267453E+00    0.8712653655E-02
Prediction RMSE and MaxAE:         0.0094636973        0.0250842737
