     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2595301222E+03    0.2585660676E+03    0.3157693639E-02    0.2270225280E-02    0.1970037102E+00
         2    0.2079026556E+03    0.2081844471E+03    0.2903907032E-02    0.2424649013E-02    0.2042619395E+00
         3    0.2226869444E+03    0.2228385933E+03    0.2988099928E-02    0.2407340466E-02    0.2037332854E+00
         4    0.2405868667E+03    0.2411902307E+03    0.3073042826E-02    0.2172931188E-02    0.1943794585E+00
         5    0.2053415111E+03    0.2073212958E+03    0.2900945488E-02    0.2268574003E-02    0.1988836463E+00
         6    0.2209334444E+03    0.2219374412E+03    0.2984365700E-02    0.2252557464E-02    0.1983675873E+00
         7    0.1936777556E+03    0.1950853726E+03    0.2847759832E-02    0.2312168586E-02    0.2013584446E+00
         8    0.1820647889E+03    0.1839904701E+03    0.2786208629E-02    0.1934439533E-02    0.1881370582E+00
         9    0.1862727778E+03    0.1886427508E+03    0.2812957313E-02    0.1929976302E-02    0.1880066918E+00
        10    0.2896785556E+03    0.2873866386E+03    0.3305271744E-02    0.2360564476E-02    0.1992795030E+00
        11    0.2785376444E+03    0.2758268410E+03    0.3241521756E-02    0.2408304663E-02    0.2010527702E+00
        12    0.2668892556E+03    0.2659313018E+03    0.3200108471E-02    0.2259583618E-02    0.1966755090E+00
        13    0.2110321000E+03    0.2145335424E+03    0.2955736149E-02    0.1981059222E-02    0.1895940678E+00
        14    0.2256499111E+03    0.2293760288E+03    0.3039403783E-02    0.1967383698E-02    0.1890995894E+00
        15    0.2147564222E+03    0.2148285694E+03    0.2942608581E-02    0.2413093916E-02    0.2039229618E+00
        16    0.2279487222E+03    0.2296946800E+03    0.3027955444E-02    0.2395881508E-02    0.2033950916E+00
        17    0.2568662444E+03    0.2561578745E+03    0.3157898049E-02    0.2152725848E-02    0.1936835234E+00
        18    0.2505142889E+03    0.2509875249E+03    0.3128815429E-02    0.2157756559E-02    0.1938688641E+00
        19    0.2144034778E+03    0.2170324977E+03    0.2969493323E-02    0.1976488427E-02    0.1894115979E+00
        20    0.1817765778E+03    0.1781287839E+03    0.2793655505E-02    0.2087388127E-02    0.1959085238E+00
