     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.1119034582E+03    0.1066930263E+03    0.1889683575E-02    0.3723292624E+02    0.4090764528E+03
         2    0.5781486579E+02    0.5874777213E+02    0.3142766741E-02    0.3562282349E+02    0.3671818945E+03
         3    0.6377679169E+02    0.6650468422E+02    0.2910532424E-02    0.3716435208E+02    0.3868656120E+03
         4    0.9969179946E+02    0.9329875915E+02    0.2153873054E-02    0.4112373787E+02    0.4415694159E+03
         5    0.9817976135E+02    0.8973508272E+02    0.2204297041E-02    0.4140707744E+02    0.4414058466E+03
         6    0.5573694755E+02    0.5864984028E+02    0.3094184912E-02    0.3868164133E+02    0.3985886032E+03
         7    0.6345732320E+02    0.6626550543E+02    0.2871169615E-02    0.4033812320E+02    0.4196297532E+03
         8    0.4895849377E+02    0.4596619261E+02    0.3582494994E-02    0.3945645208E+02    0.4057256902E+03
         9    0.5114042588E+02    0.4983485097E+02    0.3401468337E-02    0.4143239715E+02    0.4264623032E+03
        10    0.3917125463E+02    0.3482387293E+02    0.3959570891E-02    0.5090304779E+02    0.5269637872E+03
        11    0.4077056391E+02    0.3472115669E+02    0.3862068173E-02    0.5397248127E+02    0.5568551108E+03
        12    0.1322564577E+03    0.1302251938E+03    0.1551553489E-02    0.3302574006E+02    0.3846633613E+03
        13    0.1218090654E+03    0.1162308274E+03    0.1788015523E-02    0.3160284254E+02    0.3578146888E+03
        14    0.1166603165E+03    0.1059201792E+03    0.1807112208E-02    0.3185116794E+02    0.3469388430E+03
        15    0.5656963783E+02    0.6210450229E+02    0.2863451417E-02    0.4260282279E+02    0.4381892631E+03
        16    0.6493284567E+02    0.6791284832E+02    0.2675641935E-02    0.4472892086E+02    0.4629998386E+03
        17    0.6554370379E+02    0.6461872430E+02    0.2983974045E-02    0.2937113169E+02    0.3022359080E+03
        18    0.7208525840E+02    0.7077822962E+02    0.2774140841E-02    0.3097060227E+02    0.3210910467E+03
        19    0.9788397509E+02    0.9465261638E+02    0.2015755179E-02    0.3201916625E+02    0.3401660513E+03
        20    0.9754851806E+02    0.9199875218E+02    0.2059748280E-02    0.3210813933E+02    0.3389354247E+03
        21    0.5888624772E+02    0.6518351966E+02    0.2797936481E-02    0.3865583020E+02    0.3974744281E+03
        22    0.3852234119E+02    0.3894863254E+02    0.4310601593E-02    0.3733535668E+02    0.3972382050E+03
        23    0.6380085368E+02    0.7021119686E+02    0.2618482527E-02    0.4076656677E+02    0.4213206023E+03
        24    0.4667560663E+02    0.5497009737E+02    0.3188782692E-02    0.4300480345E+02    0.4435186561E+03
        25    0.4197241641E+02    0.4027898567E+02    0.4251480216E-02    0.4136068991E+02    0.4407382641E+03
        26    0.5677301169E+02    0.5637381712E+02    0.3049391248E-02    0.4548171203E+02    0.4676721112E+03
        27    0.6496802097E+02    0.6740154579E+02    0.2871169615E-02    0.2887826613E+02    0.2969823149E+03
        28    0.6979480419E+02    0.7270145944E+02    0.2678565495E-02    0.3058101177E+02    0.3163447820E+03
        29    0.5481318806E+02    0.5698878614E+02    0.3317743508E-02    0.2897430779E+02    0.2985047182E+03
        30    0.6029149555E+02    0.5957197201E+02    0.3162254540E-02    0.3077610212E+02    0.3164308790E+03
        31    0.6830351287E+02    0.6641738219E+02    0.2921862904E-02    0.3073816350E+02    0.3174687001E+03
        32    0.6014871550E+02    0.5942229373E+02    0.3400977797E-02    0.3333698147E+02    0.3519058842E+03
        33    0.5341138887E+02    0.5438903303E+02    0.3919987832E-02    0.3102763956E+02    0.3371704236E+03
        34    0.6882396517E+02    0.5854861111E+02    0.3329881720E-02    0.3564090790E+02    0.3733146035E+03
