Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2863966357E+00    0.2827909704E+00    0.3605665221E-02
    0.2151500840E+00    0.1921418353E+00    0.2300824876E-01
    0.4371113264E+00    0.4233772006E+00    0.1373412583E-01
    0.2877592344E+00    0.3114767553E+00   -0.2371752087E-01
    0.2119213688E+00    0.1974136139E+00    0.1450775495E-01
    0.2307039824E+00    0.1970044181E+00    0.3369956432E-01
    0.2694453323E+00    0.2866809556E+00   -0.1723562336E-01
    0.3046928854E+00    0.3284480076E+00   -0.2375512220E-01
    0.2821058033E+00    0.2877850365E+00   -0.5679233279E-02
    0.2339656649E+00    0.2180829922E+00    0.1588267270E-01
    0.2843223449E+00    0.2483286048E+00    0.3599374009E-01
    0.1532933446E+00    0.2185145421E+00   -0.6522119743E-01
    0.2907721873E+00    0.3057885137E+00   -0.1501632643E-01
    0.2778108002E+00    0.3352665601E+00   -0.5745575984E-01
    0.4002315923E+00    0.4448647557E+00   -0.4463316339E-01
    0.3835882870E+00    0.4084879428E+00   -0.2489965575E-01
    0.4484240400E+00    0.4631083093E+00   -0.1468426928E-01
    0.4592785290E+00    0.4623348468E+00   -0.3056317870E-02
    0.4595310313E+00    0.4619492893E+00   -0.2418257971E-02
    0.4509489184E+00    0.4607973115E+00   -0.9848393065E-02
    0.4502571878E+00    0.4606059998E+00   -0.1034881202E-01
    0.1444167407E+00    0.1476671245E+00   -0.3250383739E-02
    0.1509255145E+00    0.1532851971E+00   -0.2359682568E-02
    0.1415712356E+00    0.1592348975E+00   -0.1766366193E-01
    0.2399862202E+00    0.2275849786E+00    0.1240124164E-01
    0.1513056224E+00    0.1867046808E+00   -0.3539905849E-01
    0.1781381791E+00    0.2195082076E+00   -0.4137002852E-01
    0.3068125379E+00    0.3365783590E+00   -0.2976582113E-01
    0.3946178759E+00    0.4168818663E+00   -0.2226399036E-01
    0.4517514088E+00    0.4484795953E+00    0.3271813532E-02
    0.2688141384E+00    0.2963879795E+00   -0.2757384102E-01
    0.3126505444E+00    0.3266957415E+00   -0.1404519715E-01
    0.3424241728E+00    0.3559351101E+00   -0.1351093734E-01
    0.4440677561E+00    0.4114766856E+00    0.3259107051E-01
Prediction RMSE and MaxAE:         0.0259806362        0.0652211974
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2863966357E+00    0.2958657438E+00   -0.9469108152E-02
    0.2151500840E+00    0.1918505773E+00    0.2329950669E-01
    0.4371113264E+00    0.4233437002E+00    0.1376762618E-01
    0.2877592344E+00    0.3223797273E+00   -0.3462049284E-01
    0.2119213688E+00    0.2174251591E+00   -0.5503790288E-02
    0.2307039824E+00    0.2166179995E+00    0.1408598291E-01
    0.2694453323E+00    0.2960728235E+00   -0.2662749127E-01
    0.3046928854E+00    0.3281145792E+00   -0.2342169375E-01
    0.2821058033E+00    0.2863944518E+00   -0.4288648555E-02
    0.2339656649E+00    0.1917896780E+00    0.4217598687E-01
    0.2843223449E+00    0.2263777603E+00    0.5794458458E-01
    0.1532933446E+00    0.2149015449E+00   -0.6160820028E-01
    0.2907721873E+00    0.2919139839E+00   -0.1141796628E-02
    0.2778108002E+00    0.3173318152E+00   -0.3952101501E-01
    0.4002315923E+00    0.4027139537E+00   -0.2482361472E-02
    0.3835882870E+00    0.3940934593E+00   -0.1050517227E-01
    0.4484240400E+00    0.4865497582E+00   -0.3812571822E-01
    0.4592785290E+00    0.4846986118E+00   -0.2542008284E-01
    0.4595310313E+00    0.4835485594E+00   -0.2401752807E-01
    0.4509489184E+00    0.4787369262E+00   -0.2778800781E-01
    0.4502571878E+00    0.4776601548E+00   -0.2740296704E-01
    0.1444167407E+00    0.1576892331E+00   -0.1327249234E-01
    0.1509255145E+00    0.1611004270E+00   -0.1017491246E-01
    0.1415712356E+00    0.1666992058E+00   -0.2512797024E-01
    0.2399862202E+00    0.2422210970E+00   -0.2234876745E-02
    0.1513056224E+00    0.1788707477E+00   -0.2756512535E-01
    0.1781381791E+00    0.2252542316E+00   -0.4711605250E-01
    0.3068125379E+00    0.3185073588E+00   -0.1169482090E-01
    0.3946178759E+00    0.4013935011E+00   -0.6775625144E-02
    0.4517514088E+00    0.4336659580E+00    0.1808545077E-01
    0.2688141384E+00    0.2893037611E+00   -0.2048962266E-01
    0.3126505444E+00    0.3254065731E+00   -0.1275602874E-01
    0.3424241728E+00    0.3585587986E+00   -0.1613462585E-01
    0.4440677561E+00    0.4179729641E+00    0.2609479200E-01
Prediction RMSE and MaxAE:         0.0267153628        0.0616082003
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.2863966357E+00    0.2986674588E+00   -0.1227082309E-01
    0.2151500840E+00    0.2052565418E+00    0.9893542221E-02
    0.4371113264E+00    0.4460703405E+00   -0.8959014092E-02
    0.2877592344E+00    0.3237315239E+00   -0.3597228946E-01
    0.2119213688E+00    0.2146397062E+00   -0.2718337377E-02
    0.2307039824E+00    0.2158682684E+00    0.1483571402E-01
    0.2694453323E+00    0.2990368676E+00   -0.2959153534E-01
    0.3046928854E+00    0.3270612884E+00   -0.2236840299E-01
    0.2821058033E+00    0.2853603429E+00   -0.3254539680E-02
    0.2339656649E+00    0.2081068703E+00    0.2585879457E-01
    0.2843223449E+00    0.2392816170E+00    0.4504072789E-01
    0.1532933446E+00    0.2115461065E+00   -0.5825276185E-01
    0.2907721873E+00    0.2513288938E+00    0.3944329350E-01
    0.2778108002E+00    0.2853936496E+00   -0.7582849379E-02
    0.4002315923E+00    0.4159018637E+00   -0.1567027148E-01
    0.3835882870E+00    0.4028888605E+00   -0.1930057350E-01
    0.4484240400E+00    0.4672423545E+00   -0.1881831446E-01
    0.4592785290E+00    0.4627548923E+00   -0.3476363314E-02
    0.4595310313E+00    0.4603900858E+00   -0.8590544878E-03
    0.4509489184E+00    0.4527347245E+00   -0.1785806050E-02
    0.4502571878E+00    0.4513671785E+00   -0.1109990640E-02
    0.1444167407E+00    0.1376419670E+00    0.6774773742E-02
    0.1509255145E+00    0.1387761612E+00    0.1214935336E-01
    0.1415712356E+00    0.1413986568E+00    0.1725787571E-03
    0.2399862202E+00    0.2305934646E+00    0.9392755605E-02
    0.1513056224E+00    0.1787278527E+00   -0.2742223039E-01
    0.1781381791E+00    0.2142743677E+00   -0.3613618857E-01
    0.3068125379E+00    0.2952000139E+00    0.1161252397E-01
    0.3946178759E+00    0.3938482492E+00    0.7696266894E-03
    0.4517514088E+00    0.4331406440E+00    0.1861076480E-01
    0.2688141384E+00    0.2851509310E+00   -0.1633679254E-01
    0.3126505444E+00    0.3197682118E+00   -0.7117667418E-02
    0.3424241728E+00    0.3534324196E+00   -0.1100824687E-01
    0.4440677561E+00    0.4181334494E+00    0.2593430669E-01
Prediction RMSE and MaxAE:         0.0215999317        0.0582527618
