     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.4311771491E+00    0.4178642486E+00    0.1144857904E+02    0.2174422852E+01    0.1445394175E+00
         2    0.2780862305E+00    0.2909269805E+00    0.1184593486E+02    0.3130691640E+01    0.6467107962E-01
         3    0.4041564535E+00    0.3766820785E+00    0.1158049796E+02    0.2379580694E+01    0.1297228778E+00
         4    0.4080844591E+00    0.3752021325E+00    0.1158275306E+02    0.2416607240E+01    0.1303929482E+00
         5    0.2714353627E+00    0.2896414457E+00    0.1185431043E+02    0.3079996286E+01    0.6329163926E-01
         6    0.2872237083E+00    0.2972142433E+00    0.1184775879E+02    0.2869843926E+01    0.5041484515E-01
         7    0.2527832565E+00    0.2490262771E+00    0.1199399542E+02    0.3044695603E+01    0.6639475264E-01
         8    0.2511563255E+00    0.2550666345E+00    0.1198970048E+02    0.2880745293E+01    0.5299416498E-01
         9    0.2186514932E+00    0.2384775261E+00    0.1200427661E+02    0.3251262457E+01    0.9689481735E-01
        10    0.2188755888E+00    0.2090670187E+00    0.1215259286E+02    0.2755059285E+01    0.5963512573E-01
        11    0.4440869345E+00    0.4545558011E+00    0.1132427813E+02    0.2048785493E+01    0.1652880295E+00
        12    0.4565628182E+00    0.4609881887E+00    0.1131384466E+02    0.1905206863E+01    0.1609027987E+00
        13    0.2267002756E+00    0.2117887250E+00    0.1211286111E+02    0.3118169201E+01    0.7440875843E-01
        14    0.2092739035E+00    0.2166573835E+00    0.1211100503E+02    0.3006707083E+01    0.5560911479E-01
        15    0.4412176146E+00    0.4043143742E+00    0.1144809854E+02    0.3320620659E+01    0.6027281809E-01
        16    0.4373163477E+00    0.4165849194E+00    0.1143579997E+02    0.2978616664E+01    0.4412973942E-01
        17    0.2680617680E+00    0.3157108474E+00    0.1172849695E+02    0.3721956466E+01    0.4472087726E-01
        18    0.2364462509E+00    0.1956518637E+00    0.1216703996E+02    0.2405525224E+01    0.2057625602E+00
        19    0.3052002036E+00    0.3026991841E+00    0.1171649092E+02    0.4457244419E+01    0.6057880406E-01
        20    0.3162345360E+00    0.3120129807E+00    0.1171012993E+02    0.4178538115E+01    0.4391983680E-01
        21    0.3810698261E+00    0.4186718960E+00    0.1138568980E+02    0.3587620313E+01    0.4752230141E-01
        22    0.3893930302E+00    0.4167381425E+00    0.1138803384E+02    0.3638059868E+01    0.4961908892E-01
        23    0.2746515510E+00    0.3320763559E+00    0.1166122480E+02    0.3900448002E+01    0.4277097640E-01
        24    0.2796253592E+00    0.3402748597E+00    0.1165365494E+02    0.3635968308E+01    0.3679202854E-01
        25    0.2320546000E+00    0.2927223533E+00    0.1180142740E+02    0.3803839935E+01    0.4424123402E-01
        26    0.3020090589E+00    0.3177479831E+00    0.1165759434E+02    0.4594328419E+01    0.5584717712E-01
        27    0.2681246117E+00    0.2779101680E+00    0.1179611386E+02    0.4512405694E+01    0.6347332679E-01
        28    0.3155324828E+00    0.3165886520E+00    0.1159284724E+02    0.5716821861E+01    0.3418011674E-01
        29    0.3001533759E+00    0.3017225470E+00    0.1173621603E+02    0.4327619146E+01    0.4068633678E-01
        30    0.2820478834E+00    0.2748550231E+00    0.1188788029E+02    0.2803405761E+01    0.1579631743E+00
        31    0.3337535518E+00    0.3060620797E+00    0.1173341038E+02    0.4178186337E+01    0.3605451493E-01
        32    0.3033097908E+00    0.2871061574E+00    0.1174120816E+02    0.4892869201E+01    0.5685820299E-01
        33    0.3195628020E+00    0.2921007044E+00    0.1173852971E+02    0.4734816478E+01    0.4754408162E-01
        34    0.4433412280E+00    0.4681038211E+00    0.1126169020E+02    0.2800131748E+01    0.7252236210E-01
        35    0.4489842999E+00    0.4764088807E+00    0.1125111169E+02    0.2626995103E+01    0.5698734083E-01
        36    0.2294035237E+00    0.2170877879E+00    0.1208546609E+02    0.3386370567E+01    0.5049216546E-01
        37    0.1983230862E+00    0.1782941399E+00    0.1223948346E+02    0.2282645566E+01    0.1928975396E+00
        38    0.2315906063E+00    0.2213036511E+00    0.1208281573E+02    0.3238371736E+01    0.4630497242E-01
        39    0.4269733901E+00    0.4116398792E+00    0.1139140504E+02    0.3872903233E+01    0.4411675417E-01
        40    0.2011678056E+00    0.1778240353E+00    0.1220840736E+02    0.2359878599E+01    0.2653730006E+00
        41    0.4469048804E+00    0.4243589667E+00    0.1137820999E+02    0.3476893665E+01    0.3608903722E-01
        42    0.2431243250E+00    0.2142783902E+00    0.1204634724E+02    0.4021469836E+01    0.6423373208E-01
        43    0.4234910986E+00    0.3983211269E+00    0.1138523360E+02    0.4615985245E+01    0.4589224329E-01
        44    0.4522062284E+00    0.4124712938E+00    0.1137275909E+02    0.4176599035E+01    0.3091202290E-01
        45    0.4210826770E+00    0.4207099451E+00    0.1143272816E+02    0.2593524752E+01    0.8485175812E-01
