Predictions (y,pred,y-pred) by the model of dimension:     1
    0.3115032551E+00    0.3292780794E+00   -0.1777482431E-01
    0.3569607189E+00    0.3599325441E+00   -0.2971825214E-02
    0.3276713441E+00    0.3221820199E+00    0.5489324181E-02
    0.3068701886E+00    0.3073742074E+00   -0.5040188106E-03
    0.3243536271E+00    0.3361850162E+00   -0.1183138913E-01
    0.3252255627E+00    0.3300382679E+00   -0.4812705225E-02
    0.3733715764E+00    0.3497921281E+00    0.2357944825E-01
    0.3694195579E+00    0.3368151563E+00    0.3260440159E-01
    0.3345703037E+00    0.3338512347E+00    0.7190689685E-03
    0.3236357173E+00    0.3112080678E+00    0.1242764955E-01
    0.3052152848E+00    0.3000636085E+00    0.5151676349E-02
    0.3722096650E+00    0.3900246983E+00   -0.1781503327E-01
    0.3732358523E+00    0.3777858401E+00   -0.4549987873E-02
    0.4355520415E+00    0.4130701115E+00    0.2248192998E-01
    0.4304532498E+00    0.4177452922E+00    0.1270795765E-01
    0.3410080471E+00    0.3603553866E+00   -0.1934733949E-01
    0.3624143566E+00    0.3424978616E+00    0.1991649501E-01
Prediction RMSE and MaxAE:         0.0155200836        0.0326044016
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.3115032551E+00    0.3233215028E+00   -0.1181824771E-01
    0.3569607189E+00    0.3608737165E+00   -0.3912997630E-02
    0.3276713441E+00    0.3285401995E+00   -0.8688553816E-03
    0.3068701886E+00    0.3079813355E+00   -0.1111146923E-02
    0.3243536271E+00    0.3353043971E+00   -0.1095077006E-01
    0.3252255627E+00    0.3290876669E+00   -0.3862104182E-02
    0.3733715764E+00    0.3588696276E+00    0.1450194877E-01
    0.3694195579E+00    0.3466655407E+00    0.2275401713E-01
    0.3345703037E+00    0.3345210854E+00    0.4921825609E-04
    0.3236357173E+00    0.3109215134E+00    0.1271420389E-01
    0.3052152848E+00    0.2981884855E+00    0.7026799381E-02
    0.3722096650E+00    0.3855438638E+00   -0.1333419873E-01
    0.3732358523E+00    0.3745670644E+00   -0.1331212192E-02
    0.4355520415E+00    0.4115162054E+00    0.2403583617E-01
    0.4304532498E+00    0.4210231839E+00    0.9430065944E-02
    0.3410080471E+00    0.3538149243E+00   -0.1280687715E-01
    0.3624143566E+00    0.3557225302E+00    0.6691826354E-02
Prediction RMSE and MaxAE:         0.0115959060        0.0240358362
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.3115032551E+00    0.3169828962E+00   -0.5479641091E-02
    0.3569607189E+00    0.3557827525E+00    0.1177966364E-02
    0.3276713441E+00    0.3184983841E+00    0.9172959970E-02
    0.3068701886E+00    0.2986498008E+00    0.8220387753E-02
    0.3243536271E+00    0.3293084390E+00   -0.4954811941E-02
    0.3252255627E+00    0.3226236025E+00    0.2601960166E-02
    0.3733715764E+00    0.3706058328E+00    0.2765743594E-02
    0.3694195579E+00    0.3564928529E+00    0.1292670496E-01
    0.3345703037E+00    0.3339418609E+00    0.6284427545E-03
    0.3236357173E+00    0.3093165043E+00    0.1431921300E-01
    0.3052152848E+00    0.2985311397E+00    0.6684145157E-02
    0.3722096650E+00    0.3785798383E+00   -0.6370173255E-02
    0.3732358523E+00    0.3800924847E+00   -0.6856632468E-02
    0.4355520415E+00    0.4184655519E+00    0.1708648962E-01
    0.4304532498E+00    0.4235499993E+00    0.6903250573E-02
    0.3410080471E+00    0.3622728151E+00   -0.2126476797E-01
    0.3624143566E+00    0.3528770590E+00    0.9537297521E-02
Prediction RMSE and MaxAE:         0.0097306670        0.0212647680
