Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1859265000E+03    0.1772751566E+03    0.8651343385E+01
    0.1689561667E+03    0.1533213506E+03    0.1563481603E+02
    0.1726537667E+03    0.1702158932E+03    0.2437873514E+01
    0.1793259000E+03    0.1707708519E+03    0.8555048109E+01
    0.1730631333E+03    0.1581695961E+03    0.1489353723E+02
    0.1785912667E+03    0.1746685098E+03    0.3922756853E+01
    0.1867098667E+03    0.1754446666E+03    0.1126520007E+02
    0.1676957000E+03    0.1576914856E+03    0.1000421436E+02
    0.1564298667E+03    0.1580604010E+03   -0.1630534342E+01
    0.1858246333E+03    0.1718015901E+03    0.1402304326E+02
    0.1582014333E+03    0.1496914544E+03    0.8509978965E+01
    0.1916486333E+03    0.1757483163E+03    0.1590031705E+02
    0.1847231333E+03    0.1706772481E+03    0.1404588528E+02
    0.1484104333E+03    0.1610233645E+03   -0.1261293119E+02
    0.1513720667E+03    0.1620895235E+03   -0.1071745682E+02
    0.1539085667E+03    0.1631360372E+03   -0.9227470524E+01
    0.1681840000E+03    0.1632221487E+03    0.4961851290E+01
    0.1636810000E+03    0.1644792502E+03   -0.7982501709E+00
    0.1453615000E+03    0.1477234044E+03   -0.2361904352E+01
    0.1435833000E+03    0.1561920116E+03   -0.1260871165E+02
    0.1490260000E+03    0.1609765359E+03   -0.1195053590E+02
    0.1577903667E+03    0.1652034472E+03   -0.7413080543E+01
    0.1641192000E+03    0.1712543825E+03   -0.7135182520E+01
    0.1496825000E+03    0.1552811948E+03   -0.5598694764E+01
    0.1522688667E+03    0.1578115164E+03   -0.5542649770E+01
    0.1428621667E+03    0.1433637838E+03   -0.5016171105E+00
    0.1567264333E+03    0.1590369863E+03   -0.2310552938E+01
    0.1421805667E+03    0.1469794681E+03   -0.4798901431E+01
    0.1439435333E+03    0.1441540078E+03   -0.2104745034E+00
    0.1512255333E+03    0.1516983162E+03   -0.4727828864E+00
    0.1591252000E+03    0.1773968500E+03   -0.1827165001E+02
    0.1920459000E+03    0.1957475279E+03   -0.3701627915E+01
    0.1797637667E+03    0.1754585016E+03    0.4305265086E+01
    0.1586468333E+03    0.1663112595E+03   -0.7664426198E+01
Prediction RMSE and MaxAE:         9.2320257553       18.2716500130
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1859265000E+03    0.1831818140E+03    0.2744685982E+01
    0.1689561667E+03    0.1596199173E+03    0.9336249328E+01
    0.1726537667E+03    0.1762796666E+03   -0.3625899885E+01
    0.1793259000E+03    0.1729327395E+03    0.6393160538E+01
    0.1730631333E+03    0.1535911907E+03    0.1947194264E+02
    0.1785912667E+03    0.1791318766E+03   -0.5406099034E+00
    0.1867098667E+03    0.1847182354E+03    0.1991631238E+01
    0.1676957000E+03    0.1664160221E+03    0.1279677868E+01
    0.1564298667E+03    0.1684436849E+03   -0.1201381823E+02
    0.1858246333E+03    0.1806382651E+03    0.5186368282E+01
    0.1582014333E+03    0.1453537212E+03    0.1284771209E+02
    0.1916486333E+03    0.1796269416E+03    0.1202169170E+02
    0.1847231333E+03    0.1740720885E+03    0.1065104488E+02
    0.1484104333E+03    0.1543959587E+03   -0.5985525388E+01
    0.1513720667E+03    0.1555151759E+03   -0.4143109239E+01
    0.1539085667E+03    0.1566461730E+03   -0.2737606316E+01
    0.1681840000E+03    0.1601274642E+03    0.8056535839E+01
    0.1636810000E+03    0.1615465824E+03    0.2134417632E+01
    0.1453615000E+03    0.1461081150E+03   -0.7466150500E+00
    0.1435833000E+03    0.1531540720E+03   -0.9570771956E+01
    0.1490260000E+03    0.1579214271E+03   -0.8895427149E+01
    0.1577903667E+03    0.1627368170E+03   -0.4946450366E+01
