Predictions (y,pred,y-pred) by the model of dimension:     1
    0.8049570000E+02    0.9240054188E+02   -0.1190484188E+02
    0.1183827000E+03    0.1200292408E+03   -0.1646540768E+01
    0.1233274667E+03    0.1049854333E+03    0.1834203340E+02
    0.9148953333E+02    0.1088709629E+03   -0.1738142954E+02
    0.7368413333E+02    0.7739214795E+02   -0.3708014612E+01
    0.7875026667E+02    0.8327520344E+02   -0.4524936777E+01
    0.8288196667E+02    0.8329982857E+02   -0.4178619036E+00
    0.6509713333E+02    0.6238673119E+02    0.2710402144E+01
    0.1331329333E+03    0.1218877063E+03    0.1124522707E+02
    0.1303768667E+03    0.1197262097E+03    0.1065065693E+02
    0.1089584667E+03    0.1153618697E+03   -0.6403403012E+01
    0.1249338000E+03    0.1253179833E+03   -0.3841833467E+00
    0.1263286333E+03    0.1291364310E+03   -0.2807797661E+01
    0.9942550000E+02    0.1048813812E+03   -0.5455881154E+01
    0.1248918667E+03    0.1183575843E+03    0.6534282415E+01
    0.8069620000E+02    0.9853250345E+02   -0.1783630345E+02
    0.1059929000E+03    0.1071938937E+03   -0.1200993698E+01
Prediction RMSE and MaxAE:         9.4111700350       18.3420333997
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.8049570000E+02    0.9198328712E+02   -0.1148758712E+02
    0.1183827000E+03    0.1184419477E+03   -0.5924766013E-01
    0.1233274667E+03    0.1063548419E+03    0.1697262473E+02
    0.9148953333E+02    0.1081771994E+03   -0.1668766608E+02
    0.7368413333E+02    0.7583639915E+02   -0.2152265813E+01
    0.7875026667E+02    0.8476632675E+02   -0.6016060085E+01
    0.8288196667E+02    0.8794010007E+02   -0.5058133403E+01
    0.6509713333E+02    0.6769827023E+02   -0.2601136901E+01
    0.1331329333E+03    0.1192479190E+03    0.1388501435E+02
    0.1303768667E+03    0.1166125738E+03    0.1376429290E+02
    0.1089584667E+03    0.1112914721E+03   -0.2333005438E+01
    0.1249338000E+03    0.1238969558E+03    0.1036844150E+01
    0.1263286333E+03    0.1242490573E+03    0.2079576036E+01
    0.9942550000E+02    0.1050741365E+03   -0.5648636519E+01
    0.1248918667E+03    0.1180112115E+03    0.6880655134E+01
    0.8069620000E+02    0.9125700821E+02   -0.1056080821E+02
    0.1059929000E+03    0.1114146907E+03   -0.5421790742E+01
Prediction RMSE and MaxAE:         9.0259794485       16.9726247286
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.8049570000E+02    0.9274037340E+02   -0.1224467340E+02
    0.1183827000E+03    0.1206363328E+03   -0.2253632754E+01
    0.1233274667E+03    0.1088008112E+03    0.1452665542E+02
    0.9148953333E+02    0.1064559715E+03   -0.1496643819E+02
    0.7368413333E+02    0.7604353316E+02   -0.2359399826E+01
    0.7875026667E+02    0.8232672767E+02   -0.3576461002E+01
    0.8288196667E+02    0.9305254103E+02   -0.1017057436E+02
    0.6509713333E+02    0.6398347765E+02    0.1113655684E+01
    0.1331329333E+03    0.1238810499E+03    0.9251883442E+01
    0.1303768667E+03    0.1197764327E+03    0.1060043397E+02
    0.1089584667E+03    0.1114886816E+03   -0.2530214886E+01
    0.1249338000E+03    0.1260643624E+03   -0.1130562408E+01
    0.1263286333E+03    0.1231362864E+03    0.3192346956E+01
    0.9942550000E+02    0.9883478826E+02    0.5907117358E+00
    0.1248918667E+03    0.1202356449E+03    0.4656221759E+01
    0.8069620000E+02    0.9251959080E+02   -0.1182339080E+02
    0.1059929000E+03    0.1106300155E+03   -0.4637115452E+01
Prediction RMSE and MaxAE:         8.0885906077       14.9664381945
