Predictions (y,pred,y-pred) by the model of dimension:     1
    0.6377679169E+02    0.6480207857E+02   -0.1025286875E+01
    0.1166603165E+03    0.1123403044E+03    0.4320012066E+01
    0.3852234119E+02    0.3680243200E+02    0.1719909185E+01
    0.4197241641E+02    0.3827432395E+02    0.3698092466E+01
    0.5677301169E+02    0.6585049608E+02   -0.9077484382E+01
    0.6979480419E+02    0.7639320823E+02   -0.6598404042E+01
    0.4500912398E+02    0.3479114407E+02    0.1021797991E+02
    0.5967295456E+02    0.4326090469E+02    0.1641204987E+02
    0.5965694308E+02    0.6879541564E+02   -0.9138472566E+01
    0.1053096570E+03    0.1101774117E+03   -0.4867754747E+01
    0.1262177758E+03    0.1258203223E+03    0.3974535466E+00
    0.2450184071E+02    0.2204295161E+02    0.2458889102E+01
    0.3504358803E+02    0.5200912286E+02   -0.1696553484E+02
    0.6904760257E+02    0.7467850553E+02   -0.5630902962E+01
    0.1104302259E+03    0.1187675301E+03   -0.8337304159E+01
    0.1360948904E+03    0.1412068413E+03   -0.5111950876E+01
    0.7558678816E+02    0.7679538284E+02   -0.1208594680E+01
Prediction RMSE and MaxAE:         7.9190778277       16.9655348351
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.6377679169E+02    0.6562627552E+02   -0.1849483822E+01
    0.1166603165E+03    0.1094347934E+03    0.7225523050E+01
    0.3852234119E+02    0.3600416798E+02    0.2518173202E+01
    0.4197241641E+02    0.3668920803E+02    0.5283208386E+01
    0.5677301169E+02    0.6060797716E+02   -0.3834965467E+01
    0.6979480419E+02    0.7410309871E+02   -0.4308294522E+01
    0.4500912398E+02    0.3784310632E+02    0.7166017658E+01
    0.5967295456E+02    0.4855070369E+02    0.1112225087E+02
    0.5965694308E+02    0.6861866109E+02   -0.8961718016E+01
    0.1053096570E+03    0.1143088400E+03   -0.8999183003E+01
    0.1262177758E+03    0.1286362104E+03   -0.2418434537E+01
    0.2450184071E+02    0.2261602765E+02    0.1885813062E+01
    0.3504358803E+02    0.4531295807E+02   -0.1026937004E+02
    0.6904760257E+02    0.7076256041E+02   -0.1714957846E+01
    0.1104302259E+03    0.1120308955E+03   -0.1600669529E+01
    0.1360948904E+03    0.1350895668E+03    0.1005323664E+01
    0.7558678816E+02    0.8206594420E+02   -0.6479156036E+01
Prediction RMSE and MaxAE:         6.0530158755       11.1222508664
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.6377679169E+02    0.6718030849E+02   -0.3403516798E+01
    0.1166603165E+03    0.1064856505E+03    0.1017466604E+02
    0.3852234119E+02    0.3937501019E+02   -0.8526690049E+00
    0.4197241641E+02    0.4059310051E+02    0.1379315903E+01
    0.5677301169E+02    0.5705327974E+02   -0.2802680413E+00
    0.6979480419E+02    0.7318821047E+02   -0.3393406277E+01
    0.4500912398E+02    0.3706302778E+02    0.7946096201E+01
    0.5967295456E+02    0.4780997951E+02    0.1186297505E+02
    0.5965694308E+02    0.6676123773E+02   -0.7104294659E+01
    0.1053096570E+03    0.1111425826E+03   -0.5832925654E+01
    0.1262177758E+03    0.1283188973E+03   -0.2101121450E+01
    0.2450184071E+02    0.1894090604E+02    0.5560934669E+01
    0.3504358803E+02    0.4056212264E+02   -0.5518534607E+01
    0.6904760257E+02    0.6682139673E+02    0.2226205840E+01
    0.1104302259E+03    0.1099386001E+03    0.4916258033E+00
    0.1360948904E+03    0.1372026512E+03   -0.1107760778E+01
    0.7558678816E+02    0.8381813963E+02   -0.8231351464E+01
Prediction RMSE and MaxAE:         5.7274807835       11.8629750494
