Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1746566799E+03    0.1868738011E+03   -0.1221712120E+02
    0.1096500264E+03    0.1031563653E+03    0.6493661080E+01
    0.3054724589E+03    0.2969134841E+03    0.8558974826E+01
    0.1777489072E+03    0.2110422629E+03   -0.3329335573E+02
    0.1079419546E+03    0.1054905574E+03    0.2451397270E+01
    0.1169255214E+03    0.1067556916E+03    0.1016982984E+02
    0.1562825046E+03    0.1830752814E+03   -0.2679277677E+02
    0.1900791570E+03    0.2209232580E+03   -0.3084410105E+02
    0.1653278390E+03    0.1813387722E+03   -0.1601093319E+02
    0.1252586322E+03    0.1039336472E+03    0.2132498499E+02
    0.1635212792E+03    0.1303797034E+03    0.3314157579E+02
    0.8308542094E+02    0.1204641042E+03   -0.3737868329E+02
    0.1656333067E+03    0.1710898520E+03   -0.5456545253E+01
    0.1638021596E+03    0.1931111796E+03   -0.2930902001E+02
    0.2787418701E+03    0.2817153645E+03   -0.2973494368E+01
    0.2556213033E+03    0.2469048569E+03    0.8716446458E+01
    0.3579410584E+03    0.3817726212E+03   -0.2383156280E+02
    0.3545054002E+03    0.3629965684E+03   -0.8491168186E+01
    0.3498113830E+03    0.3534712829E+03   -0.3659899940E+01
    0.3316835756E+03    0.3243171152E+03    0.7366460376E+01
    0.3292392192E+03    0.3193703075E+03    0.9868911672E+01
    0.7030410540E+02    0.7302148233E+02   -0.2717376925E+01
    0.7365959505E+02    0.6720895103E+02    0.6450644027E+01
    0.7019308169E+02    0.6259372859E+02    0.7599353100E+01
    0.1235282770E+03    0.1239019707E+03   -0.3736937134E+00
    0.7726231874E+02    0.8932268070E+02   -0.1206036196E+02
    0.9923806785E+02    0.1373147418E+03   -0.3807667394E+02
    0.1879236927E+03    0.2128266126E+03   -0.2490291988E+02
    0.2927787662E+03    0.3182461620E+03   -0.2546739580E+02
    0.3548500077E+03    0.3665380921E+03   -0.1168808443E+02
    0.1693828405E+03    0.1921973897E+03   -0.2281454918E+02
    0.2053585443E+03    0.2252772016E+03   -0.1991865734E+02
    0.2357175677E+03    0.2583789287E+03   -0.2266136101E+02
    0.3365297414E+03    0.3246537222E+03    0.1187601922E+02
Prediction RMSE and MaxAE:        19.4153353115       38.0766739405
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.1746566799E+03    0.1791141066E+03   -0.4457426704E+01
    0.1096500264E+03    0.1055798563E+03    0.4070170139E+01
    0.3054724589E+03    0.2878609903E+03    0.1761146864E+02
    0.1777489072E+03    0.1937955006E+03   -0.1604659336E+02
    0.1079419546E+03    0.1104360408E+03   -0.2494086134E+01
    0.1169255214E+03    0.1134951009E+03    0.3430420558E+01
    0.1562825046E+03    0.1637422738E+03   -0.7459769174E+01
    0.1900791570E+03    0.1957005726E+03   -0.5621415593E+01
    0.1653278390E+03    0.1584759514E+03    0.6851887653E+01
    0.1252586322E+03    0.9779680864E+02    0.2746182358E+02
    0.1635212792E+03    0.1219926489E+03    0.4152863026E+02
    0.8308542094E+02    0.1240239367E+03   -0.4093851575E+02
    0.1656333067E+03    0.1675240289E+03   -0.1890722223E+01
    0.1638021596E+03    0.1779377507E+03   -0.1413559118E+02
    0.2787418701E+03    0.3019354669E+03   -0.2319359684E+02
    0.2556213033E+03    0.2729052813E+03   -0.1728397797E+02
    0.3579410584E+03    0.3730934509E+03   -0.1515239254E+02
    0.3545054002E+03    0.3626906998E+03   -0.8185299626E+01
    0.3498113830E+03    0.3574068873E+03   -0.7595504356E+01
    0.3316835756E+03    0.3413348237E+03   -0.9651248172E+01
    0.3292392192E+03    0.3386390609E+03   -0.9399841720E+01
    0.7030410540E+02    0.7486627326E+02   -0.4562167853E+01
    0.7365959505E+02    0.6373176977E+02    0.9927825284E+01
    0.7019308169E+02    0.5533620653E+02    0.1485687516E+02
    0.1235282770E+03    0.1295218198E+03   -0.5993542803E+01
    0.7726231874E+02    0.8781309312E+02   -0.1055077438E+02
    0.9923806785E+02    0.1311544511E+03   -0.3191638321E+02
    0.1879236927E+03    0.1804990596E+03    0.7424633096E+01
    0.2927787662E+03    0.2947959925E+03   -0.2017226259E+01
    0.3548500077E+03    0.3512782356E+03    0.3571772059E+01
    0.1693828405E+03    0.1838540429E+03   -0.1447120234E+02
    0.2053585443E+03    0.2202884232E+03   -0.1492987890E+02
    0.2357175677E+03    0.2556007715E+03   -0.1988320384E+02
    0.3365297414E+03    0.3210268616E+03    0.1550287973E+02
Prediction RMSE and MaxAE:        16.3894018186       41.5286302587
Predictions (y,pred,y-pred) by the model of dimension:     3
    0.1746566799E+03    0.1806376666E+03   -0.5980986696E+01
