Predictions (y,pred,y-pred) by the model of dimension:     1
    0.2635678493E+03    0.2417755945E+03    0.2179225483E+02
    0.1415692716E+03    0.1455361371E+03   -0.3966865501E+01
    0.1215912466E+03    0.1390254901E+03   -0.1743424353E+02
    0.3022450560E+03    0.2742294291E+03    0.2801562693E+02
    0.1198075480E+03    0.8986269749E+02    0.2994485047E+02
    0.1135857840E+03    0.1017723499E+03    0.1181343406E+02
    0.2788580290E+03    0.2331236224E+03    0.4573440652E+02
    0.1177067906E+03    0.9291002134E+02    0.2479676928E+02
    0.1299731940E+03    0.1597456337E+03   -0.2977243969E+02
    0.1858012828E+03    0.1717656863E+03    0.1403559648E+02
    0.3431197118E+03    0.3440023239E+03   -0.8826120619E+00
    0.2754221649E+03    0.2465526369E+03    0.2886952799E+02
    0.1012461757E+03    0.7596787128E+02    0.2527830437E+02
    0.3342069804E+03    0.3147284057E+03    0.1947857473E+02
    0.2925690386E+03    0.2680962737E+03    0.2447276487E+02
    0.3044292394E+03    0.2729566360E+03    0.3147260340E+02
    0.3466922574E+03    0.3328295542E+03    0.1386270322E+02
    0.2133581471E+03    0.2248794710E+03   -0.1152132399E+02
    0.2477361032E+03    0.2384307661E+03    0.9305337167E+01
    0.3269858934E+03    0.3096521678E+03    0.1733372566E+02
    0.7685966542E+02    0.8511397450E+02   -0.8254309079E+01
    0.9037831757E+02    0.9300284993E+02   -0.2624532350E+01
    0.1250793226E+03    0.1085348614E+03    0.1654446113E+02
    0.1376933148E+03    0.1161824313E+03    0.2151088350E+02
    0.1532934530E+03    0.1312510438E+03    0.2204240913E+02
    0.7247803067E+02    0.7441974131E+02   -0.1941710639E+01
    0.6514082646E+02    0.6755086737E+02   -0.2410040914E+01
    0.6708569690E+02    0.6441716471E+02    0.2668532194E+01
    0.6606186028E+02    0.6329763676E+02    0.2764223525E+01
    0.1593068290E+03    0.1459860910E+03    0.1332073799E+02
    0.1193451659E+03    0.1494532509E+03   -0.3010808491E+02
    0.2698899312E+03    0.2559362890E+03    0.1395364218E+02
    0.1851328402E+03    0.1980234268E+03   -0.1289058661E+02
    0.2324792831E+03    0.2666392504E+03   -0.3415996723E+02
Prediction RMSE and MaxAE:        20.6462150620       45.7344065248
Predictions (y,pred,y-pred) by the model of dimension:     2
    0.2635678493E+03    0.2432161031E+03    0.2035174616E+02
    0.1415692716E+03    0.1469463110E+03   -0.5377039387E+01
    0.1215912466E+03    0.1353543841E+03   -0.1376313754E+02
    0.3022450560E+03    0.2827916278E+03    0.1945342824E+02
    0.1198075480E+03    0.9409406695E+02    0.2571348101E+02
    0.1135857840E+03    0.1024395724E+03    0.1114621160E+02
    0.2788580290E+03    0.2461363426E+03    0.3272168632E+02
    0.1177067906E+03    0.9739786368E+02    0.2030892694E+02
    0.1299731940E+03    0.1621308302E+03   -0.3215763616E+02
    0.1858012828E+03    0.1612235526E+03    0.2457773020E+02
    0.3431197118E+03    0.3391186746E+03    0.4001037206E+01
    0.2754221649E+03    0.2544257139E+03    0.2099645099E+02
    0.1012461757E+03    0.7949959626E+02    0.2174657939E+02
    0.3342069804E+03    0.3045803184E+03    0.2962666205E+02
    0.2925690386E+03    0.2746308364E+03    0.1793820220E+02
    0.3044292394E+03    0.2824997803E+03    0.2192945913E+02
    0.3466922574E+03    0.3396755572E+03    0.7016700257E+01
    0.2133581471E+03    0.2187917671E+03   -0.5433620032E+01
    0.2477361032E+03    0.2332519816E+03    0.1448412161E+02
    0.3269858934E+03    0.3194032898E+03    0.7582603653E+01
    0.7685966542E+02    0.8727777509E+02   -0.1041810967E+02
    0.9037831757E+02    0.9569577728E+02   -0.5317459702E+01
    0.1250793226E+03    0.1122695600E+03    0.1280976261E+02
    0.1376933148E+03    0.1204300716E+03    0.1726324319E+02
    0.1532934530E+03    0.1365093740E+03    0.1678407899E+02
    0.7247803067E+02    0.7857153272E+02   -0.6093502050E+01
    0.6514082646E+02    0.7124194609E+02   -0.6101119634E+01
    0.6708569690E+02    0.6789805809E+02   -0.8123611887E+00
    0.6606186028E+02    0.6670344058E+02   -0.6415802962E+00
    0.1593068290E+03    0.1526868227E+03    0.6620006376E+01
    0.1193451659E+03    0.1264759669E+03   -0.7130800946E+01
